State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,5,3,4,6,1,,,,1,4,4,2,30
Alaska,,,,,2,4,3,4,3,2,,1,19
Arizona,4,6,8,6,3,1,2,2,3,5,7,4,51
Arkansas,,1,2,7,,,,,3,3,6,2,24
California,25,26,33,31,37,28,16,26,24,48,49,23,366
Colorado,2,2,5,9,14,17,14,13,26,11,2,2,117
Connecticut,,2,2,5,6,3,,1,3,5,2,1,30
Delaware,,,1,5,3,,,,,1,1,1,12
District of Columbia,,,1,,,,,,2,,2,,5
Florida,24,18,19,9,5,3,2,1,1,21,26,16,145
Georgia,6,10,10,9,4,8,3,5,7,9,13,7,91
Hawaii,2,,2,1,1,2,,2,3,1,2,1,17
Idaho,,1,1,3,7,6,5,4,10,9,2,1,49
Illinois,2,1,6,7,16,4,2,4,20,12,5,,79
Indiana,1,1,3,3,11,6,1,4,17,14,3,4,68
Iowa,1,,1,4,4,5,1,2,7,4,1,,30
Kansas,1,1,3,7,5,2,1,1,5,6,4,1,37
Kentucky,,,1,5,4,3,1,1,2,6,7,2,32
Louisiana,2,5,2,2,,,,,,2,5,6,24
Maine,,,,1,4,5,1,3,7,5,2,,28
Maryland,1,,2,5,5,2,,3,9,4,4,1,36
Massachusetts,2,1,3,4,12,6,2,2,10,12,8,3,65
Michigan,1,3,5,11,16,19,11,11,26,28,6,,137
Minnesota,2,3,3,4,14,9,4,8,11,9,1,,68
Mississippi,2,2,2,5,1,1,,,2,,3,1,19
Missouri,2,1,6,9,9,3,,2,10,12,5,1,60
Montana,1,1,1,1,3,5,9,1,11,3,,,36
Nebraska,,,1,4,3,3,1,1,9,3,4,,29
Nevada,,2,5,6,6,3,1,3,5,5,5,6,47
New Hampshire,,,2,2,4,2,,2,5,7,4,1,29
New Jersey,2,1,1,4,7,,,,5,7,3,2,32
New Mexico,1,2,2,3,5,2,1,1,5,4,8,1,35
New York,3,2,7,13,19,5,3,11,19,22,2,3,109
North Carolina,3,4,10,17,7,6,1,3,11,19,14,4,99
North Dakota,,,,1,1,1,,3,3,1,,,10
Ohio,2,2,2,10,7,9,,7,14,16,9,3,81
Oklahoma,,1,6,2,,4,,1,4,4,2,1,25
Oregon,3,3,8,8,19,8,8,14,18,9,4,4,106
Pennsylvania,,1,7,17,10,11,5,7,15,16,7,1,97
Rhode Island,,,1,4,4,1,1,1,2,2,1,,17
South Carolina,2,3,7,5,6,1,1,1,,7,6,4,43
South Dakota,,,,1,1,2,2,2,3,1,,,12
Tennessee,2,7,6,10,6,3,,3,3,13,9,5,67
Texas,20,18,25,18,8,5,10,7,9,43,34,28,225
Utah,1,3,4,11,13,6,10,17,15,13,7,2,102
Vermont,,,1,2,5,3,3,3,5,5,1,,28
Virginia,1,5,7,13,8,5,,2,10,11,8,2,72
Washington,7,10,12,22,13,16,13,10,28,18,10,5,164
West Virginia,1,,2,2,3,1,,2,2,5,1,1,20
Wisconsin,1,2,2,10,21,9,6,16,20,10,4,1,102
Wyoming,,,,,2,4,3,2,5,,,,16
Total,135,154,244,344,365,252,147,219,438,477,313,154,3242
