State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,2,1,1,,,,,,,1,,1,6
Alaska,,,,,1,2,3,2,2,1,,1,12
Arizona,3,4,2,1,1,,,,1,1,1,2,16
Arkansas,1,1,1,3,,,,,,1,2,2,11
California,7,6,9,5,12,6,4,6,6,18,12,6,97
Colorado,,,2,2,4,9,2,5,9,4,1,,38
Connecticut,,1,1,,3,,,,,1,,1,7
Delaware,,,,3,2,,,,1,1,,1,8
District of Columbia,,,1,,,,,,1,,1,,3
Florida,10,6,5,1,2,,,,,2,5,10,41
Georgia,2,2,3,,1,2,,,,3,4,,17
Hawaii,1,,2,,,1,,,2,,,1,7
Idaho,,,,1,3,3,1,1,3,3,,,15
Illinois,,,1,2,4,1,,,3,7,1,,19
Indiana,1,3,,3,1,3,1,1,2,4,2,,21
Iowa,1,,,,,3,1,,1,1,,,7
Kansas,,,2,4,,1,,,1,2,2,,12
Kentucky,,,1,2,1,1,,1,,3,1,1,11
Louisiana,1,3,1,1,,,,,,,1,1,8
Maine,,,,,4,2,,,,2,,,8
Maryland,,1,3,2,2,1,,1,3,1,2,1,17
Massachusetts,,1,,2,4,,1,1,1,2,3,,15
Michigan,,1,,5,3,5,3,3,9,3,1,,33
Minnesota,1,,,1,3,2,1,1,4,3,,,16
Mississippi,1,1,,2,,,,,1,,2,,7
Missouri,,,1,3,1,1,,,1,3,1,1,12
Montana,,,,,1,1,3,,5,,,,10
Nebraska,,,1,,1,1,,1,5,,,,9
Nevada,,2,2,,1,1,,2,,1,3,3,15
New Hampshire,,,,,3,,,,2,2,1,,8
New Jersey,1,,1,2,6,,,,1,1,1,,13
New Mexico,,1,3,2,1,1,1,,1,2,6,,18
New York,,2,,1,8,3,,2,5,6,3,,30
North Carolina,,1,9,5,1,1,1,,1,4,3,,26
North Dakota,,,,,1,,,1,3,,,,5
Ohio,2,2,,4,3,2,,,4,4,2,2,25
Oklahoma,,1,2,1,,2,,,3,1,1,1,12
Oregon,,1,,2,4,3,3,2,2,3,2,,22
Pennsylvania,,,3,2,4,4,,3,5,3,5,,29
Rhode Island,,,,,3,,,,,1,,,4
South Carolina,1,3,2,1,2,1,1,,,2,,2,15
South Dakota,,,,1,1,2,,1,2,1,,,8
Tennessee,1,3,3,6,1,,1,1,1,5,4,1,27
Texas,10,8,6,4,4,2,7,2,6,17,12,20,98
Utah,1,1,1,2,3,1,2,2,7,5,1,1,27
Vermont,,,1,,3,,1,,,2,,,7
Virginia,,,4,5,1,1,,,3,2,3,,19
Washington,1,4,4,10,7,11,3,2,11,6,7,5,71
West Virginia,,,,,,,,,3,2,1,,6
Wisconsin,1,,,5,4,3,2,2,8,6,3,,34
Wyoming,,,,,1,1,,1,2,,,,5
Total,49,60,78,96,116,84,42,44,131,143,100,64,1007
