City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Anchorage,,1,,2,6,6,5,5,6,6,2,1,40
Chugiak,,,,,,1,,,,1,,,2
Cordova,,,,,,,1,,,,,,1
Craig,,,,,1,,,,,,,,1
Denali National Park,,,,,,1,,,,,,,1
Eagle River,,,,,,,,2,,,1,,3
Ester,,,,,,,,,1,1,,,2
Fairbanks,5,4,5,3,11,13,15,17,6,4,3,6,92
Fort Wainwright,,,1,,,1,,2,,,,,4
Girdwood,,,,,,,,1,,,,,1
Homer,,,1,,,,,,,,,,1
Hoonah,,,,,,,,1,,,,,1
Hope,,,,,,,,1,,,,,1
Houston,,,,,,,,,1,,,,1
Juneau,,,2,3,5,4,5,7,3,1,1,,31
Kenai,,,,,,,,2,1,,1,,4
Ketchikan,,,1,1,1,1,2,1,,,,,7
Kodiak,,,,,,,,,,1,,,1
North Pole,,,,,,,2,,,,,,2
Palmer,,,,,1,,,1,1,,,1,4
Seward,,,,,2,,2,2,,,,,6
Sitka,,,,,1,2,,1,,,,,4
Skagway,,,,,,1,,,1,,,,2
Soldotna,,,,,,2,,,,,,,2
Tok,,,,1,,,,,,,,,1
Valdez,,,,,,,,2,,,,,2
Wasilla,,,,,1,,,,,,,,1
Willow,,,,,,,,,,,,1,1
Wrangell,,,,,,,1,,,,,,1
Total,5,5,10,10,29,32,33,45,20,14,8,9,220
