City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alexander,,,,1,,,,,,,,,1
Allison,,1,,,,,,,,,,,1
Alma,,,,1,,,,,,,,,1
Alpena,,,,,,,,,1,1,1,,3
Arkadelphia,,,,,2,,1,4,,,,,7
Batesville,1,,2,1,,2,,2,2,1,2,1,14
Beebe,,,,1,,,,,,,,,1
Bella Vista,,,,1,,,,,,,,,1
Benton,,,2,1,2,3,,,1,2,1,1,13
Bentonville,,,,2,2,1,,,2,3,1,1,12
Bergman,,,,,,,,,,,1,,1
Big Fork,1,,,,,,,,,,,,1
Bismarck,,,,,,,1,,,,,,1
Blytheville,,,,,1,,,,1,,,,2
Bono,,,,,1,,,,,,,,1
Booneville,,,,,,,,,,1,,,1
Bryant,,,,,2,,,,,,1,,3
Cabot,,,1,1,,,,,,1,,,3
Calico Rock,,,,,,1,,,,,,,1
Carlisle,,,,,,,,,,1,,,1
Cave City,,,,,,,,1,,,,,1
Charleston,,,,,1,,,,,1,,,2
Choctaw,,,,,,,,,1,,,,1
Clinton,,,1,,,,,,,,,,1
Conway,,1,1,,2,,,1,3,1,,1,10
Cotter,,,,1,,,,,,,1,,2
Crawfordsville,,,,,,,,,,1,,,1
Danville,1,,,,,,,,,,,,1
Deer,,,,,1,,,,,,,,1
El Dorado,,,,,1,,1,,1,1,,,4
Eureka Springs,,,1,,,,2,2,,,1,,6
Farmington,,,,,,,,,1,,,,1
Fayetteville,1,,4,4,1,3,2,2,,5,4,,26
Forrest City,,,,,,,1,,,,,,1
Fort Smith,,1,1,4,1,,,1,1,1,1,,11
Fox,,,,,,,,,,,1,,1
Gassville,,,,,,1,,,,,,,1
Gillett,,,,,,,,1,,,,,1
Glenwood,,,,,,,,,1,,,,1
Green Forest,,,,,,1,,,,,,,1
Greers Ferry,,,,,,,,,1,,,,1
Hamburg,,,,,,,,,,1,,,1
Harrison,,,,,2,,,,,1,,,3
Havana,,,,,,1,,,,,,,1
Heber Springs,,,,,,,,,2,1,1,,4
Hector,,,,,,,,,,1,,,1
Helena,,,,,,,,,,1,,,1
Holiday Island,,,,1,,,,,,,,,1
Hope,,1,,,1,,,1,,,,,3
Hot Springs,1,1,1,2,2,,,,2,3,1,1,14
Hot Springs Village,,,,,,1,,,,,,,1
Jacksonville,,1,,1,,,,,,1,,,3
Jonesboro,,,1,4,5,1,,,2,3,3,,19
Judsonia,,,,,1,,,,,,,,1
Lake Village,,,,1,,,,,,,,,1
Leslie,,,,,,,,,,2,,,2
Lincoln,,,,,1,,,,,,,,1
Little Rock,,,5,7,4,1,,4,4,7,4,4,40
Lonoke,,,,,,,,,1,,,,1
Magnolia,,,,,,,,,,1,,,1
Malvern,,,,1,,1,,,,1,,,3
Mammoth Spring,,,,,,,,,1,,,,1
Marion,,,,,2,,,,,,,,2
Marshall,,,,1,,,,,,,,,1
Melbourne,,,,1,,,,,,1,,,2
Mena,,,,,1,,,,,,,,1
Monticello,,,,,,,,,,,1,,1
Morrilton,,,,1,,,,,,,1,,2
Mount Ida,,,,,,,,,,,,1,1
Mountain Home,1,,,1,,,,,1,2,1,,6
Mountain Pine,,,,,,,,,1,,,,1
Mountain View,,,1,2,,,,,,,,,3
Mountainburg,,,,1,,,,,,1,,,2
Newark,,,,,1,,,,,,,,1
Norfork,,,,,1,,,,,,,,1
North Little Rock,,1,1,1,2,,2,,1,,,,8
Pangburn,,,,,1,,,,,,,,1
Paragould,1,,,2,2,1,,,,2,1,,9
Paris,,,,,1,,,,,,,,1
Paron,,,,,1,,,,,,,,1
Perryville,,,,,,,1,,,1,,,2
Pine Bluff,,,,,,,,,,,,1,1
Pocahontas,,,,,1,,,,,,,,1
Pottsville,,,,,,1,,,,,,,1
Poyen,,,,,1,,,,,,,,1
Prairie Grove,,,,,1,,,,1,,,,2
Prescott,,,,,,,,,,,,1,1
Rogers,,,3,1,2,5,,1,2,,,,14
Roland,,,,1,,,,,,,,,1
Russellville,,1,,,2,1,,1,,2,3,,10
Salem,,,,,,,,,,1,,,1
Searcy,,,,3,,,,,,,1,,4
Sherwood,,,,1,,1,,,,,,,2
Shirley,,,,,,1,,,,,,,1
Siloam Springs,,,,,2,,1,,,,1,,4
Springdale,,,,,,,,,1,5,1,1,8
Star City,,,,1,,,,,,,1,1,3
Stuttgart,,,,1,,,,,,,1,,2
Texarkana,,,,,,,,,2,,1,,3
Tontitown,,,,,,,,1,,,,,1
Van Buren,,,,,1,,,,,1,,,2
Vilonia,,,,1,,,,,,,,,1
Walcott,,,,,,,,,1,,,,1
Walnut Ridge,,,,1,,,,,1,,,,2
Ward,,,,1,,,,,,,,,1
West Fork,,,,,,,,,,,,1,1
West Memphis,,,,,,,,,,1,,,1
Wickes,,,,,,,,,,1,,,1
Winslow,,,,,,,,,1,,,,1
Wynne,1,,,,1,,,1,1,,1,,5
Yellville,,,,,,,,,,1,,,1
Total,8,8,25,56,56,27,12,23,41,62,38,15,371
