City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acton,,,,,1,1,1,,1,1,,,5
Adelanto,,,,,,,1,,,,,,1
Agoura,,,1,,,,,,,1,,,2
Agoura Hills,,,2,,,,,,1,3,,,6
Alameda,,,,,1,1,1,,,,2,2,7
Alamo,,,,,,1,,,,,,,1
Albany,,,,,,,,,1,,,,1
Alhambra,,,,,,,,,,1,,,1
Allensworth,,,,,,,,,,1,,,1
Alpine Meadows,,,,,,,,1,,,,,1
Amador City,,,,,1,,,,,,,,1
American Canyon,,,,,,,,,,,,1,1
Anaheim,4,1,2,2,4,4,,2,3,,2,,24
Anaheim Hills,,,1,,,,1,,,,1,,3
Anderson,,,,1,,,,,,,,,1
Angels Camp,,,,,,,,,1,1,,,2
Angwin,,,,,1,,,,,1,,,2
Antioch,,,1,,,,,1,1,,,1,4
Apple Valley,,1,,1,,,,1,1,,,,4
Aptos,,,,,,3,,1,1,,1,,6
Arcadia,,,1,1,,,,,,,,,2
Arcata,,,,1,,,,,,,,,1
Aromas,,,,,,,,,,1,,,1
Arroyo Grande,,,1,,1,2,,,1,,1,,6
Atascadero,,,1,2,,,,,,,,,3
Atherton,,,,,2,,,,1,,,,3
Atwater,,,,,,,1,,,1,,,2
Auburn,1,1,2,2,1,,1,,1,2,2,,13
Avalon,1,,1,,,,,,,,2,,4
Azusa,,,,1,,,,,,,1,,2
Bakersfield,2,2,3,5,1,1,1,1,3,4,5,3,31
Baldwin Park,,,,,,,,1,,,,,1
Bass Lake,,,,,1,1,,,1,1,,,4
Beale AFB,,,1,,,,,,,,,,1
Bear Valley,,,,,,,,,2,,,,2
Beaumont,,,,,1,,,,1,,,,2
Bell Gardens,,,,,1,,,,,,,,1
Belvedere,,,,,,,1,,,,,,1
Benicia,,,,1,,,,,,,,,1
Berkeley,,,,4,3,1,1,1,2,4,1,,17
Beverly Hills,,,,,,,,,1,,1,,2
Big Bear Lake,,1,,,1,2,,,1,,1,,6
Big Sur,,,,,,,,,1,1,,,2
Bishop,,,,,1,,,,,,,,1
