City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andover,,,,,,,,1,,,,,1
Ansonia,,,,,,1,,,,,,,1
Ashford,,,,,,,,,1,1,,,2
Avon,,,,,1,,2,,,,,,3
Baltic,,,1,,,,,,,,,,1
Barkhamsted,,,,,,,,1,,,,,1
Beacon Falls,,,,,,,,,,1,,,1
Berlin,,,,,,,,,,,,1,1
Bethany,,,1,,,,,,,,,,1
Bethel,,,,2,,1,,,2,4,1,,10
Bethlehem,,,,,,,,,,,,1,1
Bolton,,,1,,,1,5,1,,,,,8
Branford,,,,,,1,,,1,1,1,,4
Bridgeport,,,,,4,2,,,,4,1,1,12
Bridgewater,,,1,,,,,,,,,,1
Bristol,,,1,,,,,1,,2,,,4
Broad Brook,,,,,,,,,1,,,,1
Brookfield,1,,2,,,1,,1,1,1,,,7
Brooklyn,,,,,,,,1,,,,,1
Burlington,,,,,1,,,,1,1,,,3
Canaan,,,,,,,1,,,,,,1
Canterbury,,,,1,,,,,,,,,1
Canton,,,,,,,,1,,,,,1
Cheshire,,,,1,1,,1,,1,1,1,,6
Chester,,,,,1,2,3,2,,,,,8
Clinton,,,,,,,,2,,,,,2
Colchester,1,1,,,1,,,,,,,,3
Colebrook,,,,,,1,,,1,,,,2
Columbia,,,,,,,,,,1,,,1
Cornwall,,,,,,,,,,1,,,1
Coventry,,,,,,,,,,1,,,1
Cromwell,,,,,2,,,,,,,,2
Danbury,,1,1,1,2,,,3,1,,1,,10
Danielson,,,,,1,,,1,,1,,,3
Darien,,,1,1,1,,,,1,1,,,5
Dayville,,,,,1,1,,,,1,,,3
Deep River,,,,,,,,,1,,,,1
Derby,,,,6,2,,,,3,3,,,14
Durham,,,,,1,,,,,1,,,2
East Granby,,,,,1,,,,,,,,1
East Haddam,,,,,,1,,,,,,,1
East Hampton,,,1,,1,,,,,2,,,4
East Hartford,1,,,1,2,1,2,1,2,1,,,11
East Hartland,,,,,,,,,,1,,,1
East Haven,,,,,,,,,1,,,,1
East Lyme,,,,1,,,,,,,,,1
East Windsor,,,,,,,,,,,1,,1
Eastford,,,,,,,,,,,1,,1
Easton,,,,1,1,,,,,,,,2
Ellington,,,1,,,,1,,,1,,,3
Enfield,1,,,,3,,1,,,2,1,,8
Essex,,,,1,,1,,,,,,,2
Fairfield,,,2,1,1,2,,,1,1,1,1,10
Farmington,,,1,1,1,1,,1,1,,1,,7
Franklin,,,,,,,,2,,,,,2
Glastonbury,,,,1,3,1,,,1,2,1,1,10
Granby,,,,,1,,,,,,,,1
Greenwich,,,,,1,1,,,,1,2,,5
Groton,,,,1,3,1,,,1,1,,,7
Guilford,1,,,2,1,,,1,,1,,,6
Haddam Neck,,,,,,,,,1,,,,1
Hamden,1,,,1,1,1,,,,,2,,6
Hampton,,,,,,1,,,,,,,1
Hartford,,1,1,2,3,5,3,2,,3,1,1,22
Harwinton,,,,,,2,,,,,,,2
Hebron,,,,1,,1,,,,,1,,3
Higganum,,,,,,,,,,1,,,1
Ivoryton,,,,,,,,,,1,,,1
Jewett City,,,,,,1,,,,,,,1
Kent,,,,,,,,,,1,,,1
Killingly,,,,1,,,,,,,,,1
Killingworth,,,,,,,1,,1,,,,2
Lakeville,,,,,,1,,1,,1,,,3
Ledyard,,,1,,,,,,,,,,1
Lisbon,,,,,,,,,1,,,,1
Litchfield,1,1,,,2,1,5,5,,1,,1,17
Lyme,,,,1,,,,,,,,,1
Madison,,,1,,1,,,,1,3,2,,8
Manchester,,,,1,,3,6,3,,,2,,15
Mansfield,,,,,,1,1,1,,,,,3
Marlborough,,,,,2,2,3,2,,,,,9
Meriden,,,1,1,1,3,,,,1,1,,8
Middlebury,,,,,,3,1,,2,1,1,,8
Middlefield,,,,,,,,,,,1,,1
Middletown,,,,1,,1,1,,1,1,1,,6
Milford,,,1,2,1,1,3,2,4,5,1,,20
Monroe,,,1,,1,,1,,1,1,,,5
Moodus,,,,1,,,,,,,,,1
Morris,,,,,,,1,,,,,,1
Mystic,,,1,,2,1,,,,1,2,,7
Naugatuck,,,1,,1,,,,,,,,2
New Britain,,,,,2,,1,,2,,,,5
