City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Abbeville,,,,,1,,,,,,,,1
Acworth,,2,,2,1,2,1,2,,1,,1,12
Adairsville,,,,1,1,,,,1,,,,3
Adel,2,,1,2,1,,,,,,,,6
Alamo,,,1,,,,,,,,,,1
Albany,2,3,3,3,1,1,1,1,1,3,3,3,25
Alma,,,,,,1,,,,,,1,2
Alpharetta,2,2,1,3,4,3,1,3,2,3,2,,26
Americus,,1,1,1,1,1,,1,1,,2,,9
Andersonville,,,,1,,,,,,,,,1
Appling,,,1,,,1,1,,,,,,3
Ashburn,,,1,,,,,,,1,,,2
Athens,4,8,13,10,6,2,,6,6,10,6,1,72
Atlanta,4,5,23,31,24,18,6,21,19,30,27,13,221
Auburn,,,2,,,,,,1,2,1,,6
Augusta,2,3,6,5,9,,1,2,5,10,6,2,51
Austell,,,,1,,,,,,,,,1
Avondale Estates,,,,,,,,,1,,,,1
Baconton,,,,,,,1,,,,,,1
Bainbridge,1,1,1,,2,,,,,,,1,6
Barnesville,,,,,,,,,1,2,,1,4
Batesville,,,,,,,,,,1,,,1
Baxley,,,,1,1,,,,,,1,,3
Bellville,,,,,,,,,,,1,,1
Berkeley Lake,,,,,,,,,,,1,,1
Bethlehem,1,,1,,,,,,,1,,,3
Bishop,,,,,,,,,,,1,1,2
Blackshear,,,1,,,,,,,,,,1
Blairsville,,1,2,1,1,,,,,1,1,,7
Blakely,,1,,1,,,1,,,,,,3
Bloomingdale,,,,1,,1,,,1,,,,3
Blue Ridge,,,,,3,,1,,,2,1,1,8
Blythe,,,,,,,,,,,1,,1
Bogart,,1,1,1,1,,,1,,,,,5
Bonaire,,,,1,1,,,,,,,,2
Boston,,,,,,,,,,1,,,1
Bostwick,,,,,,,,,,1,,,1
Bowdon,,,,,,,,1,,1,,,2
Braselton,1,,1,,1,,1,1,,1,1,1,8
Brasstown Bald,,,,,,,,,,,,1,1
Bremen,,,1,,,,,1,,,1,,3
Brookhaven,1,,1,,1,,1,,1,1,,,6
Brooklet,,,,,,1,,1,,,,,2
Brunswick,1,1,,2,1,,,,1,2,,,8
Buchanan,,,1,,,,,,,,,,1
Buckhead,,,,1,,,,,,,,,1
Buena Vista,,,1,,,,,,,,,,1
Buford,,,2,,1,1,1,1,2,2,2,2,14
Butler,,,,,,,,,,,1,,1
Byron,,,,,1,,,,1,,,,2
Cairo,1,,,,,,,1,1,,,,3
Calhoun,,,,,2,,,,1,,1,,4
Camilla,,,,,1,,,,,,,,1
Canton,,,2,4,3,1,2,2,5,3,3,2,27
Carnesville,,,2,,,,,,,,,,2
Carrollton,1,1,3,4,2,,1,1,3,2,1,,19
Cartersville,,1,3,1,1,1,,1,2,3,2,,15
Cave Spring,,,,,,1,1,,,,,1,3
Cedartown,,,,1,,,,,1,1,1,,4
Centerville,,1,,,,,,1,,,,1,3
Chamblee,,,,1,,,,,1,1,,,3
Chatsworth,,,,1,,,,,,2,,,3
Chattahoochee Hills,,,,,1,,,,,,,,1
Chickamauga,,,,1,,,,,,,,,1
Clarkesville,,,,2,1,,2,,2,2,,,9
Claxton,,1,1,,1,,,,1,,,1,5
Clayton,,,,1,,1,,,,1,,,3
Clermont,,,,,,,,,1,,,,1
Cleveland,,,,,1,,,,1,1,,,3
Climax,,,,,,,,,,,1,,1
Cohutta,,,,,,,,1,,,,,1
Colbert,,,,2,,,,,,,,,2
College Park,,,,1,2,,,,,,,,3
Colquitt,,,,1,,,,,,1,,,2
Columbus,2,1,2,6,1,1,4,4,3,7,2,4,37
Comer,,,1,,,,,,,,,,1
Commerce,,,,,1,,,,,2,,,3
Concord,,,,,,,,,,1,,,1
Conyers,,2,5,1,1,5,,1,,4,3,2,24
Cordele,,,,1,3,1,,1,,,1,,7
Cornelia,,,1,,,,,,,,,,1
Covington,,,3,1,1,,,1,1,2,,,9
Crandall,,,,,,,,,,1,,,1
Crawford,,,,,,,,,1,,,,1
Culloden,,,,,,,,,,1,,,1
Cumming,1,3,5,5,7,3,3,1,6,5,7,1,47
Dacula,1,,,,4,2,,1,5,3,4,1,21
Dahlonega,1,1,4,4,,,2,1,2,5,2,2,24
Dallas,,1,,3,,1,,,1,,,,6
Dalton,,,5,3,1,,1,,2,2,1,2,17
Darien,,,,1,,,,,,,,,1
Dasher,,1,,,,,,,,,,,1
Dawsonville,1,,2,3,2,1,1,,2,4,,1,17
Decatur,1,2,5,1,2,2,1,2,1,2,2,2,23
Demorest,,,3,,,,1,,1,,1,,6
Dillard,,,,,,1,,,,,,3,4
Donalsonville,,,,,,,,,,1,,,1
Doraville,,,,,,,,,,,1,,1
Douglas,,1,,,2,,,,,,,,3
Douglasville,1,,2,4,1,3,,1,,2,1,,15
Dublin,,,1,1,1,,,,,,2,,5
Dudley,,,1,,,,,,,,,,1
