City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
American Falls,,,,,1,,,,,,1,,2
Ammon,,,,,1,,,,,,,,1
Arco,,,,,,,1,,,,,,1
Ashton,,,,,,,,2,,,,,2
Athol,,,,,1,,,,,1,,,2
Bellevue,,,,,,,,,1,,,,1
Blackfoot,,,,,1,,,1,,,1,,3
Bliss,,,,,,,,,,1,,,1
Boise,1,3,4,7,8,1,7,4,3,8,5,1,52
Bonners Ferry,,,,,1,1,,,,,1,,3
Caldwell,,,1,1,,,,1,1,,,1,5
Cambridge,,,,,,,,,,1,,,1
Challis,,,,,,1,,,,,,,1
Coeur d'Alene,1,,,1,1,,4,2,2,1,,,12
Coolin,,,,,,,,,1,,,,1
Council,,,,1,,,,,,1,,,2
Crouch,,,,,,,,1,,,,,1
Dover,,,,,,,,,1,,,,1
Drggs,,,,,,,,,1,,,,1
Driggs,,,,,,,1,,,,,,1
Eagle,,,3,2,,,1,,3,2,,1,12
Emmett,1,,,,1,,,2,,,,,4
Fort Hall,,,,,,,,,,1,,,1
Fruitland,,,,,,,,,,1,,,1
Garden City,,,,,,,,,1,1,,,2
Gooding,,,,,,,1,,,,1,,2
Grangeville,,,,,,,,,1,,,,1
Hauser,,,,1,,,,,,,,,1
Hayden,,,,,,,1,,,1,,,2
Heyburn,,,,,,,,2,,,,,2
Idaho Falls,,,3,2,2,4,2,5,2,1,1,2,24
Inkom,,,,,,1,,,,,,,1
Iona,,,,,,,1,,,,,,1
Island Park,,,,,,,1,,,,,,1
Ketchum,,,,,,,1,,,,,,1
Kimberly,,,,,,,1,,,,,,1
Kuna,,,,,1,,,1,,,1,,3
Lava Hot Springs,,,,,1,,,,,,,,1
Lewiston,2,2,,1,1,,,,,1,1,,8
Lolo Pass,,,,,,1,,,,,,,1
McCall,,,,,,,1,1,5,,,,7
Menan,,,,1,,,,,,,,,1
Meridian,,,,,,1,1,1,1,2,,1,7
Middleton,,,,,,,,,1,,,,1
Moscow,,,,1,,2,1,1,2,2,,,9
Mountain Home,,,,,,1,,,1,,,,2
Nampa,,,,1,1,,,,,,1,,3
Orofino,,,,,1,,,,,,,,1
Paul,,,,,,,,,,,1,,1
Payette,,,,,,1,,,,,,,1
Plummer,,1,,,,2,,,,,,,3
Pocatello,,,1,3,3,2,1,2,4,7,1,,24
Post Falls,,,,,,,,1,,,,,1
Priest Lake,,,,,,,,1,1,,,,2
Rathdrum,,,,,,,,,1,,,,1
Rexburg,,,,,,1,3,2,1,,1,,8
Rigby,,,,1,,1,1,,1,1,,,5
Riggins,,,,,,,,,1,,,,1
Ririe,,,,,,,1,,,1,,,2
Salmon,,,,,,,,,1,,,,1
Sandpoint,,,,,,1,3,1,1,,,,6
Shelley,,,,,,,,,1,,,,1
Soda Springs,,,,,1,1,1,1,,1,,,5
St. Charles,,,,,,,1,,,,,,1
Stanley,,,,,1,,,,,,,,1
Sun Valley,,,,,,2,,1,1,,,,4
Twin Falls,,,,1,2,1,,1,2,1,1,,9
Weippe,,,,,1,,,,,,,,1
Wilder,,,,,,,,,1,,,,1
Total,5,6,12,24,30,25,36,34,43,36,17,6,274
