City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Addison,,,,,,,,1,,,1,,2
Albion,,,,,,,,1,,,,,1
Algonquin,,,,,1,,,,1,1,,,3
Alton,,,1,,2,,,,3,1,2,1,10
Anna,,,,,,,,,,1,1,,2
Antioch,,,,,,,1,,,1,,,2
Apple Canyon Lake,,,,,1,,,,,,,,1
Arcola,,,,,,,,,1,,,,1
Arlington Heights,,,,,2,,1,,4,3,,1,11
Arthur,,,,,,,,,1,,,,1
Assumption,,,,,,,,,,1,,,1
Astoria,,,,,,,,,1,,,,1
Atkinson,,,,,,,,1,,,,,1
Auburn,,,,1,,,,,,,,,1
Aurora,,,1,2,5,2,2,1,3,1,,,17
Aviston,,,,,,,,,1,,,,1
Barrington,1,,,,3,,1,1,,,,,6
Barry,,,,,,,,,,1,,,1
Bartlett,,,,,,,,,1,,,,1
Batavia,,,,1,,1,,1,,3,1,,7
Beardstown,,,,,,,,,1,,,,1
Bedford,,,,,1,,,,,,,,1
Beecher,,,,,,,,,,,1,,1
Belleville,2,1,1,,2,,1,2,2,3,3,1,18
Belvidere,,1,,1,3,1,,,1,,,,7
Bement,,,,,,1,,,,,,1,2
Bensenville,,,,,1,,,1,,,,,2
Benton,,,,1,,,,,,1,,,2
Bethalto,,,,,1,,,,,,,,1
Bishop Hill,,,,1,,,,,,,,,1
Bloomingdale,1,,,2,,,,,2,,,,5
Bloomington,,,3,1,3,,1,,3,4,,,15
Blue Island,,,,1,,,,,,,,,1
Bolingbrook,,,1,,,1,,1,1,2,,,6
Bourbonnais,1,,,,1,,,,3,,,,5
Braidwood,,,,1,,,,,,,,,1
Breese,,,,1,,1,,,,1,1,,4
Bridgeview,,,,,,,,2,1,,1,,4
Brimfield,,,,,,,1,1,,,,,2
Brookfield,,,,,,,,,1,,,1,2
Buffalo Grove,,,,1,,,,,1,,,,2
Burbank,,,,,,,,,1,,,,1
Burr Ridge,,,,1,1,,1,,,,,,3
Byron,,,,,,,1,,,,,,1
Caledonia,,,,,,,,,1,,,,1
Calumet City,,,,,1,,,,1,,,,2
Camargo,,,,,,,,,,1,,,1
Canton,,,,1,,,,,,,,,1
Carbondale,,1,2,1,1,1,,1,4,2,1,,14
Carlyle,,,,,1,,,,1,,,,2
Carmi,,,,,,,,,,1,1,,2
Carol Stream,,,,,1,1,,,2,1,,,5
Carpentersville,,,,,,,,1,,,,,1
Carterville,1,,,,3,1,,,1,,,,6
Carthage,,,,1,,,,1,,1,,,3
Cary,,,1,,,,1,,,,,,2
Casey,,,,,,,,,1,,,,1
Caseyville,,,,,,,,,,1,,,1
Catlin,,,,,,1,,,1,,,,2
Centralia,,1,1,,,,,,1,,,,3
Champaign,,,1,4,2,,1,1,2,2,,,13
Channahon,,1,,,,2,,1,,1,,,5
Charleston,,1,,,,,,,2,3,1,1,8
Cherry Valley,,,,,,,,,1,,,,1
Chicago,5,3,10,10,32,23,15,13,34,17,7,7,176
Chicago Heights,,,,,,,,,,1,,,1
Chicago Ridge,,,,,,,,,,1,,,1
Chillicothe,,,,,1,,1,,,,,,2
Chrisman,,,,,,,,,1,,,,1
Cicero,,,,1,,,,,,,,,1
Cisco,,,1,,,,,,,,,,1
Cisne,,,,,,,,1,,,,,1
Cissna Park,,,,,,,1,,,,,,1
Clarendon Hills,,,,,,,,,1,,,,1
Clinton,,,,,1,,,,1,,,,2
COAL CITY,,,,,,1,,,,,,,1
Coal Valley,,,,,,,1,,,,,,1
Colchester,,,,,,,,,,2,,,2
Collinsville,,,,,1,1,2,1,1,,,,6
Colona,,,,,,1,,,,,,,1
Columbia,1,,,,,,,,,1,,,2
Cornell,,,,,,,,1,,,,,1
Cortland,,,,,,,,,,,1,,1
Crest Hill,,,,,,,,1,,,,,1
Crete,,,,,1,1,,,,,,,2
Creve Coeur,,1,,,,,,,,,,,1
Crystal Lake,2,,,1,1,2,,1,1,3,2,1,14
Dakota,,,,,,1,,,,,,,1
Danville,1,,,1,2,1,,1,2,1,,,9
Darien,,,,,1,1,1,1,2,,,,6
De Witt,,,1,,,,,,,,,,1
