City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Akron,,,,,,,1,,,,1,,2
Albion,,,,1,1,2,,1,,,,1,6
Alexandria,,,,,,,,1,1,,,,2
Amboy,,,1,,,,,,,,,,1
Amo,,,,,,,1,,,,,,1
Anderson,,,1,,,,,1,1,,,,3
Angola,,,,1,2,,1,1,,1,1,,7
Attica,,,,1,,,,,,,1,,2
Auburn,,,,,,1,,,1,,,,2
Aurora,,,,,,,1,,,,,,1
Avon,,,1,1,,1,2,3,1,2,1,,12
Bargersville,,,,,,,,,,1,,,1
Batesville,,,,1,,,,,,1,1,,3
Battle Ground,,,,,,,,,,1,,,1
Bedford,,,,,1,,1,,,2,,,4
Berne,,,,1,,,,,,,,,1
Beverly Shores,,,,,,1,,,,,,,1
Bicknell,,,,,,1,,,,,,,1
Birdseye,,,,,,,,1,,,,,1
Bloomfield,,,,,,,,,,1,,,1
Bloomington,1,,1,5,3,1,1,4,3,6,2,1,28
Bluffton,,,,,,1,1,1,2,,,1,6
Boone Grove,,,,,1,,,,,,,,1
Boonville,,,1,,1,,,1,,1,,,4
Borden,,,,,,,,,,1,,,1
Bourbon,,,,,,,,1,1,,,,2
Bradford,,,,,,,1,,,,,,1
Brazil,,,,,,,,,,1,1,,2
Bremen,,,,,,1,2,,,,,,3
Bright,,,,,,,,,1,,,,1
Bristol,,,,,,,,,,1,,1,2
Broad Ripple,,,,,,,,,,,1,,1
Brookville,,,,,,1,,,1,,,1,3
Brownsburg,,,,,,1,2,,1,1,,,5
Brownstown,,,,,,,,,1,,,2,3
Burnettsville,,,,,,,,,1,,,,1
Burns Harbor,,,,,,1,,,,1,,1,3
Cambridge City,,,,,,,,,1,,,,1
Cannelton,,,,,,,,,,,1,,1
Carmel,,,3,2,,4,2,2,1,4,2,2,22
Center Point,,,,,1,,,,,,,,1
Centerville,,,,,,,1,1,,1,,,3
Chandler,,,,,,,,,1,,,,1
Chesterton,,,1,,3,2,1,1,2,1,,1,12
Cicero,,,,,,,2,4,,,,,6
Clayton,,,,,1,,,,,,,,1
Clinton,,,,,,,,,1,,,,1
Colfax,,,,,,,,1,,,,,1
Columbia City,,,,,2,1,4,1,,,3,,11
Columbus,,,2,4,2,4,3,4,3,,2,1,25
Connersville,,,,2,,,,,,,,,2
Converse,,,,,,,,1,,,,,1
Corydon,,,,2,,,,,1,1,1,,5
Covington,,,,,,1,,,,1,,,2
Crane,,,,,,,,,,1,,,1
Crawfordsville,,,1,,1,,,,2,1,1,,6
Crothersville,,,,,,1,,,,,,,1
Crown Point,,,,1,4,1,,1,4,,1,,12
Culver,,,,,,,,1,,1,,,2
Cumberland,,,,,,,,,,1,,,1
Daleville,,,,,,,,,,,1,,1
Danville,,,1,1,,2,3,1,1,1,,,10
Dayton,,,,1,,,,,,,,,1
Decatur,,,,1,1,,,1,1,,,,4
Delphi,,,,,,,,1,,,,,1
DeMotte,,,,,,,,1,,,,,1
Denver,,,,,,,,1,,1,,,2
Derby,,,,,,1,,,,,,,1
Dillsboro,,,,,1,,,,,,,,1
Donaldson,,,,,,1,,,,,,,1
Dubois,,,,,,,,,1,,,,1
Elkhart,,1,2,1,3,2,,2,,,1,1,13
Ellettsville,,,,,,,,,1,,,,1
Elnora,,,1,,,,,,,,,,1
Elwood,,,,,1,,,,,1,,,2
Etna Green,,,,,,1,,,,,,,1
Evansville,2,1,2,3,4,3,3,3,6,6,3,3,39
Fair Oaks,,,,,,,,1,,,,,1
Ferdinand,,,,,,,,,,,1,,1
Fishers,,1,,,2,1,,1,2,1,4,,12
Flora,,,,,,1,1,,,1,,,3
Floyds Knobs,,,,,,1,1,,,,,,2
Fort Wayne,,,1,3,6,5,,5,4,5,2,1,32
Fortville,,,,,1,,,,1,,,,2
Francesville,,,,1,,,,,1,,,,2
Frankfort,,,,,,,1,,,,,,1
Franklin,,,,1,2,,1,,,,1,1,6
Freetown,,,,,,1,,,,,,,1
Fremont,,,,,,1,1,,,,,,2
French Lick,,,,1,,,,,,,,,1
Garrett,,,,,,,1,,1,,,,2
Gary,,,,,3,,1,,,2,,1,7
Geneva,,,,,,,,,,,1,,1
Georgetown,,,,,,1,,,,,,,1
Goshen,,2,,,1,1,1,,1,,,,6
Granger,,,,,1,1,,,,,,,2
Greencastle,,,,1,,1,,,,1,,,3
Greendale,,,,,,,1,,,,,1,2
Greenfield,,,,,,2,1,1,,1,1,,6
Greensburg,,,,,1,,,,1,,1,,3
Greentown,,,,,,1,1,,,,,,2
Greenwood,,,1,3,1,1,,1,1,,,,8
Griffith,,,1,,,1,2,3,2,1,1,,11
Guilford,,,,,,,,,,,1,,1
Hamilton,,,,,,,1,,,,,,1
Hamlet,,,,1,,,,1,,,,,2
Hammond,,,,2,1,1,1,1,1,,2,,9
Hartford City,,,,1,,,,,,1,,,2
Haubstadt,,,,,,1,,,,,,,1
Hebron,,1,,,,1,2,,,,,,4
Henryville,,,1,,,,,,1,,,,2
Highland,,,,,1,,2,1,,1,,,5
Hobart,,,,,1,,1,,,,,,2
Hudson,,,,,,1,,,,,,,1
Huntingburg,,,,,,,1,,,1,,,2
Huntington,,,,,3,,1,1,1,2,1,,9
Indianapolis,5,7,7,14,16,19,9,18,18,19,5,4,141
Jasonville,,,,1,,,,,,,,,1
Jasper,,,,2,2,1,,1,2,1,,,9
Jeffersonville,,,,,,,,,,,1,,1
Kendallville,,,,,,,1,3,,,,,4
Knightstown,,,,,,,1,,,,1,,2
Knox,,,,,,,1,,,,,,1
Kokomo,,,1,,1,2,1,1,,,,1,7
La Porte,,,1,,,,1,1,1,3,,,7
Lafayette,,,,,5,3,2,2,,1,1,1,15
LaGrange,,,,,,1,,,1,,,,2
Lagro,,,,,,1,,,,,,,1
Lanesville,,,,1,,,,,1,,,,2
Lapel,,,,1,,,,,,,,,1
LaPorte,,,1,1,1,,1,1,1,1,2,,9
Larwill,,,,,,1,,,,,,,1
Laurel,,,,,1,,,,,,,,1
Lawrence,,,,,,,,,,1,,,1
Lawrenceburg,,,,1,2,,,,2,1,,,6
Lebanon,,,,,,,,,2,,,,2
Lexington,,,,,,1,,,,,,,1
Lincoln City,,,,,,,,,1,,,,1
Linton,,,,1,,1,,,,,,,2
Logansport,,,1,,,,,,,2,1,,4
Long Beach,,,,,2,,,,,,,,2
Loogootee,,,,1,1,1,,,,,,,3
Lowell,,,,1,,1,1,1,1,,,,5
Madison,,,,,1,1,2,,1,,,,5
Marengo,,,,1,,,,,,,,,1
Marion,,,,2,,1,,2,1,,2,,8
Martinsville,,,,1,,,1,2,1,4,,,9
Marysville,,,,,,,1,,,,,,1
Medora,,,,,,,,,,1,,,1
Mentone,,,,,,1,,,,,,,1
Merrillville,,,,,,,,,1,1,,,2
Metamora,,,,,1,,,,,,,,1
Michigan City,,,,2,,1,2,2,3,1,1,,12
Middlebury,1,,,1,,,,1,,1,,,4
Milford,,,,,1,,,,,,,,1
Mishawaka,,,,,1,2,1,,1,2,1,,8
Mitchell,,,,,,,,,1,,1,,2
Mooreland,,,,,,,,1,,,,,1
Mooresville,,,,,,,,,1,,1,,2
Mount Vernon,,,,,,,,1,,,,,1
Mulberry,,,,,1,,,,,,,,1
Muncie,,1,2,5,1,1,2,,4,2,1,1,20
Munster,,,,,,1,,,,,,,1
Nappanee,,,,,2,,,,,,,,2
Nashville,,1,,,2,,1,,,,1,2,7
New Albany,,,,1,1,,2,1,3,,1,,9
New Castle,,,,,,1,1,,,1,1,1,5
New Harmony,,,,1,1,,,,1,1,,,4
New Haven,,,,,1,1,,1,,,,,3
New Palestine,,,,,,1,,,1,1,,,3
New Pekin,,,,,,,1,,,,,,1
Newburgh,,,,1,,,,2,1,,,,4
Nineveh,,,,,,,1,,,,,,1
Noblesville,1,1,2,1,4,2,1,3,2,1,6,,24
North Liberty,,,,,,3,,,2,,,,5
North Manchester,,,,1,,,,,1,,,,2
North Salem,,,,,,,1,1,1,,,,3
North Vernon,,,,1,,1,1,1,1,,,,5
North Webster,,,,,,,1,,,,,,1
Oldenburg,,,,1,,,1,,,,,,2
Orland,,,,,,,1,,,,,,1
Otterbein,,,,1,,,,,,,,,1
Owensville,,,,,,,,1,,,,,1
Palmyra,,,,1,,,,,1,,,,2
Paoli,,,,,,,,,1,,,,1
Parker City,,,,,1,,,,,,,,1
Patriot,,,,,1,,,,,,,,1
Pekin,,,,,,,,,,,1,,1
Pendleton,,,,,,,3,,,1,1,,5
Peru,,,,,,,1,,1,2,1,,5
Petersburg,,,,,1,,,,,,,,1
Pierceton,,,,,,,,1,,,,,1
Plainfield,,,1,,,3,1,1,2,,,,8
Plymouth,,,,,,3,,1,1,,,,5
Portage,,,1,,2,,1,1,1,2,3,1,12
Porter,,,,,,,,1,1,,,,2
Portland,,,,1,,2,,,1,1,,,5
Poseyville,,,1,,,,,,,,,,1
Princeton,,,,,1,,,,,2,,,3
Remington,,,,,,,,1,,1,,,2
Rensselaer,,,,,,,,,1,,,,1
Richmond,,1,1,1,2,2,1,2,,,,1,11
Rising Sun,,,,,,,,1,1,,,,2
Roanoke,,,,1,,,,,,1,,,2
Rochester,,,,,,1,1,,,1,,,3
Rockville,,,,1,,,1,,1,,,,3
Rolling Prairie,,,,,1,,,1,,,,,2
Rushville,,,,,2,,,,,,,,2
Saint John,,,,,,,,,,1,,,1
Salem,,,1,,,,,,3,,,,4
Santa Claus,,,,,,,,,,,,1,1
Schererville,,,,,2,1,,,1,1,1,,6
Scottsburg,,,,,,,1,,1,,,,2
Selma,,,,,,1,,,1,,,,2
Seymour,,1,,1,1,,1,1,,,3,,8
Shelbyville,1,,,1,,,1,3,,2,1,1,10
Sheridan,,,,,,,,,2,,,,2
Shoals,,,,,,,,,1,,,,1
Solsberry,,,,1,,,1,,,,,,2
South Bend,,,2,2,1,6,1,3,2,3,1,1,22
Speedway,,,,,,,,1,,,,,1
Spencer,,,,1,,1,,1,1,1,1,,6
St. Croix,,,,,,,,,,1,,,1
St. Henry,,,,,,1,,,,,,,1
St. John,,,,,1,,1,,,1,,,3
Starlight,,,,,,1,,,,,,,1
Sullivan,,,,,,1,1,1,,,,,3
Summitville,,,,,,,,,,1,,,1
Sunman,,,,,,,,,1,1,,,2
Syracuse,,,1,,1,,1,1,,1,1,,6
Tell City,,,,,1,1,,1,,1,1,1,6
Terre Haute,,,2,6,4,3,2,1,5,2,3,2,30
Thorntown,,,,,,1,,,,1,,,2
Tipton,,,,1,,,1,1,1,1,,,5
Topeka,,,,,,,1,,,,,,1
Trafalgar,,,,,,,,,,2,,,2
Unionville,,,,,,,,,1,1,,,2
Upland,,,,,,,,,1,,,,1
Vallonia,,,,,,,,,,1,,,1
