City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alexandria,,,,1,,,,1,1,,,,3
Alvaton,,,,,,,,1,2,,,,3
Ashland,,,,,,1,,,,,,,1
Barbourville,,,,1,,,,,,,,,1
Bardstown,,,1,,1,1,,1,2,1,1,,8
Benton,,,,,2,,,,1,,1,,4
Berea,,1,1,1,,1,1,,1,,,,6
Big Bone,,,,,,,,,,,,1,1
Bowling Green,2,1,3,3,1,5,3,3,5,3,5,,34
Brandenburg,,,,,,,,,,1,,1,2
Buckner,,,,,,,,3,,,,,3
Burkesville,,,,,,1,,,,,,,1
Burlington,,1,,1,1,,,1,1,,1,,6
Burnside,,,1,1,,,,,,,,,2
Cadiz,,,,,2,,,,,2,,,4
Calvert City,,,,,,1,,,,,,,1
Campbellsville,,,,,1,1,,1,,,1,,4
Carlisle,,,,,,,,,1,,,,1
Carrollton,,,,,,,,,1,,,,1
Cecilia,,,1,,,,,,,,1,,2
Clinton,,,,1,,,,1,,,,,2
Cloverport,,,,,,,,,,,1,,1
Cold Spring,,,,,,,,1,,,,,1
Columbia,,,,,,1,,,,1,,,2
Columbus,,,,1,,,,,,,,,1
Corbin,,,,,1,,,,1,1,,,3
Corydon,,,1,,,,,,,,,,1
Covington,,1,,,,1,1,1,,1,,1,6
Crescent Springs,,,,,1,,,,,,,,1
Crestview Hills,,,,1,,,,1,,1,,,3
Crestwood,,,1,,1,,,1,,,,,3
Cumberland,,,,,,,,,,1,,,1
Danville,,,1,,2,,,,,4,2,,9
Dawson Springs,,,,,,,,,1,,,,1
Eddyville,,,,,,,,,,,2,,2
Edgewood,,,,,,,1,,,,,,1
Edmonton,,,,,,,,,,1,1,,2
Elizabethtown,1,,2,,1,2,2,3,2,2,,,15
Elkhorn City,,,,,1,,,,,1,,,2
Eminence,,,,,1,,,,,,,,1
Erlanger,,,,,,1,,2,,,2,,5
Falmouth,,,,,,1,,,,,,,1
Fancy Farm,,,,,,,1,,,,,,1
Flatgap,,,,,1,,,,,,,,1
Flemingsburg,,,,,,,1,,,,,,1
Florence,,,,,1,,,,,1,1,,3
Fort Campbell,,,1,,,,,,,1,,1,3
Fort Knox,,,1,1,1,,,,2,1,,,6
Fort Thomas,1,,,,,,1,,,,,,2
Frankfort,,,1,3,1,3,1,,2,1,,,12
Franklin,,,,,,,,,,,1,,1
Georgetown,,,,3,,,,1,1,2,1,,8
Gilbertsville,,1,1,1,,,1,,,,1,,5
Glasgow,,,1,,2,,,,1,1,,1,6
Glendale,,,,,1,,,,,,,,1
Grand Rivers,,,1,,,,,,,1,,,2
Grayson,,,,,,,,1,1,,,,2
Greensburg,,,,1,,,,,,,,,1
Greenville,,,,,,,,1,,,,,1
Hardin,,,,,,,,1,,,,,1
Hardinsburg,,,,,,1,,,,1,1,,3
Harlan,,,,,,1,1,,,,,,2
Harrodsburg,,,,1,,1,,1,,1,,,4
Hawesville,,,,,,,,,,1,,,1
Hazard,,,,,,,,,,1,,,1
Henderson,1,,2,1,2,1,,,2,1,3,1,14
Hickman,,,,,,,,,1,,,,1
Highland Heights,,1,,1,1,,,,,1,,,4
Hodgenville,,,,1,,,,1,,1,,,3
Hopkinsville,,,,,2,,1,,2,,,,5
Irvine,,,,1,,,,,,,,,1
Jackson,,,,,,,,,1,,,,1
Jeffersontown,,,,,,,,,1,1,,,2
Junction City,,,,,,,,1,,,,,1
Kuttawa,,,,,,,,,1,1,,,2
La Grange,,,,1,1,,1,,,1,1,,5
Lawrenceburg,,,,,1,1,,,,,,,2
Lebanon,,,1,,1,,,,1,,,,3
Leitchfield,,,,,,,,,,,,1,1
Lexington,2,1,8,6,11,10,3,4,9,10,8,2,74
Liberty,,,,,,,,,,1,,,1
Livingston,,,,,,,,,1,,,,1
London,,,,2,,,,,1,,,,3
Louisville,2,3,6,5,7,9,3,7,11,16,10,7,86
Lynch,,,,,1,,,,,,,,1
Madisonville,,,,,,1,,,1,2,,,4
Manchester,,,,1,,,,,,,1,,2
Marion,,,,1,,,,,,1,1,,3
Mayfield,,,,,1,,,1,1,,2,,5
Maysville,,,,,1,1,1,1,1,1,,,6
Midway,,,,1,,,,,,1,,,2
Monticello,,,,,,,,,1,,,,1
Morehead,,,1,1,,,2,,1,,,,5
Morganfield,,,,,,,,1,,,,1,2
Mount Eden,,,,,1,,,,,,,,1
Mount Sterling,,,,,1,,,1,,1,,,3
Mount Washington,,,,,1,,,,,,,,1
Mt. Vernon,,,,,,,,1,,,1,,2
Murray,,1,,1,1,,1,,1,1,,1,7
Nancy,,,,,,,,,,1,,,1
New Castle,,,,,,,,,1,,,,1
Newport,,,1,,2,1,,,1,1,,,6
Nicholasville,,,1,,1,,1,,,1,,,4
Nortonville,,,1,,,,,,,1,,,2
Olive Hill,,,,,1,,1,,1,,,,3
Owensboro,,,2,1,4,2,,3,2,2,,,16
Owingsville,,,,,,,,,,1,,,1
Paducah,,1,1,2,3,1,1,,1,3,1,,14
Paintsville,,,,1,,,,,,1,,1,3
Paris,,,,,,1,,,,1,,,2
Petersburg,,,,,,,,,,1,,,1
Pewee Valley,,,,,,,,,,1,,,1
Pikeville,1,,,1,1,,1,,2,2,,,8
Pine Ridge,,,,,,,,,,,1,,1
Prestonsburg,,,,,2,1,,1,,2,,,6
Princeton,,,,,,,1,,,,,,1
Prospect,,,,,,,,1,,,,,1
Radcliff,,,,,1,2,,,,,1,,4
Richmond,,,,,1,1,,1,1,4,,,8
Rineyville,,,,,,,,,1,,,,1
Russell Springs,,,,,,1,,1,,,,,2
Russellville,,,,1,,,,,,,,,1
Salvisa,,,,,,,,,1,,,,1
Scottsville,,,,2,,,,,,1,1,,4
Settle,,,,,,,,,1,,,,1
Shelbyville,,2,1,1,,,,,1,,1,1,7
Shepherdsville,,,,,,,,,1,,,,1
Slade,,,,,,,,,,,1,,1
Smithland,,,,,,,,1,,,,,1
Somerset,,,,1,1,,,,1,1,,,4
South Williamson,,,,,,1,,,,,,,1
Sparta,,,,,,1,,1,,,,,2
Springfield,,,,,,1,,,,1,,,2
St. Catharine,,,,1,,,,,,,,,1
Stanford,,,,,,,,,1,1,,1,3
Stanton,,,,,,1,,,1,,,,2
