City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Abington,5,1,,,4,5,4,4,1,1,2,3,30
Acton,,1,,,,1,,,1,1,1,,5
Acushnet,,,,,,,,,1,,,,1
Adams,,,,,,1,,,,,1,,2
Agawam,,,,1,,,,,2,1,,,4
Allston,,,,,,,,,1,1,,,2
Amesbury,,,,,1,1,1,,,,,,3
Amherst,,1,,3,2,,,,1,5,,,12
Andover,,,,5,3,1,,,1,1,1,,12
Aquinnah,,,,,,,,,,1,,,1
Arlington,,,,,1,,,,1,,,,2
Ashburnham,,,,,1,,,,,,,,1
Ashby,,,,,1,,,,,,,,1
Ashland,,,1,1,,3,,,,1,,,6
Assonet,,,,,,,,,1,,,,1
Athol,,,,1,,,,,,,1,,2
Attleboro,,,,,1,,,,,3,1,,5
Auburn,,,,1,,,,,1,1,,,3
Auburndale,,,,,,1,,,,,,,1
Ayer,,,1,,1,,,,,1,1,,4
Baldwinville,,,,,,1,,,,1,,,2
Barre,,,,,1,,1,,,,,,2
Bedford,,,,,,,,1,1,,1,,3
Belchertown,,,,,,,,,1,1,,,2
Bellingham,,,,1,,,,,,1,,,2
Belmont,,,,,,1,,,,,,,1
Berkley,,,,,1,,,,,,,,1
Bernardston,,,,,1,,,,,1,,,2
Beverly,,,,,3,3,,1,,1,1,1,10
Beverly Farms,,,,,,,,1,,1,,,2
Billerica,,,,,,,,,1,1,,,2
Blackstone,,,,,,1,,,,,,,1
Bolton,,,,,,,,,1,,,,1
Boston,,4,2,11,6,7,5,1,12,10,2,4,64
Bourne,,,,,2,,1,1,,,1,,5
Boxborough,,,,,,1,,,,,,,1
Boxford,,,,,,,1,,1,,,,2
Boylston,,,,,1,,,1,,,,,2
Bradford,,1,,1,,,,,,,1,,3
Braintree,,,1,2,2,1,,,2,1,1,1,11
Brewster,,,,,1,,,2,1,,,,4
Bridgewater,,,,,,,,,2,,1,,3
Brighton,,,,1,2,,,,2,1,4,,10
Brimfield,,,,1,,,,,,,,,1
Brockton,,1,,4,4,4,6,7,1,,,,27
Brookfield,,,,,,,,,1,,,,1
Burlington,,,,1,1,1,,,2,,,,5
Buzzards Bay,,,,2,1,,,,2,2,,,7
Byfield,,,,,,,,,,1,,,1
Cambridge,1,,2,1,4,1,3,1,3,1,,2,19
Canton,,,,3,1,2,,,,4,,,10
Carver,,,,,,,1,,2,,,1,4
Centerville,,,,,,1,,,1,,1,,3
Charlemont,,,1,,1,,,,,,,,2
Charlestown,,,,,,1,,,,,,,1
Charlton,,,,,,,1,,1,,,,2
Chatham,,,,,,,,,,1,1,,2
Chelmsford,,,,1,,2,,,1,,,,4
Chestnut Hill,,,,2,2,,,,,3,,,7
Chicopee,,,,,1,1,,,,1,,,3
Chilmark,,,,,,,,1,,,,,1
Clinton,,,1,,1,,,,,1,1,,4
Cohasset,,,1,,,1,,,,2,1,,5
Concord,,,,,2,,1,,1,,1,,5
Conway,,,,,,,,,,1,,,1
Cotuit,,,,,,,,2,,1,,,3
Danvers,4,4,5,4,4,5,4,5,4,4,5,6,54
Dartmouth,,,1,,,,,,2,,,,3
Dedham,,,,1,,2,1,,1,1,1,,7
Deerfield,,,,,,,,,,,1,,1
Dennis,,,,,,,,,1,1,1,,3
Devens,,,,,1,,,,1,,,,2
Dorchester,,,,,2,1,,,,1,1,1,6
Douglas,,1,,,1,,,,1,,,,3
Dover,,,,,1,,,,1,1,,,3
Dracut,1,,,,,1,,,2,1,,,5
Dudley,,,,,1,,,,,,,,1
Duxbury,,,,1,1,1,1,,1,,,,5
East Boston,,,,,1,,,,,,1,,2
East Bridgewater,,,,,,,,,1,,,,1
East Falmouth,,,,,,,,1,1,,,,2
East Harwich,,,,,,,,,1,,,,1
East Longmeadow,,,,,,,,,1,,1,,2
East Taunton,,,,,1,,,,,,,,1
East Walpole,,,,,,,,,1,,,,1
Eastham,,,,,1,,,,1,,,,2
Easthampton,,,,,,,,1,,,,,1
Easton,,,,1,1,,1,,,1,1,1,6
Edgartown,,,,,,,,2,,,,,2
Essex,,,,,,,,,,,1,,1
Everett,,,,1,,,,,1,,,,2
Fairhaven,,,,1,,1,,,1,,2,,5
Fall River,,,1,2,1,,,1,,1,,,6
Falmouth,,1,,1,1,1,2,1,3,2,1,1,14
Falmouth Heights,,,,,,1,,,,,,,1
Fiskdale,,,,,,,,,,,1,,1
Fitchburg,2,,1,2,1,2,1,1,1,1,1,,13
Florence,,,,2,1,,,,,2,,,5
Foxboro,,1,1,,,,,,,2,,,4
Foxborough,,,,,2,,1,1,,1,,,5
Framingham,,,,,4,,,1,,3,2,,10
Franklin,,,,,3,,,,,1,1,,5
Freetown,,,,,,1,,,,,,,1
Gardner,,2,,,2,2,,,2,,2,,10
Georgetown,,,,,,,,,,1,,,1
Gloucester,,,,1,2,2,,,3,,,1,9
Grafton,,,,,1,,,,,,,,1
Granby,,,,1,,,,1,,,,,2
Great Barrington,,,,,,,,,,1,1,,2
Greenfield,,,,,,1,,1,1,,,,3
Groton,,,,1,,,,,,,,,1
Groveland,,,,,,,,1,,,,,1
Hadley,,,,1,,,,,1,1,,,3
Halifax,,,,,,1,,,,,,,1
Hamilton,,,,,1,,1,,1,,1,,4
Hanover,,,,,,,,,,2,,,2
Hardwick,,,,,,,,1,,,,,1
Harvard,,,,,,1,1,,2,,,,4
Harwich,,,,,,,,,1,1,,,2
Harwich Port,,,,,,1,,,,,,,1
Hatfield,,,,,,,,,,,1,,1
Haverhill,,1,,1,2,1,,,2,4,1,,12
Hingham,,,,1,2,5,1,1,1,6,1,,18
Holbrook,,,,,,1,,,,,,,1
Holden,,,1,,,,,,,3,1,,5
Holland,,,,,1,,,,,,,,1
Holliston,,,,,1,,,,1,,,,2
