City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acme,,,,,,,1,,,,,,1
Ada,,,,,,2,,1,1,,1,,5
Adrian,,1,,,2,,1,1,1,,2,,8
Albion,,,,,,,,,1,,,,1
Algonac,,,,,,,1,,,,,,1
Allegan,,,,,,,1,1,1,,,,3
Allen Park,,,,,,,,1,,,,,1
Allendale,1,1,1,2,,,,,1,1,1,,8
Alma,,1,,,2,,,2,1,2,1,1,10
Almont,,,,,,,,,,,,1,1
Alpena,,,,,,1,,,1,,,,2
Alto,,,,,,,,,,1,,,1
Ann Arbor,2,2,4,10,8,,5,5,4,9,3,1,53
Arcadia,,,,,,,1,,,,,,1
Au Gres,,,,,,,1,,,1,,,2
Auburn,,,,,,,1,,1,,,1,3
Auburn Hills,,,,,2,1,,,,,,,3
Augusta,,,,,,2,,1,,,,,3
Avoca,,,1,,,,,1,,1,,,3
Bad Axe,,,,,1,,,,,1,,,2
Baldwin,,,,,,,1,,1,1,,,3
Bangor,,1,,,,,,,,,,,1
Bark River,,,,,,,,,1,,,,1
Baroda,,,,,,,,1,,,,,1
Bath,,,,,,,,1,,,,2,3
Battle Creek,,,,1,4,4,1,5,2,1,2,1,21
Bay City,1,1,1,1,,5,1,2,1,2,1,1,17
Bay Port,,,,,,,,1,,,,,1
Beaverton,,,,,,,1,,,,,,1
Belding,,,,,,,,,1,1,,,2
Bellaire,1,,,,,,,1,1,,,,3
Belleville,,,,,,,2,,,1,,1,4
Belmont,,1,,,,,,,,1,,,2
Benton Harbor,,,,3,,,,2,1,1,2,,9
Berkley,,,,,1,,,,,,,1,2
Berrien Springs,,,,1,1,,,,1,,,,3
Bessemer,,,,,,,,,,,,1,1
Beulah,,,,,,,1,1,,,,,2
Beverly Hills,,,,,2,,,,,1,,,3
Big Rapids,,,,1,1,,,1,2,1,1,,7
Birch Run,,,,,,,1,,,,,,1
Birmingham,,,,,,,,1,,,,,1
Blissfield,,,,1,,,,,,1,,2,4
Bloomfield Hills,,,,,,1,,,2,2,,,5
Bloomfield Township,,,,1,,,,,,,,,1
Bloomingdale,,,,,,,,,,1,,,1
Boyne City,,,,,,,1,,1,,2,,4
Boyne Falls,,,,,,2,,,,,,,2
Breckenridge,,,,,,,,,1,,,,1
Brethren,,,,,,1,,,,,,,1
Bridgeport,,,,,,1,,,1,1,,,3
Bridgman,,,,,,,1,,,,,,1
Brighton,,,1,,4,3,2,3,3,1,2,,19
Bronson,,,,,,,,,,1,,,1
Brooklyn,,,,1,1,,,,1,,,,3
Brownstown,,,,,1,,,,,,,,1
Buchanan,,,,,1,,,,,1,,,2
Buckley,,,,,,,,1,,,,,1
Burnips,,,,,,,1,,,,,,1
Burr Oak,,,,,,,1,,,,,,1
Burton,,1,,,2,,1,,1,,1,,6
Byron Center,,,,1,,,1,,,,,,2
Cadillac,,,,1,1,2,,1,,,1,1,7
Caledonia,,,,,,,1,,1,,,,2
Calumet,,,,,,,,1,,,,,1
Cannonsburg,,,,,,,,,1,,,,1
Canton,1,,,1,1,1,,,1,1,,,6
Capac,,,,,,1,,,1,,1,,3
Caro,,,,,,2,,1,,1,,,4
Caseville,,,,,,,1,1,1,,,,3
Cass City,,,,,,,1,,2,,,,3
Cedar Springs,,,,,,,,,1,,,,1
Central Lake,,,,,,1,1,,,,,,2
Centreville,,,,,,1,,,,,,,1
