City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Afton,,,,,,,1,,,,,,1
Aitkin,,,,,,,,2,,,,,2
Albert Lea,,,,,1,,1,,,,,,2
Alexandria,,,,,3,2,1,1,3,1,,,11
Almelund,,,,,,,,,,1,,,1
Andover,,,1,2,4,2,3,2,2,,1,,17
Annandale,,,,,,,2,,,,,,2
Anoka,,,,1,1,,,,,1,,,3
Apple Valley,,,,,1,,2,1,,,,1,5
Arden Hills,,,1,,,,,,,,,,1
Argyle,,,,,,,,,1,,,,1
Arlington,,,,,,,,,1,,,,1
Ashby,,,,,,,1,,,,,,1
Audubon,,,,,,1,,,,,,,1
Austin,,1,,,1,1,1,,3,,,,7
Barnesville,,,,,,,,1,,,,,1
Battle Lake,,,,,,,2,,,,,,2
Baudette,,,,,,1,1,,,,,,2
Baxter,,,,,,1,,3,,,1,,5
Bayport,,,,,,,1,,,,,,1
Becker,,,1,,1,2,,1,,1,,,6
Bejou,,,,,,1,,,,,,,1
Belle Plaine,,,,,,,1,1,,1,,,3
Bemidji,1,,1,1,,,2,1,1,2,,,9
Bertha,,,,,,,1,,,,,,1
Big Lake,,,,,,1,1,2,,1,,,5
Bigfork,,,,,,,,,1,,,,1
Bird Island,,,,,,1,,,,,,,1
Biwabik,,,,,,,1,1,,,,,2
Blaine,,,,,,,,,2,3,1,,6
Bloomington,4,2,,,3,2,1,4,4,5,,3,28
Braham,,,,,,,,1,,,,,1
Brainerd,,,,,,2,,,,1,,,3
Brooklyn Center,,,,,1,,,,,,,,1
Brooklyn Park,,,,,,2,,1,,,,,3
Buffalo,,,,,1,2,,1,1,,,,5
Buffalo Lake,,1,,,,,,,,,,,1
Burnsville,,,,,1,1,,,1,,1,,4
Butterfield,,,,,,,1,,,,,,1
Byron,,,,,,,1,,,,,,1
Caledonia,,,,,,1,,1,,1,,,3
Cambridge,,,,1,2,,,,1,,,,4
Canby,,,,,,1,,,1,,,,2
Cannon Falls,,,,1,,,,,,,,,1
Carlton,,,,,,,1,,,,,,1
Carver,,,,,,,,,2,,,,2
Cass Lake,,,,,,1,,,,,,,1
Center City,1,,,,,,,,,,,,1
Centerville,,,1,,,,1,,2,,,,4
Champlin,,1,,,,,,,,,,,1
Chanhassen,2,,,,,1,1,,1,,,,5
Chaska,,,,,3,2,,1,,,1,,7
Chatfield,,,,,,1,,,,,,,1
Chisago City,,,,,,,,1,,,,,1
Chisago Lakes,,,,,,,2,,,,1,,3
Chisholm,,,,,,,,1,,,,,1
Circle Pines,1,,,,,,,,,,,,1
Clearwater,,,,,,1,1,1,,,,,3
Cloquet,,,,,2,,1,,3,2,,,8
Cohasset,,,,,1,,,,,,,,1
Cokato,,,,,,1,,,,,,,1
Cold Spring,,,,1,1,1,1,1,,,,,5
Collegeville,,,,,,,,,,1,,,1
Coon Rapids,2,,,,1,,,,1,,,,4
Corcoran,,,,,,,,1,,,,,1
Cottage Grove,,,,,1,1,1,,,,1,,4
Cottonwood,,,,,,,1,,,,,,1
Crookston,,,,1,,,,1,,,,,2
Crosslake,,,1,,,,1,,,1,,,3
Crosstown,,,,1,,,,,,,,,1
Crystal,,,,,,,1,,1,,,,2
Darwin,,,,,,,,1,,,,,1
Dassel,,,,,,,,,1,,,,1
Dawson,,,,,,1,,,,,,,1
Dayton,,,,,,,1,,,,,,1
Deer Creek,,,,,,,1,,,,,,1
Deer River,,,,,,,1,,,,,,1
Deerwood,,,,,,,,1,,,,,1
Delano,,,,,,,1,,,,,,1
Detroit Lakes,,1,,,1,1,,2,2,,,,7
Dilworth,,,,,,,1,,,,,,1
Douglas,,,,,,,,1,,,,,1
Duluth,,1,,4,10,7,3,7,14,6,2,1,55
Eagan,,,,2,3,2,1,1,2,1,,,12
Eagle Lake,,,,,,,1,,,,,,1
East Bethel,,,,,,,1,,,,,,1
East Grand Forks,,,,,1,,,,1,1,,,3
Eden Prairie,1,1,,,3,1,1,3,3,,,,13
Edina,,,,,,,,,1,1,,,2
Elgin,,,,,,1,,,,,,,1
Elk River,,1,1,,1,1,,1,1,,,,6
Ellendale,,,,,,,,,1,,,,1
Ely,,,,,,,1,,2,,,,3
Elysian,,,,,,,1,,,,,,1
Excelsior,1,,1,,,1,2,,1,,,,6
Eyota,,,,,,,2,,,,,,2
Fairfax,,,,,,1,,,,,,,1
Fairmont,,,,,,1,1,,1,,,,3
Faribault,,,,3,,1,,1,1,1,1,,8
Farmington,,,,,,1,,,,1,,,2
Fergus Falls,,,,,1,1,2,1,2,,1,,8
Floodwood,,,,,,,1,,,,,,1
Forest Lake,,,,,1,,,,1,,,,2
Fort Snelling,,,,,,,,,1,,,,1
Frazee,,,,,,,1,,,,,,1
Fridley,1,,,1,1,,,1,,,,,4
Frontenac,,,,,,,,,1,,,,1
Gaylord,,,,,,,,1,,,,,1
Gibbon,,,,,,,1,,,,,,1
Glencoe,,,,,1,,,,,,,,1
Glenwood,,,,,1,,1,1,,,,,3
Glyndon,,,,,,1,1,,,,,,2
Golden Valley,,,,1,,,,,,,,,1
