City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Ackerman,,,,,,1,,,,,,,1
Amory,,,,,,,,1,,,,,1
Batesville,,,,,,,,,,,1,,1
Bay Saint Louis,,,,,,,,,1,,1,,2
Bay St. Louis,,2,2,1,,,2,,1,1,,1,10
Belmont,,,,,,1,,,,,,,1
Biloxi,3,1,1,3,,,1,,2,,2,,13
Booneville,,,,,,,,,,1,,,1
Brandon,,,,1,1,,,1,,1,,1,5
Brookhaven,,,,,1,,,,,,,,1
Burnsville,,,,,,,,,1,,,,1
Byram,,,,,,,,1,,,,,1
Caledonia,,,,,,,,,,1,1,,2
Canton,,,,1,,,1,,1,,,,3
Carthage,,,,,1,,,,,,,,1
Clarksdale,,,1,1,,,,,,,,,2
Cleveland,,1,,,,,,,,,1,,2
Clinton,,1,,,1,1,,,,2,,,5
Collins,,,,,1,,,,,1,,,2
Collinsville,,,1,,,,,,,,,,1
Columbia,,,3,,1,,,,,1,,,5
Columbus,,,1,1,,,1,1,,3,1,,8
Corinth,,,,,1,,,,,,,,1
Crystal Springs,,,,,,1,,,,,,,1
D'Iberville,,,,,1,,,,,,,,1
Decatur,,,,,1,,,1,,,1,,3
Diamond,,,,,,,,1,,,,,1
Durant,,,,,1,,,,,,,,1
Ellisville,1,,1,2,,,,,,,2,,6
Flora,,,,,,,,,,1,,,1
Florence,,,1,,1,,,,,,,,2
Flowood,1,,,2,1,,,,,1,,,5
Forest,,,,,,,,,1,,,,1
French Camp,,,,1,,,,,,,,,1
Gautier,,,,,,,,,,,1,,1
Gluckstadt,,,,,,,,,,,1,,1
Greenville,,1,,,1,,,,,,,,2
Greenwood,,,1,,,,,,,,,,1
Grenada,,,,,1,1,,,,1,1,,4
Gulfport,,,1,2,2,,,,1,1,1,,8
Hattiesburg,4,3,6,5,4,1,1,1,1,7,3,2,38
Hernando,,,,,1,,,,,1,,,2
Hollandale,,,,1,,,,,,,,,1
Holly Springs,,,,1,,,,,,,,,1
Houston,,,,1,,,,,,,,,1
Hurley,,,,1,,,,,,,,,1
Indianola,,,,,,,,1,,,,,1
Iuka,,,1,,1,,,,,,,,2
Jackson,1,,3,5,1,1,3,1,3,5,3,,26
Kiln,,,,,,,,,,1,,,1
Laurel,1,2,1,,3,2,,,,1,,,10
Leakesville,,,,,,,,,,1,,,1
Leland,,,,,,1,,,,,,,1
Long Beach,,,,,,,,,1,1,1,1,4
Louisville,,,,,1,,1,,,,,,2
Lucedale,,,1,,,,,,,,,,1
Lumberton,,,,1,,,,,,,,,1
Madison,1,,,,1,1,1,,,1,,1,6
Magee,,1,,,1,,,,1,1,,,4
Mantachie,,1,,,,,,,,,,,1
Meadville,,,1,,,,,,,,,,1
Mendenhall,,,,,1,,,,,,,,1
Meridian,1,,,1,,1,1,,,2,2,,8
Mississippi State,,,,1,,,,,,,,,1
Natchez,,,1,1,,,,,,,1,,3
Nettleton,,,,,,,,,1,,,,1
New Albany,,,,,,,,,1,,,,1
Ocean Springs,1,1,,1,1,,1,,,1,,2,8
Olive Branch,,,,1,,,,,,,,,1
Oxford,,,1,2,,,1,,,,,,4
Pascagoula,,,,1,,1,,,1,,,,3
Pass Christian,,,,,1,,,1,,1,,2,5
Pearl,,,,,,1,,1,,,1,1,4
Perkinston,,,,,,,,,,,1,,1
Petal,,1,2,,,,,,1,1,,,5
Picayune,,,,,1,,,3,,1,,1,6
Poplarville,,,,,,1,,,,,,,1
Prentiss,,,,1,,,,,,,,,1
Richland,,,,,,,,,1,,,,1
Richton,,,,,,,,1,,,,,1
Ridgeland,,1,,,2,1,,,,1,1,,6
Sardis Lake,,,,,,1,,,,,,,1
Senatobia,,,,,1,,,,,,,,1
Sharon,,,,,1,,,,,,,,1
Southaven,,,,,,,,,,,1,,1
Star,,,,1,,,,,,,,,1
Starkville,1,1,,1,,,,,,1,2,,6
Summit,,,,1,,,,,,1,,,2
Sumrall,,,2,,,,,,,1,,1,4
Taylorsville,,,,,,,,,,,1,,1
Tupelo,1,,,3,1,1,,,2,1,,,9
University,,,,2,,,,,,,,,2
Vicksburg,1,,1,,,,,2,1,1,,,6
Waveland,,,,,1,,,,,,,,1
Waynesboro,,,,1,,,,,,,,,1
West Point,,,,1,1,,,,,,,,2
Wiggins,,,1,,,,,,,,,,1
Winona,,,,1,,,,,,,,,1
Woodville,,,1,,,,,,,,,,1
Wool Market,,,,1,1,1,,,,,,1,4
Total,17,17,35,51,41,19,14,17,22,46,31,14,324
