City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Absarokee,,,,,,,,,,1,,,1
Anaconda,,,1,,1,,1,,,,,,3
Arlee,,,,1,,,,,,,,,1
Baker,,,,,,,,,1,,,,1
Basin,,,,,,,1,,,,,,1
Belgrade,,,,,,2,,,,,,,2
Big Sky,,,,,,,,1,,,1,,2
Big Timber,,,,,,1,,,,,,,1
Bigfork,,,,,3,,1,1,,1,,,6
Billings,,,3,1,4,1,3,6,4,5,2,,29
Black Eagle,,,,,,,,,1,,,,1
Bonner,,,,1,,,,,,1,,,2
Bozeman,,1,2,2,7,5,4,2,3,5,2,2,35
Butte,,,,,1,1,,2,1,1,,,6
Colstrip,,,,,,1,,,,,,,1
Columbia Falls,,,,,,,1,,,,,,1
Condon,,,,,,1,,,,,,,1
Conrad,,,,1,,,,,1,,,,2
Crow Agency,,,,,,,,1,,,,,1
Cut Bank,,,,,,,1,,,,,,1
Darby,,,,,,,1,,,,,,1
Dillon,,,,,,,1,,,,,,1
Dixon,,,,1,,,,,,,,,1
East Glacier,,,,,,1,,,,,,,1
East Helena,,,,,1,,,,,,,,1
Ennis,,,,,1,,3,1,,,,,5
Eureka,,,,,,,,1,,,,,1
Fort Peck,,,,,,,,1,,,,,1
Frenchtown,,,,,1,,,1,,,,,2
Gardiner,,,,,,,,,1,,,,1
Glen,,,,,,1,,,,,,,1
Glendive,,,,,,,,,,,1,,1
Great Falls,,,1,3,2,,1,3,2,2,1,,15
Greenough,,,,,,,,,,1,,,1
Hamilton,,,,,1,1,,2,,,,,4
Havre,,,,,,,,1,,1,,,2
Helena,,,,2,3,1,2,1,4,3,,,16
Inverness,,,,,,,,,1,,,,1
Kalispell,,,,2,4,2,3,,,3,,,14
Lakeside,,,,,,,,,,1,,,1
Laurel,,,,,,,1,,,,,,1
Lewistown,,,,,,,,1,,1,,,2
Libby,,,,,,1,,,,1,,,2
Lima,,,,,,,,1,,,,,1
Lincoln,,,,,,,1,,,,,,1
Livingston,,,,,,1,1,,1,,1,,4
Manhattan,,,,,1,1,,,,,,,2
McLeod,,,,,,,1,,,1,,,2
Miles City,,,1,,,,,1,,1,,,3
Missoula,1,1,1,6,6,3,2,2,3,5,3,1,34
Montana City,,,,,,,,1,,,,,1
Paradise,,,,,1,,,,,,,,1
Plentywood,,,,,,,1,,,,,,1
Polebridge,,,,,,,,,,1,,,1
Polson,1,,,,1,,,1,,1,1,,5
Pony,,,,,,1,,,,,,,1
Red Lodge,,,,1,,,1,,2,,,,4
Roscoe,,,,,,,,1,,,,,1
Roundup,,,,,1,,,,,,,,1
Seeley Lake,,1,,,,,,1,,,,,2
Sidney,,,,,1,2,,1,,1,,,5
St. Ignatius,,,,,,,1,,,,,,1
St. Regis,,,,,,1,,,,,,,1
Stanford,,,,,,,1,,,,,,1
Stevensville,,,,,,,,,1,,,,1
Three Forks,1,,,1,,,2,,1,,,,5
Trout Creek,,,,,,,,1,,,,,1
Ulm,,,,,1,,,,,,,,1
Victor,,,,,,,,,1,,,,1
West Yellowstone,,,,,,1,,,2,,,,3
Whitefish,,,,,1,2,1,1,1,2,1,,9
Wisdom,,,,,,,,,1,,,,1
Wolf Creek,,,,,,,,,,1,,,1
Total,3,3,9,22,42,31,36,36,32,40,13,3,270
