City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Abercrombie,,,,,,,,1,,,,,1
Argusville,,,,,1,,,,,,,,1
Arthur,,,,,,,1,,,,,,1
Arvilla,,,,,,,,,,1,,,1
Berthold,,,,,,1,,,,,,,1
Bismarck,,,,4,2,1,1,3,5,1,1,1,19
Bottineau,,,,,,2,,,,,,,2
Bowman,,,,,,,,,1,,,,1
Casselton,,,,,,,1,,,,,,1
Crosby,,,,,,,,1,,,,,1
Devils Lake,,,,,,1,,,,,,,1
Dickinson,,,,,1,,1,3,,,,,5
Drayton,,,,,,,,,1,,,,1
Fargo,1,1,2,2,4,5,,2,2,6,3,1,29
Finley,,,,,,1,,,,,,,1
Flasher,,,,,,1,,,,,,,1
Garrison,,,,,,1,,,,,,,1
Grand Forks,,2,1,,1,1,1,2,2,2,,,12
Harvey,,,,,,,1,,,,,,1
Hettinger,,,,,,,1,,,,,,1
Hillsboro,,,,,,1,,,,,,,1
Lisbon,,,,,,1,,,,1,,,2
Maddock,,,,,,,,,1,,,,1
Mandan,,,,1,,,2,1,1,2,,,7
Mayville,,,,,,1,,,1,,,,2
McVille,,,,,,,1,,,,,,1
Medora,,,,,,1,,2,,,,,3
Minot,,,,,,,2,2,,,,,4
Minto,,,,,,,,,1,,,,1
New Rockford,,,,1,,,1,,,,,,2
Northwood,,,,,,,1,,,,,,1
Page,,,,,,1,,,,,,,1
Powers Lake,,,,,1,,,,,,,,1
Ray,,,,,,1,,,,,,,1
Surrey,,,,,,,,1,,,,,1
Thompson,,,,,,,1,,,,,,1
Turtle Lake,,,,,1,,,,,,,,1
Valley City,,,,,,1,,,1,,,,2
Wahpeton,,,,,,,,,1,,,,1
Walhalla,,,,,,,1,,,,,,1
Washburn,,,,,,1,,,1,,,,2
Watford City,,,,,,1,,,,,,,1
West Fargo,,,,,,,1,1,1,1,,,4
Wilton,,,,,,1,,,,,,,1
Wing,,,,,,1,,,,,,,1
Total,1,3,3,8,11,25,17,19,19,14,4,2,126
