City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alliance,,,,,,,,1,,,,,1
Alma,,,,,,,1,,,,,,1
Arapahoe,,,,,,,1,,,,,,1
Arlington,,,,,,,1,,,,,,1
Arthur,,,,1,,,,,,,,,1
Ashland,,1,,,4,1,,,,2,1,1,10
Atkinson,,,,,,1,,,,,,,1
Aurora,,,,,,,,,,1,,,1
Bancroft,,,,,,,,,1,,,,1
Battle Creek,,,,,,1,,,,,,,1
Beatrice,,,,,,1,,,,1,,,2
Bee,,,,1,,,,,,,,,1
Bellevue,2,2,2,,,2,,,,1,1,,10
Bellwood,,,,,,,,1,,,,,1
Bennington,,,,,,,,,,1,,1,2
Blair,,,,,,1,,,1,,,,2
Boys Town,,,,,1,,,,,,,,1
Bradshaw,,,,,,,1,,,,,,1
Brady,,,,1,,,,,,,,,1
Brainard,,,,,,,,,1,1,,,2
Bridgeport,1,,,,,1,1,1,1,2,,,7
Broken Bow,,,,1,1,,,,,,,,2
Brownville,,,,,,,1,,,,,,1
Burwell,,,,1,,1,1,,,1,,,4
Cairo,,,,,,1,,,,,,,1
Central City,,,,,,,2,,,1,,,3
Chadron,,,,,,1,,,1,,,,2
Columbus,,,,1,,,1,,,1,,,3
Cozad,,,,,,,,1,,,,,1
Crete,,,,,,1,,,,,,,1
Culbertson,,,,,,,1,,,,,,1
Dalton,,,,,,1,,,,,,,1
David City,,,,,,,,,,,1,,1
Dawson,,,,,,,,,,1,,,1
Doniphan,,,,,,1,,,,,,,1
Eagle,,,,,,,,,,1,,,1
Edgar,,,,,,1,,,,,,,1
Elmwood,,,,,,,,,1,,,,1
Elwood,,,,,,,1,,,,,,1
Eustis,,,,,,2,,,,,,,2
Fairbury,,,,1,,2,,,,,,,3
Falls City,,,,,,,1,,,,,,1
Fontanelle,,,,,,,,,,1,,,1
Fort Calhoun,,,,,,,,,1,,,,1
Fremont,,,,,1,1,,,,,1,,3
Fullerton,,,,,,,1,,,,,,1
Genoa,,,,,,1,,,,,,,1
Gering,,,,,1,,,,,,,,1
Giltner,,,,,,,,,1,,,,1
Grand Island,,1,1,2,2,1,1,3,,3,,,14
Gretna,,,,2,,1,,,,,,,3
Halsey,,,,,1,,1,,,,,,2
Hastings,,,,,2,,1,2,,1,1,,7
Henderson,,,,,,,1,,,1,,,2
Hickman,1,,,,,,,,,,,,1
Holdrege,,,,,,1,,,,,,,1
Hooper,,,,,,,1,,1,,,,2
Humboldt,,,,,,,,,1,,,,1
Kearney,,,1,4,,1,1,1,4,2,1,,15
La Vista,,,,,,,,,,,,1,1
Lincoln,1,1,2,4,5,3,2,8,7,8,2,4,47
Louisville,,1,,1,,,,,,,,,2
Loup City,,,,,,,,,1,,,,1
Lyons,,,,,,,1,,,,,,1
Marquette,,,,,,1,,,,,,,1
McCook,,,,,,,1,,,,,,1
Memphis,,,,1,,,,,,,,,1
Milford,,,,1,,,,1,,,,,2
Milligan,,,,,,1,,,,,,,1
Minatare,,,,,,,,1,,,,,1
Minden,,,,,1,,,,,,,1,2
Murray,,,,,,,1,,,,,,1
Naponee,,,,,,,,1,,,,,1
Nebraska City,,,,1,,,,1,,,1,,3
Neligh,,,,,,,,,1,,,,1
Norfolk,,1,,,,1,,,1,2,1,,6
North Loup,,,,,,,,1,,,,,1
North Platte,,1,2,3,1,1,,1,,1,,,10
O'Neill,,,1,,,,,,1,,,,2
Oakland,,,,,,1,,,1,,,,2
Ogallala,,,,,1,,2,,1,,,,4
Omaha,2,1,7,14,6,16,6,5,14,14,5,1,91
Ord,,,,,,,,,,1,,,1
Palmyra,,,,,,1,,,,,,,1
Papillion,,,,,2,2,1,2,1,1,,1,10
Pawnee City,,,,,,,,,,1,,,1
Plattsmouth,,,,,,,,,,1,,,1
Ponca,,,,,,1,,,,,1,,2
Prague,,,,,,,,1,,,,,1
Ralston,,,,,,,1,,,,1,,2
Ravenna,,,,,,1,,,,,,,1
Red Cloud,,,,,,,1,,,,,,1
Roca,,,,2,,,,,,1,1,,4
Roseland,,,,,,1,,,,,,,1
Schuyler,,,,,,,,,1,,,,1
Scottsbluff,,,,,,1,,,1,1,,,3
Scribner,,,,,,,,1,,1,,,2
Shelton,,,,,,,1,,,,,,1
Shubert,,,,,,,,,,,1,,1
Sidney,,,,,,,,1,,1,,,2
South Sioux City,,,,,,1,1,1,,,,,3
St. Edward,,,,,,,,,,,1,,1
Stockville,,,,,,,1,,,,,,1
Stromsburg,,,,,,1,,,,,,,1
Sutherland,,,,,1,,,,,,,,1
Sutton,,,,,1,,,,,,,,1
Syracuse,,,,,,1,,,1,,,,2
Tecumseh,,,,,,,,1,,1,,,2
Tekamah,,,,,,1,1,,,,,,2
Thurston,,,,,,,,,,,1,,1
Valentine,,,,,,2,,,,,,,2
Valley,,,,,,,,,1,,,,1
Valparaiso,,,,1,,,,,,1,,,2
Wahoo,,,,2,,,1,,,,,,3
Waterloo,,1,,,,,,,,,,,1
Waverly,,,,,,1,,1,,,,,2
West Point,,,,,,1,,,,,,,1
Wilcox,,,,,,,,,2,,,,2
Wisner,,,1,,,,,,,,,,1
Wood River,,,,,,,1,,,,,,1
York,,,,,1,,,,,,,,1
Total,7,10,17,45,32,64,42,37,48,57,21,10,390
