City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Albany,,,,,1,,,,,,,,1
Allenstown,,,1,,,,1,,,,,,2
Alton,,,,,,,,1,1,,,,2
Alton Bay,,,,,1,,,,,,,,1
Amherst,,,,,1,,,,1,,1,,3
Andover,,,,,,,1,,1,,1,,3
Ashland,,,,,,,,,1,,,,1
Atkinson,,,,,,,1,,1,,,1,3
Auburn,,,,1,,,,1,1,,,,3
Barnstead,,,,,,,,1,,,,,1
Barrington,,,,,1,,,,,,,,1
Bartlett,,,,,,,,,,1,,,1
Bedford,1,,,,2,,,1,,1,,,5
Belmont,,,,,,,,1,,,,,1
Berlin,,,,,,,,,,1,,,1
Bethlehem,,,,1,,,,,,,,,1
Bow,,,,,1,,,,,,1,,2
Bradford,,,,,,,1,,,,,,1
Bretton Woods,,,,,,,,,,1,,,1
Bristol,,,,,,,,,2,1,,,3
Brookline,,,,,1,,,,1,1,,,3
Canaan,,,,,,,1,1,1,,,,3
Candia,,,1,,,,,,,,,,1
Canterbury,,,,,1,,1,,,,,,2
Carroll,,1,,,,,,,,,,,1
Center Conway,,,,,1,,,,,,,,1
Center Sandwich,1,,,,,,,,,,,,1
Charlestown,,,,,,,,,1,,,,1
Chester,,,,,1,,,,,,,,1
Chesterfield,,,,,1,,,,1,,,,2
Claremont,,,,1,1,,,2,,1,,,5
Colebrook,,,,,,1,,,1,,,,2
Concord,,1,2,3,2,2,5,1,1,3,3,1,24
Contoocook,,,,,,,,,1,,,,1
Conway,,,,,,,,1,,,,,1
Cornish,,,,,1,,,,,,,,1
Danbury,1,,,,,,,,,,,,1
Danville,,,,,,,,1,,,,,1
Deerfield,,,,,1,,,,,,2,,3
Derry,1,1,,,3,,1,,,,1,,7
Dover,,,1,2,3,1,1,,2,3,1,,14
Durham,,,,1,1,1,,,,,,,3
East Madison,,,,,,,,,,,1,,1
Enfield,,,,,,1,,,,1,,,2
Epping,,,1,,1,,,,,,,,2
Epsom,,,,,,,,1,,,,,1
Exeter,,1,,,3,1,,,1,1,,,7
Farmington,,,,,,,,1,,,,,1
Franconia,,,,,,1,1,,1,,1,,4
Franconia Notch,,,,,,,,1,,,,,1
Franklin,,,,,1,,,,,,,,1
Freedom,,,,,,1,,,,,,,1
Fremont,,,,,,,,,,1,,,1
Gilford,,,,,,1,,3,,1,1,,6
Gilmanton,,,1,,,,,,,,,,1
Glen,,,,,,,,,1,,,,1
Goffstown,,,,,1,,,,,1,,,2
Gorham,,,,,3,5,1,,4,2,,,15
Grafton,,,,,,,,,,1,,,1
Grantham,,,,,,1,,,,,,,1
Greenfield,,,,,1,,,1,,,,,2
Greenland,,,,1,,1,,,,,,,2
Hampstead,,,,,,,1,,,,,,1
Hampton,,,,,,2,,,,,,,2
Hampton Beach,,,1,,,,,,,1,,,2
Hampton Falls,,,,,,,,,,,1,,1
Hancock,,,,,,,,1,,,,,1
Hanover,,,,1,3,,,1,,1,1,,7
Henniker,1,1,,,,1,,,,1,,,4
Hillsboro,,,,,,,1,,,,,,1
Holderness,,,,,,,,,1,,,,1
Hollis,,1,,,,1,,,,,,,2
Hooksett,,,,,,,,,1,,1,,2
Hopkinton,,,,,,,,,1,,,,1
Hudson,,,,,,,,1,,,1,,2
Intervale,,,,,1,,,,1,1,,,3
Jaffrey,,,,,,,1,1,,,,,2
Keene,,,1,1,2,,1,,2,2,,,9
Kensington,,,,,,,1,,,,,,1
Kingston,,,,,,,,2,,,,,2
Laconia,,,,,,1,,,,,,,1
Lancaster,,,,,,,1,,,,,,1
Langdon,,,,,1,,,,,,,,1
Lebanon,,,1,,,2,1,,1,,,,5
Lempster,,,,,,,,,1,,,,1
Lincoln,,,,,,,2,,,2,,,4
Litchfield,,1,,,,,,,,,,,1
Littleton,,,,,,,,1,,,,,1
Londonderry,1,,,,1,,,1,,,,,3
Loudon,,,,,,,,1,1,,,1,3
Madbury,,1,,,,,,1,,,,,2
Madison,,,,,1,,,,,,1,,2
Manchester,,2,2,1,,3,2,2,9,5,7,1,34
Marlborough,,,,,,,,,1,,,,1
Meredith,,,,,,,,1,1,1,1,,4
