City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Baker,,,,,,1,,,,,,,1
Beatty,,,,,,,,,,,,1,1
Blue Diamond,,,,,,1,,,,,,,1
Boulder City,,1,1,2,1,,,1,1,5,2,2,16
Carson City,,1,2,2,,,1,1,2,2,1,,12
Deeth,,,,1,,,,,,,,,1
Elko,,,1,,,1,,,,1,,,3
Ely,,,1,,1,,1,,1,,,,4
Fallon,,,,1,,1,,2,1,1,1,,7
Gardnerville,,,,,,1,1,1,,,,,3
Genoa,,,,,,,,1,,,,,1
Henderson,1,2,1,6,3,1,2,,2,9,3,2,32
Incline Village,,,,,,,1,2,1,1,,,5
Jean,,,,1,,,,,,,,,1
Lake Tahoe,,,,,,,1,,,,,,1
Lamoille,,,,,,,,1,,,,,1
Las Vegas,5,11,18,14,16,3,3,3,10,10,17,8,118
Laughlin,,,1,,,,,,,,,1,2
Logandale,,,,,1,,,,,,,,1
Lovelock,,,,,,1,,,,,,,1
Mesquite,,,,1,,,,,,,,,1
Minden,,1,,,,,,,,1,,,2
Mount Charleston,,,,,,,1,,,,,,1
North Las Vegas,,,,,,,,,,1,2,,3
Overton,,,,,,,,,,1,1,,2
Pahrump,,,,,1,,1,,,1,,,3
Pioche,,,,,,,1,,,,,,1
Rachel,,,,,,,,1,,,,,1
Reno,,1,2,3,6,4,2,3,5,9,3,1,39
South Reno,,,,,,,,,,1,,,1
Sparks,,1,1,,,1,,,4,1,1,,9
Summerlin,1,,,1,,,,,,,,,2
Virginia City,,,,,,,,,,1,,,1
Wellington,,,,,,,,,,1,,,1
Wells,,,,,,,,,1,,,,1
Total,7,18,28,32,29,15,15,16,28,46,31,15,280
