City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Accord,,,,,,,,,1,,,,1
Adams,,,,,,,,,,1,,,1
Airmont,,,,,,,1,,,,,,1
Akron,,,,,,,1,,,,1,,2
Albany,4,1,3,5,9,11,7,1,9,7,2,2,61
Albion,,,,1,,1,,1,,,,,3
Alexandria Bay,,,,,,,,,,1,,,1
Allegany,,,,,,1,1,1,,,,,3
Altamont,,,,,,1,1,1,1,,1,,5
Amherst,,,,,,,,1,1,,,,2
Andover,,,,,,,,1,,,,,1
Antwerp,,,,,,,,1,,,,,1
Apalachin,,,,,,,,,,1,,,1
Arcade,,,,,,,,,1,,,,1
Ardsley,,,,,,,,,,1,,,1
Arkport,,,,,,,1,,,,,,1
Armonk,,,,,1,,,,1,,,,2
Ashville,,,,,,1,,,,,,,1
Astoria,,,,,,,1,,1,1,,,3
Athens,,,,,,,,,1,,,,1
Atlantic Beach,,,,,,,,,1,,,,1
Auburn,,,,1,1,1,,1,1,,,,5
Ausable Chasm,,,,,,,,,,1,,,1
Averill Park,,,,,1,1,,2,,,,,4
Babylon,1,,,,,,,1,,,,,2
Baldwin,,,,,,1,,,,,,,1
Baldwin Harbor,,,,,,,,,,1,,,1
Baldwinsville,,,,1,,,,1,1,1,2,,6
Ballston Spa,,,,,,,,2,1,1,,,4
Barker,,,,,,,,,1,,,,1
Barneveld,,,,,,,,1,,,,,1
Batavia,,,,,1,1,,2,1,1,,,6
Bath,,,,,,,,1,,,,,1
Bay Shore,,,,,1,,,,,2,,,3
Bayport,,,,,,1,,,,,,,1
BAYSIDE,,,,,,,,,,1,,,1
Bayville,,,,,,,,1,,,1,,2
Beacon,,,,,,,,,1,,1,,2
Bear Mountain,,,,1,1,,,,,,,,2
Beaver Falls,,,,,1,,,,,,,,1
Bedford,,,,,1,,,,,1,1,,3
Bedford Hills,,,,1,,,,,,,,,1
Bellerose,,,,,,1,,,,,,,1
Bellmore,,,,,,,1,,,1,,,2
Belmont Lake State Park,,,,,,,1,,,,,,1
Bemus Point,,,1,,,1,,1,1,1,,,5
Bergen,,,,,,,,1,,,,,1
Berne,,,,,,,,1,,,,,1
Bethpage,,1,,,,,,,,,,1,2
Bethpage State Park,,,,,,,1,,,,,,1
Big Flats,,1,,,,,,2,,1,,,4
Binghamton,,2,2,3,2,,2,2,1,,1,2,17
Blauvelt,,,,,1,,,,,,,,1
Blooming Grove,,,,,2,,,,,,,,2
Blue Point,,,,,,,,,,1,1,,2
Boonville,,,,,,,,1,,,,,1
Branchport,,,,,1,,1,,,,,,2
Breezy Point,,,,,1,,,,,,,,1
Brentwood,,,,1,,,,1,,,,1,3
Brewerton,,,,,1,1,,1,2,2,,,7
Brewster,,,,,,,,,1,1,,,2
Briarcliff Manor,,,,,,1,,,,,,,1
Bridgehampton,,,,,1,,,,,,,,1
Bridgewater,,,,,,,,1,,,,,1
Brighton,1,,,,,,,,1,,,,2
Brightwaters,,,,,,,,,,1,1,,2
Brockport,,,,,2,,1,,,,1,,4
Bronx,,1,,4,3,4,3,2,4,5,2,,28
Bronxville,,,,,,,,,,,1,,1
Brookhaven,,,,1,,,,,,,,,1
Brooklyn,,4,4,5,11,11,7,5,8,10,6,5,76
Brushton,,,,,,,,1,,,,,1
Buffalo,,2,2,4,6,7,9,6,6,3,4,1,50
Burnt Hills,,,,,,,,1,,1,,,2
Cairo,,,,,,,,,,,1,,1
Caledonia,,,,,,,,,,1,,,1
Callicoon,,,,,,,1,1,,,,,2
Calverton,,,,,1,,,,1,,,,2
Cambridge,,,,,,1,1,1,,,,,3
Camden,,,,,,,,,1,,,,1
Camillus,,,,,,,1,,,,,,1
Canadice,1,,,,,,,,,,,,1
Canandaigua,,,1,1,2,2,1,2,4,4,1,,18
Canaseraga,,,,,,1,,,,,,,1
Canastota,,,,,,1,,,,,,,1
Cape Vincent,,,,,,,1,,,,,,1
Carmel,,,,1,,1,,,1,,,,3
Castile,,,,,,1,,,1,,,,2
Castleton-on-Hudson,,,,,,,,1,1,1,,,3
Catskill,,,,,,1,,,,,,1,2
Caumsett State Park,,,,,,,1,,,,,,1
