City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Ada,1,,,1,,,,,,,,,2
Akron,,,,4,7,4,1,10,3,4,6,1,40
Allentown,,,,,,,,,,1,,,1
Alliance,,,,,2,,,2,1,,,,5
Amanda,,,,,,1,,,,,,,1
Amherst,,,,,1,2,,,,1,,,4
Anna,,,,,,1,,,,,1,,2
Ansonia,,,,,1,,,,,,,,1
Arcanum,,,,,,,,,,,1,,1
Archbold,,,,,,,,,,1,1,,2
Arlington,,,,1,,,,,,,,,1
Ashland,,1,3,1,1,1,,1,1,1,2,,12
Ashtabula,,,,,1,,1,1,,,,,3
Ashville,,,,1,,1,,,,,,,2
Athens,,,,4,,1,,,,,1,,6
Attica,,,,,,,,1,,,,,1
Aurora,,,,1,1,,1,2,2,,1,,8
Austintown,,,,,,1,,,,,,,1
Avon,,,,1,1,,2,,,1,2,,7
Avon Lake,,,,1,1,1,2,1,1,,,,7
Baltimore,,,,,,,,1,,,,,1
Barberton,,,,,,,,,1,,1,,2
Barnesville,,,1,,,1,,1,1,,,1,5
Bascom,,,,,,,1,,,,,,1
Batavia,,,,,1,,,,,,,,1
Bath,,,,1,,,,,,2,,,3
Bay Village,,1,,,1,1,2,1,,1,,,7
Beach City,,,,,,,,,1,,,,1
Beachwood,3,,,,,1,,,,1,,,5
Beavercreek,,1,1,1,5,1,,2,2,1,2,1,17
Bedford,,,,1,,,,,1,,,,2
Bellaire,,,,,,,,,1,,,,1
Bellbrook,,,,2,1,2,1,2,,,,,8
Bellefontaine,,,,1,,1,,1,1,,,,4
Bellville,,,,,,,,,1,,,,1
Belmont,,,,,,,,,,1,,,1
Beloit,,,,,1,,,,,1,,,2
Belpre,1,,,,1,,,,,,,,2
Berea,,,1,1,2,1,1,,3,1,1,,11
Berkey,,,,,,,,,,1,,,1
Berlin,,,,,,,,,,,1,,1
Berlin Heights,,,,,,,,1,,,,,1
Bethel,,,,,,2,1,2,1,,,1,7
Bethesda,,,,,,,1,,,,,,1
Bexley,,,,1,,1,1,2,,,,,5
Blacklick,,,,,,1,,,,1,,,2
Blue Ash,,,,,,,,,3,1,1,,5
Bluffton,,,,,2,1,,,2,,,,5
Boardman,,,,,1,1,,,3,3,,,8
Bolivar,,,,,,,,,1,,,,1
Boston Township,,1,,,,,,,,,,,1
Botkins,,,,,,1,,,,,,,1
Bowling Green,1,1,1,1,1,,1,,1,4,1,1,13
Bradford,,,,,,,1,,,,,,1
Brecksville,,,,,,3,,1,,1,,,5
Bremen,,,,,,,,,,1,,,1
Brewster,,,,,1,,,,,,,,1
Broadview Heights,,,,,,,1,,,1,,,2
Brookfield,,,,,,,1,,,,,,1
Brooklyn Heights,,,,,,,,,1,,,,1
Brookville,,,,,,,1,,,,,,1
Brunswick,,,,1,,1,,,2,,1,,5
Bryan,,,,,,1,,,,1,1,,3
Buckeye Lake,,,,,,1,,,,,,,1
Bucyrus,,,1,1,1,,,,,,,,3
Burkettsville,,,,,,,,1,,,,,1
Byesville,,,,,,,,,,1,,,1
Caledonia,,,,1,,,,,,,,,1
Cambridge,,,,1,1,,,1,,,1,1,5
Campbell,,,,,1,,,,,,,,1
Canal Fulton,,,,,1,,1,,,1,,,3
Canal Winchester,,,,1,,,1,,,1,1,,4
Canfield,,,,,1,,3,1,1,1,,1,8
Canton,,,,2,1,2,2,2,1,3,2,1,16
Cardington,,,,,1,,,,,,,,1
Carey,,,,,,,,1,,,,,1
Carlisle,,,,,,,,,,,1,,1
Carroll,,,,,,,,1,,,,,1
Carrollton,,,,,,1,,,,,,,1
Carthagena,,,,,,,,,,,1,,1
Catawba Island,,,,,,,,,,,1,,1
Cedarville,,,,,1,,,,1,,,,2
Celina,,,,,,,,,1,,,,1
Centerburg,,,,,,,,,1,,,,1
Centerville,,,,3,1,2,2,,1,,1,2,12
Chagrin Falls,,,1,,2,,1,,,1,1,,6
Chardon,,,,1,,1,1,,1,,1,,5
Chesterland,,,,,1,,,,,1,,,2
Chillicothe,,,2,2,1,1,3,1,1,2,2,,15
Cincinnati,3,2,6,16,14,10,6,11,14,14,10,2,108
Circleville,1,,,,1,,1,2,,1,,,6
Clarksville,,,,,,1,,,,1,,,2
Clayton,,,,,,1,,,,,,,1
Cleveland,,4,6,4,15,10,8,13,11,11,3,2,87
Cleveland Heights,,,,2,2,2,,1,1,,,,8
Clinton,,,1,,,,,1,,,,,2
Clintonville,,,,1,,,1,,,,,,2
Clyde,,,,1,,1,,,1,,,,3
Coldwater,,,,,,,,1,,,,,1
College Corner,,,,,,,,1,,,,,1
Columbia Station,,,,,,1,,,,,,,1
Columbiana,,,,,,1,,,1,,2,2,6
Columbus,1,4,6,18,11,16,6,12,12,16,8,3,113
Columbus Grove,,,1,,,,,1,,,,,2
Concord,,1,,,,,,1,1,,,,3
