City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Ada,,,1,1,,,1,,1,1,2,,7
Altus,,,,,,,,,2,,,,2
Anadarko,,,,,,,,1,,,,,1
Ardmore,,,1,,2,1,,,,,1,,5
Atoka,,,,1,,,,,1,,,,2
Bartlesville,,1,2,1,,,,1,2,1,2,,10
Bethany,,,,1,,1,,,1,,,,3
Bixby,,,,,,,,,,1,,,1
Bristow,,,,,1,,,,,,,,1
Broken Arrow,,,,,,,1,1,,,,,2
Broken Bow,,,,,,1,,,,,,,1
Calera,,,1,,,,,,,,,,1
Calumet,,,,,,,,,,1,,,1
Cartwright,,,,,,,,,1,,,,1
Chickasha,,,,,1,1,,1,,1,,1,5
Chouteau,,,,,,,,,,1,,,1
Claremore,,,2,2,2,,,,,,,,6
Cleveland,,,,,,,,1,,,,,1
Clinton,,,,,,,,,1,,,,1
Coalgate,,,,,,2,,,3,,,,5
Coweta,,,,,,,,,1,,,,1
Del City,,,,,,1,,,,,,,1
Dewar,,,,,1,,,,,,,,1
Dewey,,,,1,,,1,,1,,,,3
Duncan,,,1,1,,1,1,,1,,,,5
Durant,,,,1,,,,,,1,,,2
Edmond,1,1,1,1,,1,2,3,1,2,1,1,15
El Reno,,,1,,3,,,1,,1,,,6
Elk City,,,,1,,,,,,,1,,2
Enid,,1,,,,,,1,1,,1,,4
Erick,,,,,,,,,1,,,,1
Fort Gibson,,1,,,,,,,,1,,,2
Fort Sill,1,,,,,1,1,,1,,,,4
Fort Smith,1,,,,,,,,,,,,1
Glenpool,,,,,,,,,,,1,,1
Gore,,,,,,,,,,1,,,1
Grove,,,1,,1,,,,1,1,,1,5
Guthrie,,,,,2,2,2,1,,,,,7
Guymon,,,1,,1,,,,,,,,2
Haileyville,,,,1,,,,,,,,,1
Harrah,,,,,1,,,,,1,,,2
Healdton,,,,,,1,,,,,,,1
Heavener,,1,,,,,,,,,,,1
Hinton,,,,,,,,,1,,,,1
Hooker,,,,,,,1,,,,,,1
Hulbert,,,,,,1,,,,,1,,2
Inola,,,,1,,1,,,,,,,2
Jay,,,1,,,,,,,,,,1
Jenks,,,,2,,,,,,2,1,,5
Kiefer,,,,,1,,,,,,,,1
Kingston,,,,1,,,,,,1,,,2
Lawton,,,,1,1,,2,,,2,3,2,11
Lindsay,,,,,,,,,,,1,,1
Luther,,,,,,,,,2,,,,2
Madill,,,,,,,,,,2,,,2
Manitou,,,,,,,,,,1,,,1
Mannford,,,,,1,,,,,,,,1
Marlow,,,,,,,,,,,,1,1
McAlester,,,2,,2,,,,1,,,,5
McLoud,,,,,,1,,,,,,,1
Medicine Park,,,,,,,1,,,1,,,2
Miami,,,,,,,1,,,1,,,2
Midwest City,,,,,,,,,2,1,,1,4
Moffett,,,,,,,,1,,,,,1
Moore,,,,,,,,1,,,,,1
Mulhall,,,,,1,,,,,,,,1
Muskogee,,,,2,1,1,,1,2,1,1,1,10
Mustang,,,,,,2,,,1,1,,,4
Norman,,,1,3,3,2,,1,2,1,2,,15
Okarche,,,1,,,,,,,,,,1
Okemah,,,1,,,,,,,,,,1
Oklahoma City,4,5,9,4,11,6,4,9,7,13,6,3,81
Okmulgee,,,,,,1,,,,1,,,2
Oktaha,,,,,,,,,,,1,,1
Owasso,,,,,1,,,2,3,,,,6
Pawhuska,,,,,,1,,,,,,,1
Perkins,,,,,,,,,1,,,,1
Perry,,,,,,,,,1,,,,1
Pink,,,,,,,,,,1,,,1
Ponca City,,,,,1,,,,1,1,1,,4
Porter,,,,,,,1,,,,,,1
Poteau,,,2,,1,,,1,2,1,1,,8
Prague,,,,,,,,,,,1,,1
Prue,,,,,,1,,,,,,,1
Pryor,,,,,,,,,1,,,,1
Sallisaw,,,,,,,,,,1,1,,2
Sapulpa,,,,,,,,,,,1,,1
Seminole,,,,1,2,,,,2,,,,5
Shawnee,1,,,1,,,,,,,1,,3
Stillwater,,,,3,,1,,,1,1,1,,7
Stratford,,,,1,,,1,,,1,,,3
Stroud,,,,,,,1,,,,,,1
Stuart,,,,,1,,,,,,,,1
Sulphur,,,,,,1,,,1,,,,2
Tahlequah,,,,,,,1,,2,1,1,,5
Tecumseh,,1,,,,,,,1,,,,2
Tulsa,3,4,4,3,4,3,4,7,4,4,6,3,49
Valliant,,,,,,,1,,1,,,,2
Vinita,,,1,,,,,,,1,,,2
Warner,,,,,,,,,,1,,,1
Washington,,,1,,,,,,,,,,1
Watonga,,,,1,,,,,,1,,,2
Weatherford,,,1,,,1,,,1,,,,3
Wellston,,,,,,,,,,1,,,1
Wewoka,,,,,,,,1,,1,,,2
Wilburton,,,,,1,,,,,1,,,2
Wister,,,,,,1,,,,,,,1
Woodward,,,,,,2,,,,,,,2
Wyandotte,,,,,,1,,,,1,,1,3
Yukon,,,,,,,,1,,,2,,3
Total,11,15,36,36,47,40,27,36,60,60,41,15,424
