City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adrian,,,1,,,,,,,,,,1
Agness,,,,,,,,1,,,,,1
Albany,1,,1,2,2,1,1,2,1,2,1,1,15
Aloha,1,,1,,,,,,,1,,,3
Alsea,,,1,,,,,,,,,,1
Antelope,,,,,1,,,,,,,,1
Ashland,,,1,1,2,2,7,7,1,1,2,,24
Astoria,,,,,1,2,,,1,1,,,5
Athena,,,,,,,1,,,,,,1
Aurora,,,,,,,,1,,,,,1
Baker City,,,,,,1,,,1,,1,,3
Bandon,1,,,,,,,,,,,,1
Banks,,,,,1,,,,,,,,1
Beaverton,,,,3,1,1,3,1,2,1,2,,14
Bend,1,1,3,4,4,6,7,4,5,6,2,1,44
Black Butte Ranch,,,,,,,,,1,,,,1
Blodgett,,,,,,1,,,,,1,,2
Boardman,,,,,,,,,,1,,,1
Boring,,,,,,,,,2,,,,2
Brownsville,,,,,,1,,,,,,,1
Burns,,,,,,1,,,,,,,1
Buxton,,,,1,,,,,,,,,1
Camp Sherman,,,,,,,,,1,,,,1
Canby,,,,,2,2,,2,,,1,,7
Cannon Beach,,,,,,,,,1,,,,1
Canyon City,,,,,,,,,,,1,,1
Canyonville,,1,,,,,,,,,,,1
Carlton,,,,,,,,1,,,,,1
Cascade Locks,,,,2,1,1,,1,2,,,,7
Cave Junction,,,,,,1,,,,,,,1
Central Point,1,,1,,1,,1,,,,1,1,6
Charleston,,,,,,,,,1,,,1,2
Clackamas,,,,,,,,,,,1,,1
Coburg,,,,,,,1,,,,,,1
Coos Bay,,,1,,2,,2,,1,2,1,,9
Corbett,,,,,,,,,1,,,,1
Cornelius,,,,,1,,,,,,,,1
Corvallis,,2,1,5,7,5,2,1,1,5,2,1,32
Cottage Grove,,,,,,,2,,,,,,2
Crater Lake National Park,,,,,,,,1,,,,,1
Dallas,,,,1,,,1,,1,,,,3
Dayton,,,,,1,1,1,1,1,1,,,6
Detroit,,,,,,,,,,1,,,1
Dexter,,1,,,1,1,,,,,,,3
Dufur,,,,,,,,1,,,,,1
Dundee,,,,,,,1,,,,,,1
Eagle Point,,,1,,,,1,,,,,,2
Echo,,,1,,,,,,,1,1,,3
Elkton,,,,,,1,,,,,,,1
Enterprise,,,,,,1,,,,,,,1
Estacada,,,1,,,,,,1,,,,2
Eugene,3,2,5,7,11,4,3,5,7,6,5,5,63
Fairview,,,,,,3,,3,,1,,,7
Florence,,,,,2,1,,,,,,,3
Forest Grove,1,2,,1,1,1,2,,2,1,,,11
Frenchglen,,,,,,,,1,,,,,1
Gaston,,,,,1,1,1,3,,,,,6
Gervais,,,,,,,,,,1,,,1
Gladstone,,1,,,,,,1,,,,,2
Glide,,,,,,,,,,1,,,1
Gold Beach,,,1,,,,,,,,,,1
Gold Hill,,,,,,1,,,,,,,1
Government Camp,,,,,2,,,,,,,,2
Grants Pass,,,1,,,,,,1,1,,,3
Gresham,,,,,,1,1,,,,,,2
Hammond,,,,,,,,,,,1,,1
Happy Valley,,,,,1,,,,,1,,,2
Helix,,,,,,1,,,,,,,1
Hermiston,,,,,1,,,,1,1,,,3
Hillsboro,,1,,2,2,2,3,3,,,,,13
Hood River,,,,,2,,,1,1,1,,,5
Hubbard,,,,,,,1,,,,,,1
Independence,,,,,,,1,,,,,,1
Jacksonville,,1,,,2,2,1,,,1,,,7
Jefferson,,,,,,,1,,,,,1,2
Joseph,,,,,,,,,1,,,,1
Junction City,,,,1,,,,1,,,,,2
Keizer,,,,,2,1,,1,,,1,2,7
Kerby,,,,,,,,1,,,,,1
Klamath Falls,,1,,,1,1,,,6,3,1,2,15
La Grande,,,,,1,1,,,,1,,,3
Lake of the Woods,,,,,,,,,1,,,,1
Lake Oswego,1,,,1,1,,,,,,1,,4
Lakeview,,,,,,,,1,,,,,1
Lebanon,,,,1,3,2,1,,1,2,1,1,12
Lincoln City,,,1,,1,,1,,,,,1,4
Lostine,,,,,,,1,,,,,,1
Lowell,,1,,,1,,1,,,,,,3
Lyons,,,,,,,,,,1,,1,2
Madras,1,,,,,,1,,1,1,1,1,6
Manzanita,,,,,,,1,,,,,,1
Marcola,,,,1,,,,,,,,,1
Maupin,,,,,,,,,1,,,,1
McKenzie Bridge,,,,,,,,,1,,,,1
McMinnville,,,,1,4,1,1,1,2,1,,,11
Medford,,1,,1,2,1,1,2,2,1,,2,13
Milwaukie,,,,,,,,,,1,,,1
