City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Abington,,,1,1,1,,1,,,,1,,5
Adamstown,,,,1,1,,,,,1,1,,4
Airville,,,,,,,,,1,,,,1
Akron,,,,,,,,,1,,,,1
Albion,,,,,,,,,1,,,,1
Albrightsville,,,,,,1,,,,,,,1
Alburtis,,,,,,,,1,,,,,1
Aldan,,,,,1,,,,,,,,1
Aliquippa,,,,1,,,,,,,,,1
Allentown,2,3,4,6,6,10,7,5,7,6,2,2,60
Allenwood,,,,1,,1,,,,,,,2
Allison Park,,1,3,2,3,1,4,2,2,11,4,3,36
Altoona,,,1,,1,2,1,,,,,1,6
Ambler,,1,1,1,1,1,1,,1,,1,,8
Annville,,,,1,,,,,,,,,1
Apollo,,,,1,,,1,,,,1,,3
Archbald,,,,,,,,,,,,1,1
Ardmore,,,,,1,,,,,,,,1
Aristes,,,,1,,,,,,,,,1
Aston,,,,,,,,,,1,,,1
Atglen,,,,1,1,,,,,1,,,3
Athens,,,,1,,,,,,,,,1
Auburn,,,,,,,,,,,1,,1
Audubon,,,,3,2,,,,1,3,,,9
Avondale,,,,2,2,,,,1,,,,5
Baden,,,,,,,,,1,,,,1
Baileyville,,,1,,,,,,,,,,1
Bala Cynwyd,,,,1,2,1,,,,,1,,5
Bangor,,,,,,2,,,,1,,,3
Barnesville,,,,,1,1,,,,1,,,3
Bath,,,,,,,,,,1,,,1
Bear Gap,,,,,,,,1,,,,,1
Beaver,,,,2,2,,,2,2,,1,,9
Beaver Falls,,,,1,2,1,1,,1,2,1,,9
Beaver Springs,,,,,,,,,,1,,,1
Bedford,,,,1,,,,,2,3,,,6
Belfast,,,,,1,,,,,,,,1
Belle Vernon,,1,,,1,,,,,1,,,3
Bellefonte,,,,1,,,,1,,,1,,3
Bellwood,,,,,,,,1,,,,,1
Benezette,,,,,,,,,,1,,,1
Bensalem,,,,,,1,,,1,1,,,3
Bentleyville,,,,,,1,,,,,,,1
Benton,,,,,1,,,,,,,,1
Berwick,,1,,1,,,,,,1,2,,5
Berwyn,,,,1,1,,,,,,1,,3
Bessemer,,,,,1,,,,,,,,1
Bethel Park,,,,,,,,,1,,,,1
Bethlehem,,,1,2,4,1,1,3,4,6,3,3,28
Biglerville,,,,,1,,,1,,,,,2
Bird-In-Hand,,,,,,,,,2,,,,2
Birdsboro,,,,,3,1,,,1,,1,,6
Black Lick,,,,,1,,,,,,1,,2
Blairsville,,,,,1,,1,1,,,,,3
Blakeslee,,,,,1,,,,,,,,1
Bloomsburg,,,1,2,,,,,,,1,1,5
Blossburg,,,,,1,,,,,,,,1
Blue Bell,,,,,1,1,,,1,,1,,4
Boalsburg,,,,,,1,,,,2,1,,4
Boiling Springs,,,,,2,,,2,1,1,,,6
Bolivar,,,,,,,,,,1,,,1
Boston,,,,1,,,,1,1,,,,3
Boswell,,,,,1,,,,,,,,1
Bowmansville,,,,,,,,1,,,,,1
Boyertown,,,,,,,,,,1,,,1
Bradford,1,,1,,1,,,,,1,,,4
Brickerville,,,,1,,,,,,,,,1
Brockway,,,,,,,1,,,,,,1
Brodheadsville,,,,,,,,,,1,,,1
Brookville,,,,1,,1,,1,,,,,3
Broomall,,,,,,,1,,,1,,,2
Bryn Athyn,,,,,,,,,1,,,,1
Bryn Mawr,1,,,,2,,,,,2,1,,6
Buckingham,,,,,,,,,,1,,,1
Butler,,,1,,,1,1,2,2,,,,7
Cambridge Springs,,,,,,,2,,,1,,,3
Camp Hill,,,,,1,1,1,,2,1,1,,7
Canonsburg,,,,,1,,1,,,,,,2
Carlisle,,,1,1,2,,,1,3,4,2,,14
Carmichaels,,,,,,,,1,,,,,1
Carrolltown,,,,,,1,,,,,,,1
Cassville,,,,,,,,,1,,,,1
Cecil,,,1,1,,,,,,,,,2
Center Valley,,,,1,,1,,,1,,,,3
Centre Hall,,,,,1,,,1,,,,,2
Chadds Ford,,,,,1,,,,,1,1,,3
Chalfont,,,,,,1,,,,,,,1
Chambersburg,,,1,,2,1,,2,1,3,2,1,13
Charleroi,,,,,,,,,1,,,,1
Chester,,,,1,,,,,,1,,,2
Chester Springs,,,,1,,1,,,,1,1,,4
Chesterbrook,,,,,,,,,1,,,,1
Cheswick,,,,,,1,,,,,,,1
Christiana,,,,,,,,,,1,,,1
Churchville,,,,2,1,,,,,,,,3
Clairton,,,,,,1,,,,,,,1
Clarion,,,,1,,,,,1,,,,2
Clarks Summit,,,,,,1,,1,,,,,2
Claysburg,,,,,,,,1,1,,,,2
Clearfield,,,,,1,2,,1,,1,,,5
Clinton,,,,,,,,1,,,,,1
Coal Township,,,,,,1,,,,,1,,2
Coatesville,,,1,4,2,1,,,1,1,,1,11
Cogan Station,,,,,,,,,1,,,,1
Collegeville,,,1,,2,,,,,3,,1,7
Collier,,,,,,,,,,,1,,1
Collier Township,,,,,,1,,1,,,,,2
Columbus,,,,,,,,,,1,,,1
Conestoga,,,,,,,,,,,1,,1
Conneaut Lake,,,,,,,1,,1,,1,,3
Conneautville,,,,,,,1,,,,,,1
Connellsville,,,,1,,,1,,,1,,,3
Conshohocken,,,1,2,1,,,,1,4,,,9
Cooksburg,,,1,,,,,,,,,,1
Coopersburg,,,,,1,,1,,,,,,2
Coplay,,,,1,1,,,1,,,,,3
Cornwall,,,,,,,,,,1,,,1
Corry,,,,,,1,,,,,,,1
Coudersport,,,,,,,,,,1,,,1
Covington Township,,,,,,,1,,,,,,1
Crafton,,,,,,,1,,,,,,1
Cranberry,,,,,,,,2,1,1,1,,5
Cranberry Twp,,,1,,,1,1,,,1,,,4
Cresco,,,,,,,,,1,1,,,2
Cresson,,,,,1,,,,,,,,1
Cross Fork,,,,,,1,,,,,,,1
Crum Lynne,,,,1,,,,,,,,,1
Curwensville,,,,1,1,,,1,,2,,,5
Dallas,,,,1,,,1,,,,,,2
Dallastown,,,,,1,,,,,,,1,2
Dalton,,,,,1,,,,,,,,1
Danville,,,1,1,3,3,1,,,1,2,,12
Darlington,,,,,1,,1,,,1,1,,4
Dauphin,,,,1,,,,,,,1,,2
