City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,,,,,,,,,1,,,1
Adamsville,,,2,,,,,,,,,,2
Alamo,,,,1,,,,,,,,,1
Alcoa,1,,,1,1,1,,2,,2,1,1,10
Ashland City,,1,,1,,,,,,,,,2
Athens,,,,,,1,,1,1,,,,3
Baileyton,,,,,,,,,1,,,,1
Bartlett,1,1,,1,,1,,1,2,,,1,8
Baxter,,,,1,,,,,,,,,1
Bell Buckle,,,,,1,1,,,,,,,2
Bethel Springs,1,,,,,,,,,,,,1
Big South Fork,,,,,,,,,1,,,,1
Blountville,,,,,,,,,1,,,,1
Brentwood,,,,,1,,2,1,,3,1,,8
Brighton,,,1,,,,,,,,,,1
Bristol,,,,2,2,,,1,2,1,2,,10
Bruceton,,,,,1,,,,,,,,1
Buchanan,,,,,,,1,,,,,,1
Burns,,,,,1,,,1,,3,,1,6
Butler,,,,,,,,,1,,,,1
Camden,,,,,,,,,,,1,,1
Campbellsville,,,,,,,,,,1,,,1
Carthage,,,,,1,,,1,1,,1,,4
Caryville,,,,,,1,,,,,,,1
Celina,,,,,,,,,1,,,,1
Centerville,,,,,,,,,,1,1,,2
Chapel Hill,,,,,2,,,,1,,,,3
Charlotte,,,,1,,,,,,,,,1
Chattanooga,1,3,7,2,9,7,3,9,12,11,4,6,74
Church Hill,,,,1,,1,,1,,,,,3
Clarksville,1,,3,4,2,1,,4,4,4,2,4,29
Cleveland,1,,2,6,1,1,,,,4,4,1,20
Clinton,,,,,,,,,,1,,,1
Collegedale,,1,1,1,1,,,,,1,2,,7
Collierville,1,,,1,,,,,1,1,,,4
Columbia,,,3,1,1,,,,1,3,1,,10
Cookeville,,2,2,2,4,,3,2,2,3,2,,22
Cordova,,,,,,1,,,1,,,,2
Corryton,,,,,,2,,,,,,,2
Cosby,,1,,1,,,1,,,2,,,5
Counce,,,,,,,,,1,,,,1
Cove Lake State Park,,,,,,,,,,1,,,1
Covington,,,,1,,,,,1,,,,2
Cowan,,,,,,,1,,,,,,1
Crossville,1,,2,,1,1,,,1,3,1,,10
Dandridge,,,,,1,1,,,,,,,2
Dayton,,,,,,,,,,2,,1,3
Decatur,,,,,1,,,,,1,,,2
Defeated,,,,,,,,,,1,,,1
Dickson,,,,1,1,1,,,,,1,,4
Dunlap,,,,,1,,,,,,,,1
Dyersburg,,,2,1,,,,,,1,1,,5
East Memphis,,,,,,,,,,1,,,1
East Ridge,,,1,,1,1,,,,,1,,4
Elizabethton,,,,,,1,1,,,,,,2
Erin,1,,1,,1,,,,1,,1,,5
Erwin,,,,1,,,,,,1,,,2
Estill Springs,,,,,,,,,1,,,,1
Evensville,,,,,,,,1,,,1,,2
Fairview,,,,,,,1,,,,1,,2
Farragut,,,,,,,,,,1,,,1
Fayetteville,,,,,1,1,,,2,1,1,,6
Finger,,,,,,,,,,1,,,1
Franklin,,,1,3,3,1,,1,3,,3,1,16
Gadsden,,,,,1,,,,,,,,1
Gainesboro,,,,,1,,,,1,,,,2
Gallatin,,,2,2,1,1,,1,,3,2,,12
Gatlinburg,,,1,2,,1,,1,,1,,,6
Georgetown,,,,,1,,,,,,,,1
Germantown,,,1,,,,,,,2,,,3
Gleason,,,,,,,,,1,,,,1
Goodlettsville,,,,,,,1,,,,3,,4
Gray,,,,,,,,1,,2,,,3
Greenback,,,,,,1,,,,,,,1
Greenbrier,,,,,1,,,,,1,,,2
Greeneville,,,,,2,1,2,1,,,,,6
Halls,,,,,1,,,,,,,,1
Hampton,,,,1,,,,,,,,,1
Harriman,,,,,1,,,,,1,,1,3
Harrogate,,,,,,1,,,,,,,1
Hartford,,,,,,,,1,,,,,1
Hartsville,,,,,,,,,1,,,,1
Hendersonville,1,,2,3,1,1,,1,,1,2,,12
Hermitage,,,,,,,,,,1,,,1
Hillsboro,,,,,1,,,,,,,,1
Hixson,,,,1,,1,,,,2,,,4
Hohenwald,,,,,,,,,,1,,,1
Jackson,,2,,4,1,,,,,5,3,,15
Jamestown,,,,,1,,,1,,,,,2
Jasper,,,,,,,,,1,,,,1
Jellico,,,,,,,,,1,,,,1
Johnson City,,,4,4,5,3,,4,,2,5,2,29
Jonesborough,,,,2,,,,,,,1,,3
Kimball,,,,,,,,1,,,,,1
Kingsport,,2,,1,4,2,4,2,8,6,3,2,34
Kingston,,,,,1,,1,1,,,,,3
Kingston Springs,,,,,,,,,,1,,,1
Knoxville,3,2,8,7,13,7,8,6,9,12,3,6,84
Kodak,,,,,,,1,,,,,,1
La Follette,,,,,,,,,,,,1,1
La Vergne,,,,,,,,,,1,,,1
Lafayette,,,,,,,,,1,,,1,2
Lawrenceburg,,,,,,,,1,,2,1,1,5
Lebanon,,1,,3,2,1,,,1,1,,,9
"Leiper's Fork, TN",,,,,,,,,1,,,,1
Lenoir City,1,,,1,1,2,,,2,3,,,10
Lewisburg,,,,,1,,,,1,2,1,,5
Lexington,,,,1,,,,,,,,,1
Liberty,,,,1,,,,,,,,,1
Limestone,,,1,,,,,,,,,1,2
Livingston,,,,,1,,1,,,,1,,3
Lookout Mountain,,,,,1,,,,,,,,1
Loretto,,,,1,,,,,,,,,1
Loudon,,,,,1,,,2,,,,,3
Louisville,,,,,,,,,,1,,,1
Lynchburg,,,,1,,,,,,1,,,2
Madison,,,,,,,,,,,,1,1
Madisonville,,,,,,,,,1,,,,1
Manchester,,,1,1,1,,,,2,2,1,1,9
Martin,,,1,1,,,,,,1,,,3
Maryville,1,,,2,4,,,,2,1,3,,13
Maynardville,,1,,,,,,,,,,,1
McEwen,,,,,,,,,,,1,,1
McKenzie,,,,1,,,,,,,1,,2
McMinnville,,,1,,2,,,2,,2,,,7
Memphis,5,3,6,10,8,8,4,4,4,5,11,3,71
Milan,,,,,,,,1,,,,1,2
Milligan College,,,,,,,,,,1,,,1
Millington,1,1,,1,3,2,1,,,,,,9
Monterey,1,,1,,,,,,,,,,2
Morrison,1,,,,,,,,,,,,1
Morristown,,1,,,2,,1,1,1,2,2,1,11
Mount Juliet,,,,1,1,,,,2,,1,,5
Mt. Juliet,,,2,1,,1,,1,1,1,1,1,9
Mt. Pleasant,,,,,,,,,1,1,,1,3
Murfreesboro,,,1,3,3,2,2,3,4,5,3,,26
Nashville,3,3,9,7,14,5,8,6,11,16,13,4,99
New Johnsonville,1,,,,,,,,,,,,1
Nolensville,,,,,1,1,,1,,,,,3
Normandy,,,,1,,,,,,,,,1
Norris,,,,,,,,,,,1,,1
Oak Ridge,1,,,1,2,1,1,3,,1,1,,11
Oliver Springs,,,,1,,,,,,,1,,2
Paris,,,,,,1,,,1,1,,1,4
Parsons,,,,,,,,,,1,,,1
Pegram,,,1,,,,,,,,,,1
Pickwick Dam,,,,,,,,,1,,,,1
Pigeon Forge,,1,,1,2,2,1,1,2,1,3,,14
Pikeville,,1,1,,1,,,2,,,,,5
Piney Flats,,,,,,,,,,1,,,1
Pinson,,,,,,,,,,,1,,1
Pleasant View,,,1,,,,,,,1,,,2
Pocahontas,,,,,,,,,,1,,,1
Portland,,,1,1,1,,,,,1,,,4
Pulaski,,,,,,,,,,2,,,2
Ripley,,,,1,,,,,,,,,1
Roan Mountain,,,,,,,,,,3,,,3
Rock Island,,,,,,,,,,1,,,1
Rogersville,,,1,,1,,1,,,,,,3
Rutledge,,,1,1,,,1,,,,,,3
Santa Fe,,,,,,,,,1,,,,1
Sevierville,,,1,,1,,1,1,1,1,,1,7
Sewanee,,,,,,,,,,,1,,1
Shelbyville,,,3,,2,,,,1,1,2,,9
Signal Mountain,,,,,1,,,,1,1,,,3
Smithville,,,,,1,,1,,,,,,2
Smyrna,,,1,,1,,,1,1,1,1,,6
Soddy-Daisy,,,,1,,,,,,1,,,2
Somerville,,,1,,,,,,1,,,,2
South Carthage,,,,,,,,,,,1,,1
South Knoxville,,,1,,,,,,,,,,1
South Pittsburg,,,,1,,,,,,,1,,2
Spring Hill,,,,,,,,,,1,,,1
Springfield,,,,1,1,1,1,,1,1,2,,8
Strawberry Plains,,1,,,,,,1,,,,,2
Surgoinsville,1,1,1,,,1,,,,,,,4
Sweetwater,,,,,,,2,1,,1,,,4
Tellico Plains,,,,1,,,,,,,,,1
Thompson's Station,,,,,,,,,,1,1,,2
Townsend,,,,,,,,,1,1,,,2
Tullahoma,,,1,1,,,,,,1,1,,4
Unicoi,,,,,,,,,,1,,,1
Union City,,,,,,,,,,,1,,1
Viola,,,,,1,,,,,,,,1
Vonore,,,,,,,,,1,,,,1
Wartburg,,,,,1,,,,1,,,,2
Wartrace,,,,,1,,,,1,,,,2
Watertown,1,,,,,,1,,,1,,,3
Waynesboro,,,,,,1,,,,,,,1
White Bluff,,,,,,,,,,1,,,1
White House,,,,,,,1,,1,1,1,1,5
Wildersville,,,,,,,,,,1,,,1
Winchester,1,1,,1,,,1,,1,1,,1,7
Woodbury,,,1,,,,,,,1,,,2
Total,31,30,85,110,138,73,59,79,117,177,114,48,1061
