City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Abilene,1,,2,3,1,3,,2,4,3,2,,21
Addison,1,,,,,,,,2,1,,,4
Aledo,,,,1,1,,,,,,,,2
Allen,2,1,,,,,,,,1,,2,6
Alpine,,,1,,,,,,,1,,,2
Alvarado,,,,,,1,,,,,,,1
Alvin,,,1,1,,,,,1,,,,3
Alvord,,,,,,,,,1,,,,1
Amarillo,2,1,1,3,6,2,2,3,1,2,,,23
Anderson,,,,1,,,,,,,,,1
Angleton,,,,1,,,,,,,,,1
Anna,,,,1,,,,,,,,,1
Anson,,,,,1,,,,,,,,1
Anthony,,,,,,,,,,1,,,1
Aransas Pass,,,,,,,,,,1,,,1
Argyle,,,,,,,,,1,1,,,2
Arlington,4,1,6,8,5,2,2,5,6,4,12,2,57
Athens,,,,1,,,1,,1,,1,,4
Atlanta,,,,,,,,,,1,1,,2
Aubrey,,,,,,,,,,1,,,1
Austin,6,9,5,19,15,6,5,4,13,9,8,9,108
Azle,,,,,,,,,,,1,,1
Bandera,1,,1,,,,,,,1,1,,4
Bastrop,,1,1,,,,,,2,1,,,5
Bay City,,,,,,,,,,,1,,1
Baytown,,1,1,,,,1,,,,1,,4
Beaumont,1,1,1,1,2,,,,1,1,1,1,10
Bedford,,,,,1,,,,,,,,1
Beeville,,,,,,,,,1,,,,1
Bellville,,,1,1,,,,,,1,1,,4
Belton,,1,1,,3,,,,1,3,1,,10
Benbrook,1,,,1,1,,,,,2,,,5
Bertram,,,,,,,,,1,,,,1
Big Bend Ranch State Park,1,,,,,,,,,,,,1
Big Sandy,,,,,1,,,,,,,,1
Big Spring,,,,1,1,1,3,1,1,,,,8
Blanco,,,,1,,,,,,,,,1
Boerne,,,1,,1,,,,1,,2,1,6
Bonham,,,1,1,,1,,,,1,,,4
Bowie,,,,,1,,,,,,,1,2
Boyd,,,,1,,,,,,,1,,2
Brady,1,,,1,,,1,,1,,,,4
Brazoria,,,,,,,,,,,,1,1
Breckenridge,,,,,,,,,,,1,,1
Bremond,,,,,1,1,,,,,,,2
Brenham,,,,2,1,,,,,1,,,4
Bridge City,,,,1,,,,,,,,,1
Bridgeport,,,,,,1,,,1,,,,2
Bronte,,,,,,,,,,1,,1,2
