City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Abingdon,,,3,3,,,1,3,1,2,1,,14
Afton,,1,,,1,,,,,1,,,3
Aldie,,,,,1,,,,1,,,,2
Alexandria,1,,4,7,7,4,2,1,2,4,8,1,41
Altavista,,,,,,,,,,,1,,1
Annandale,,,,1,2,1,,,1,,1,,6
Appalachia,,,,,,,,1,,,,,1
Ararat,,,,,1,,,,,,,,1
Arlington,3,2,3,2,3,3,4,4,6,4,5,2,41
Arrington,,,,,,,,,,,1,,1
Ashburn,,,1,4,2,3,,,,4,4,1,19
Ashland,,,1,1,,,,,1,1,,,4
Atkins,,,,,1,,,,,,,,1
Axton,,,,,,,,1,,,,,1
Bastian,,,,1,,,1,,,,,,2
Bealeton,,,,,,,,,1,,1,,2
Bedford,,,,3,2,,,,,,,1,6
Bentonville,,,,1,1,,,,,,,,2
Berryville,,,,,,,,,1,3,1,,5
Blacksburg,,1,,3,,2,1,2,3,2,1,1,16
Bluefield,,,,1,,,,,,1,,,2
Bluemont,,,,1,,,,,,,,,1
Bowling Green,,,,2,,,,,,,,,2
Boyce,,,2,,,,,,,2,1,1,6
Brambleton,,,,,,,,,1,,,1,2
Breaks,,,,,,1,,,,1,,,2
Bridgewater,,,,,1,,,,,1,,1,3
Bristol,,,,1,3,1,,,1,,,1,7
Bristow,,,,1,2,,,,,,,1,4
Brodnax,,,,1,,,,,,,,,1
Browntown,,,,,,,,,,1,,,1
Buena Vista,,,,1,,,,,,,,,1
Bumpass,,,,,,,,,2,,,,2
Burke,,,1,1,,,,,,2,1,,5
Burke Lake,,,,,1,,,1,,,,,2
Burkes Garden,,,,,,1,,,,,,,1
Cartersville,,,,,1,,,,,,,,1
Cedar Bluff,,,,1,,,,,1,,,,2
Centreville,1,,,,,,,,,2,2,1,6
Chantilly,,,,1,1,1,,,,,,,3
Charles City,,,,,,,1,,,,,,1
Charlottesville,1,1,2,4,3,1,2,2,3,2,5,2,28
Chase City,,,,,,,,1,,,,,1
Chesapeake,2,,,4,4,,,,3,5,,2,20
Chesterfield,,,2,3,1,1,,1,2,,,,10
Chilhowie,,,,1,,,,,,,,,1
Chincoteague,,,,1,,,,,,,,,1
Chincoteague Island,,,,,,,,,,1,,,1
Christiansburg,,,,,,,,1,,1,,,2
Clarksville,,,,,,,1,,,,,,1
Clifton,,,1,1,1,,,,1,1,1,,6
Clifton Forge,,,,,1,,,,,,,,1
Clintwood,,,,1,,,,,,,,,1
Colonial Beach,,,,,2,,2,1,,,,,5
Colonial Heights,,,1,,1,,,1,,,,,3
Courtland,,,,,,,,,,1,,,1
Covington,,,,,,,,,1,,,,1
Crozet,,,,1,1,,,,,1,,1,4
Culpeper,,,,1,3,,3,,1,,1,1,10
Cumberland,1,,,,,,,,,,,,1
Dale City,,,,,1,,,,,,,,1
Daleville,,,,,,1,,,,,,,1
Damascus,,,,,1,,,,1,,1,,3
Danville,,,1,1,,1,1,,,3,1,,8
Dayton,,,,,,,,,,1,,,1
Delaplane,,,,,1,,1,,,1,1,,4
Deltaville,,,,,,,1,,,,,,1
Dinwiddie,,,,,,1,,,,1,,,2
Doswell,,,,,1,1,,,,1,,,3
Douthat State Park,,,,,,,,,1,,,,1
Dublin,,,,,1,,,,1,,,,2
Duffield,,,,1,,,,,,,,,1
Dulles,,,,,1,,,,1,,,,2
Dumfries,,,1,,1,,,,1,,1,,4
Earlysville,,,,,,,,,,,1,,1
Elkton,1,,,,,,,,,,,,1
Emory,,,,,,,,,,1,,,1
Fairfax,1,1,,4,7,3,2,1,3,8,5,3,38
Fairfax Station,,1,1,4,1,,,,4,2,2,2,17
Falls Church,,,1,2,2,2,1,1,3,1,2,1,16
Farmville,,,1,1,1,1,,,1,,,1,6
Ferrum,,,,1,,,,,,,,,1
Fieldale,,,,,1,,,,,,,,1
Fincastle,,,,,,,,,1,1,,1,3
