City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adamant,,,,,1,,,,1,,,,2
Arlington,,,,,,,,,,1,1,,2
Bakersfield,,,,,,,1,,,,,,1
Barnard,,,,,1,,,,,,,,1
Barre,,,,,1,,1,,,,,,2
Barton,,,,,,,1,,,,,,1
Bellows Falls,,,,1,,,,,,1,,,2
Bennington,,,,,1,2,,,,,,,3
Benson,,1,,,,1,1,2,,1,,,6
Berlin Pond,,,,,,,,1,,,,,1
Bolton Valley,,,,,,,,1,,,,,1
Bradford,1,,,,,2,,,,,,,3
Brandon,,,,,,,,1,,,,,1
Brattleboro,,,,,2,1,2,,2,,,1,8
Bristol,,,,,,,1,,,,,,1
Brownington,,,,,,,,,1,,,,1
Brownsville,,,,,,,,,1,,1,,2
Burlington,1,,1,1,1,3,2,1,5,5,2,1,23
Castleton,,,,,,1,,,,,,,1
Charlotte,,,,,,1,,,,,,,1
Chelsea,,,,,,,,,,1,,,1
Colchester,,,,,,1,2,1,1,3,,,8
Coventry,,,,,,,,,,1,,,1
Craftsbury Common,1,,,,,,,1,,,,,2
Danville,,,,,,,,1,,,,,1
Derby,,,,,1,,,1,,1,,,3
Dover,,,,,,2,,,,,,,2
East Burke,,,,,1,,,,,1,,,2
East Charleston,,,,,,,1,1,,,,,2
East Thetford,,,,,,,,,,1,,,1
Enosburg Falls,,,,,,,,2,,,,,2
Essex Center,,,,1,,,,,1,,,,2
Essex Junction,,,,,1,1,2,2,2,,,,8
Fair Haven,,,,,,,,,,,1,,1
Fairfax,,1,,1,,,,1,,,,,3
Fairlee,,,,,1,,,,,,,,1
Fayston,,,,,,,,,,1,,,1
Georgia,,,,,1,,,,1,,,,2
Goshen,,,,,,,1,,,,,,1
Granville,,,,,,,,,,1,,,1
Greensboro,,,,,,,1,,,,,,1
Guilford,,,,,,,1,,1,,,,2
Hardwick,,,,,1,,,,,,,,1
Hartford,,,,,,,1,,,,,,1
Hinesburg,,,,,1,,,,,,1,,2
Huntington,,,,,1,1,,,,,,,2
Hyde Park,,,,,,,,,,,2,,2
Irasburg,,,,,,,,1,,,,,1
Isle La Motte,,,,,,,2,,,,,,2
Jay,,,,,,,,,1,,,,1
Jeffersonville,,,,,,,,,1,,,,1
Jericho,,,,,1,,1,,,2,,,4
Killington,,,,,1,,2,,1,1,1,,6
Ludlow,,,,,,,,,,,1,,1
Lyndonville,,,,,1,,,,,,,,1
Manchester,,,,,,,1,,1,,,,2
Manchester Center,,,,,,,1,,,,,,1
Middlebury,,,,,1,,,,1,,1,,3
Middlesex,,,,,,,1,,,,,,1
Milton,,,,,,1,,,,1,,,2
Montpelier,,,,,2,2,1,,1,1,3,1,11
Newfane,,,,,,,,,1,,,,1
Newport,,,,,,,1,,,,,1,2
North Bennington,,,,,1,,,,,,,,1
Northfield,,1,,,,,,,3,1,,,5
Pittsfield,,,1,,4,,,,,,,,5
Pittsford,,,,,,,,1,,,,,1
Poultney,,,,,1,,,,1,,,,2
Pownal,,,,,,,,1,,,,,1
Proctorsville,,,,,,1,,,,,,,1
Randolph,,,,,,,,1,,,,,1
Randolph Center,,,,,,,,,1,,,,1
Readsboro,1,,,,,,,,,,,,1
Richmond,,,,,,,,1,,,1,,2
Ripton,,,,,,,,,,1,,,1
Rockingham,,,,,,,,,,1,,,1
Rutland,,,1,1,2,4,1,1,1,1,1,,13
Salisbury,,,,,,2,1,2,1,,,,6
Sharon,,,,,,,,,1,,,,1
Shelburne,,1,1,1,2,2,1,2,1,4,1,,16
South Burlington,,,,,,,,1,,1,,,2
South Hero,,,,,,1,1,,,1,,,3
South Londonderry,,,,,,1,,,,,,,1
Springfield,,,,,4,,,1,,,1,,6
St. Albans,,,,1,1,4,5,5,,1,,,17
St. Albans Bay,,,,,,,1,,,,,,1
St. Johnsbury,,,,,,,,,,1,,,1
Starksboro,,,,,,,,,1,,,,1
Stowe,,,,,2,1,3,3,1,,,,10
Strafford,,,,,,,,,,,1,,1
Stratton,,,,,,,,,,1,1,,2
Townshend,,,,,1,,,,,,,,1
Vergennes,,,,1,1,,1,1,,,,,4
Waitsfield,,,,,,,1,,,1,,,2
Warren,,,,,,,,,,1,,,1
Waterbury,,,,,1,,,,,1,,,2
Wells,,,,,,,,,,1,,,1
West Bolton,,,,,,,,,,1,,,1
West Windsor,,,,,,1,1,,,1,,,3
Westford,,,1,,,,,,,1,,,2
Westmore,,,,,,,1,,,,,,1
White River Junction,,,,,,,,,,1,,,1
Whitingham,,,,,,,,1,,,,,1
Williston,,,,,2,,,,1,2,,,5
Wilmington,,,,,,,,,1,,,,1
Windsor,,,1,,,2,,,,1,,,4
Winooski,,,,,,,,,,1,,,1
Woodford,1,,,,,,,,,,,,1
Woodstock,,,,,1,1,1,,,,1,,4
Worcester,,,,,,1,,,,,,,1
Total,5,4,6,8,44,40,46,38,36,48,21,4,300
