City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Airway Heights,,,,,,,,,1,,,,1
Amboy,,,,,1,,1,1,,,,,3
Anacortes,,,,1,,1,1,1,,,,1,5
Anderson Island,,,,,1,,,,,,,,1
Arlington,,,2,,3,,1,2,1,2,,2,13
Asotin,,,,,,1,,,,,,,1
Auburn,,,,2,1,2,1,2,,1,1,,10
Bainbridge Island,,,,,,,1,,,,1,,2
Battle Ground,1,,,,1,,1,,1,,,,4
Bellevue,,,,2,2,1,2,,1,,1,,9
Bellingham,2,2,4,5,4,12,5,12,4,5,3,3,61
Benton City,,,,2,,,,,,,,,2
Birch Bay,,1,,1,,,,,,,,1,3
Black Diamond,,,,,,,1,,2,,,,3
Blaine,,,,,,,1,1,,,,1,3
Bonney Lake,,,1,,,1,1,1,2,,1,,7
Bothell,2,,,2,2,,,1,2,,1,,10
Bremerton,,,,1,,,,1,1,,,,3
Buckley,,,,,,,1,,,,,,1
Burien,,,1,,,,,,,,,,1
Burlington,,,1,1,1,1,,,2,,,1,7
Camano Island,,,,,,1,,,,,,,1
Camas,1,,,2,,1,,1,,1,,,6
Carlton,,,,,,,,1,,,,,1
Carnation,,,,,1,1,2,,2,,,,6
Carson,,,,,,,,,1,,,,1
Cashmere,,,,,1,,,,,,,,1
Castle Rock,,,1,,,,,,,,,,1
Chattaroy,,,,,,,,,,1,,,1
Chelan,,,,,,1,2,,1,1,,,5
Cheney,,,1,,1,,,,,,1,,3
Chewelah,,,,,,,,1,,,,,1
Clarkston,,,2,,,,,,,1,1,1,5
Cle Elum,,,,,1,,3,1,1,2,1,,9
Clear Lake,,,,,,,1,,,,,,1
Colbert,,,,,,,,,,1,,,1
Colfax,,,,,,,1,,,,,,1
Colville,,,,,1,,1,,,,,,2
Concrete,,,,1,,,,,,1,,,2
Coupeville,,1,1,,,,,1,,2,,,5
Covington,,,,,,,,,1,,,,1
Crystal Mountain,,,,,,1,1,,,,,,2
Deer Park,1,,,,,,,,2,1,,,4
Des Moines,,,,,,,,,1,,,,1
Dog Lake,,,,,,,,,,1,,,1
Duvall,,,,,,1,,,,,,,1
Easton,,,,,,,,1,,,,,1
Eastsound,1,1,,,,,1,,,,,,3
Eatonville,,,,,,,,,1,,,,1
Edgewood,,,,,,,1,,,,,,1
Edmonds,,,,,,,1,,,,,,1
Ellensburg,,,,4,,,4,,,,1,,9
Elma,,,,,,,,1,,,,,1
Enumclaw,,,,1,,,2,1,2,,,,6
Ephrata,,,,,,1,,,1,,,,2
Everett,,1,,1,2,2,2,4,1,3,,,16
Everson,,,,1,,,,,,,,,1
Fall City,,,,,,1,,,,1,1,,3
Federal Way,,,1,,1,,1,,1,2,,,6
Ferndale,,,,,,1,,1,1,,,,3
Frater Lake,,,,,,1,,,,,,,1
Friday Harbor,,,1,,,2,,1,1,,,,5
Gig Harbor,,,1,,1,,,,2,,1,1,6
Graham,,,1,,,,,,,1,,,2
Granite Falls,,,,,,,,,,,,1,1
Guemes Island,,,,,,1,,,,,,,1
Hoodsport,,,,,,,,1,,,,,1
Hoquiam,,,,1,1,1,,,1,,,1,5
Ilwaco,,,,,,,1,,,,,,1
Issaquah,1,,,3,,3,3,3,,3,2,,18
Joint Base Lewis-McChord,,,1,,1,,1,,,1,1,,5
Kelso,,,,,,,,1,,,,,1
Kenmore,1,,1,,,,,1,1,1,1,,6
Kennewick,,,,,1,,,1,1,,1,,4
Kent,1,,1,1,1,3,2,2,2,1,1,1,16
Kettle Falls,,,,,,1,,,,,,,1
Kirkland,1,,1,,1,1,1,1,2,1,1,1,11
La Center,,,,,,,,1,,,,,1
La Conner,,,,,,,,,,,1,,1
Lacey,,,,,,2,2,,3,,2,1,10
Lake Cavanaugh,,,,,,,,1,,,,,1
Lake Stevens,,,1,,,,1,1,1,1,,,5
Lakewood,2,1,,,1,,1,2,1,2,,1,11
Langley,,,,,,1,1,,,,,,2
Leavenworth,,,,,,,,,,2,,,2
Liberty Lake,,,,,1,,,,,,,,1
Long Beach,,,,,,2,,,,,,,2
Longview,,1,,,,,1,1,,1,,,4
Loon Lake,,,,,,,1,,,,,,1
Lopez Island,,,,,,,1,,,,,,1
Lynden,,,,,1,,1,,2,,,,4
Lynnwood,,,,,,,,,,1,1,,2
Manson,,,,,,1,,,,,,,1
Maple Falls,,,,,,,,,1,,,,1
Maple Valley,,,,,,3,,,1,1,,,5
Mazama,,,,,,,,1,,,,,1
McChord Field,,,,,,,,,1,,,,1
Mead,,,,,,,2,,,,,,2
Medical Lake,,,,,,,,1,,,,,1
Mercer Island,,,1,1,1,1,,,1,,,,5
Mill Creek,,,,,,,1,1,,,,,2
Millwood,,,,,,,,1,,,,,1
Monroe,1,1,,1,1,1,,2,,1,,,8
Montesano,,,,,,,,,1,,,,1
Moses Lake,,,,1,2,3,,,1,,,,7
Mossyrock,,,,,,,,,1,,,,1
Mount Vernon,1,,,,2,,,,,1,1,,5
Mountlake Terrace,,,,,,,1,,,,,,1
Mt. St. Helens,,,,,,,,,1,,,,1
Mukilteo,,,,1,1,,,1,,,,,3
Newcastle,,,1,,1,,,,,,,,2
Newport,,,,,,,,,1,,,,1
Nine Mile Falls,,,,,,,1,1,,,,,2
North Bend,,,,,,1,1,1,,,,,3
North Bonneville,,,,1,,1,,,,1,,,3
Oak Harbor,,,1,7,,1,,1,1,1,,2,14
Ocean Shores,,,,,,,2,,,,,,2
Odessa,,,,,,,,,1,,,,1
Okanogan,,,,,,,,,1,1,,,2
Olga,,,,1,,,,,,,,,1
Olympia,2,2,4,1,5,2,4,3,1,8,2,1,35
Omak,,,,1,,,,1,,,,,2
Onalaska,,,,,1,,,,,1,1,,3
Orcas Island,,,,,,,,,1,,,,1
Orting,,,1,2,1,,,,,,1,,5
Othello,,,,,,,1,,,,1,,2
Palouse,,,,,,1,,,,,,,1
Pasco,,,,,3,1,5,2,1,,,1,13
Plain,,,,,,,,,1,,,,1
Port Angeles,,,,1,,1,,,2,1,1,,6
Port Gamble,,,,1,,,,,,,,,1
Port Hadlock,,,,,,,1,,,,,,1
Port Orchard,,,,,,1,,,1,,,2,4
Port Townsend,,,,,1,,,,,,1,,2
Poulsbo,,,,,,,,,,1,,,1
Pullman,1,,1,1,1,,,1,,2,,1,8
Puyallup,1,,2,1,1,1,2,1,1,3,1,1,15
Quilcene,,,,,,,,,1,,,,1
Quincy,,,1,,1,,,,1,,,,3
Ravensdale,,,,,,,,,1,,,,1
Raymond,,,,1,,,,,,,,,1
Redmond,2,,3,3,6,6,4,4,7,5,6,1,47
Renton,,,1,1,,2,,,,,,2,6
Republic,,,,,,1,,,1,,,,2
Richland,,1,4,2,,,2,2,1,2,1,,15
Ridgefield,,,,1,,,2,,,,1,1,5
Rockford,,,,,,,,,1,,,,1
Rosalia,,,,,,1,,,,,,,1
Roslyn,,,,,,,,1,,,,,1
Sammamish,,1,,1,2,,,1,,,,,5
Seabeck,,,,,,,,,1,,,,1
SeaTac,,,,,,,,,1,,,,1
Seattle,7,10,14,11,20,14,19,15,13,13,17,7,160
Sedro-Woolley,,1,1,,,,1,,,,,,3
Selah,,,,1,,,,,1,,,,2
Sequim,,,,,1,,,,,,,,1
Seven Bays,,,,,,,,,1,,,,1
Shelton,,,,,2,1,,,,1,,1,5
Shoreline,,,,,,,,1,,1,,,2
Silverdale,,,,,,,1,,,,,,1
Skykomish,,1,,,,,,,,,,,1
Snohomish,,1,,1,1,1,2,,1,2,,1,10
Snoqualmie,,,1,1,1,,,1,2,,1,,7
Snoqualmie Pass,,,,,,1,,,,,,,1
Soap Lake,,,,1,,,,1,,,1,,3
Spokane,,,3,6,6,5,8,6,10,7,3,1,55
Spokane Valley,,,1,,1,1,,,1,,,,4
Sprague,,,,2,,,,,,,,,2
St. John,,,,,,,,,1,,,,1
Stanwood,,,,1,,,,,,1,,,2
Steilacoom,2,1,1,,,,2,,,,,,6
Stevenson,1,,,,,,,1,,,1,1,4
Sumas,,,,,,1,,,,,,,1
Sumner,,,,1,,,,,,,,,1
Sunnyside,,,,,2,,1,,,1,,,4
Tacoma,,1,2,2,4,5,4,4,4,3,2,2,33
Tonasket,,,,,1,,,,,,,,1
Trout Lake,,,,1,1,,1,,,,,,3
Tukwila,1,1,,1,,,,,,1,,,4
Tumwater,,,,,,1,,,1,,,,2
University Place,,,,,,,,,1,1,,,2
Usk,,,,,,,,,1,,,,1
Vancouver,3,5,5,4,10,4,3,4,4,2,2,,46
Vashon Island,,,,,,1,1,,,,,,2
Walla Walla,,,1,,2,,,,2,2,,,7
Washougal,,,,,2,1,,1,,,1,,5
Wenatchee,1,,,1,1,,1,1,,,1,,6
Whatcom Falls Park,,1,,,,,,,,,,,1
White Pass,,,,,,1,,,,,,,1
White Salmon,,,,,,1,,,,,1,,2
Winthrop,1,,,,3,,,,2,,,,6
Woodinville,,1,,1,,1,1,2,3,1,1,1,12
Woodland,,,,2,,,,,,,,,2
Yacolt,,,,,,1,,,,,,,1
Yakima,2,1,,2,3,1,2,,,3,1,2,17
Yelm,,,,,,2,,,1,,,,3
Total,40,37,72,101,124,120,133,115,134,109,74,45,1104
