County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Anchorage,,1,,2,6,7,5,8,6,7,3,1,46
Denali,,,,,,1,,,,,,,1
Fairbanks North Star,5,4,6,3,11,14,17,19,7,5,3,6,100
Hoonah-Angoon,,,,,,,,1,,,,,1
Juneau,,,2,3,5,4,5,7,3,1,1,,31
Kenai Peninsula,,,1,,2,2,2,5,1,,1,,14
Ketchikan Gateway,,,1,1,1,1,2,1,,,,,7
Kodiak Island,,,,,,,,,,1,,,1
Matanuska-Susitna,,,,,2,,,1,2,,,2,7
Prince of Wales,,,,,1,,,,,,,,1
Sitka,,,,,1,2,,1,,,,,4
Skagway,,,,,,1,,,1,,,,2
Southeast Fairbanks,,,,1,,,,,,,,,1
Valdez-Cordova,,,,,,,1,2,,,,,3
Wrangell,,,,,,,1,,,,,,1
Total,5,5,10,10,29,32,33,45,20,14,8,9,220
