County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Arkansas,,,,1,,,,1,,,1,,3
Ashley,,,,,,,,,,1,,,1
Baxter,1,,,2,1,1,,,1,2,2,,10
Benton,,,3,4,6,6,1,1,4,3,2,1,31
Boone,,,,,2,,,,1,2,2,,7
Carroll,,,1,1,,1,2,2,,,1,,8
Chicot,,,,1,,,,,,,,,1
Clark,,,,,2,,1,4,,,,,7
Cleburne,,,,,,,,,3,1,1,,5
Columbia,,,,,,,,,,1,,,1
Conway,,,,1,,,,,,,1,,2
Craighead,,,1,4,5,1,,,2,3,3,,19
Crawford,,,,2,1,,,,,2,,,5
Crittenden,,,,,2,,,,,2,,,4
Cross,1,,,,1,,,1,1,,1,,5
Drew,,,,,,,,,,,1,,1
Faulkner,,1,1,1,3,,,1,3,1,,1,12
Franklin,,,,,1,,,,,1,,,2
Fulton,,,,,,,,,1,,,,1
Garland,1,1,1,2,2,1,,,3,3,1,1,16
Grant,,,,,1,,,,,,,,1
Greene,1,,,2,2,1,,,1,2,1,,10
Hempstead,,1,,,1,,,1,,,,,3
Hot Spring,,,,1,,1,1,,,1,,,4
Independence,1,,2,1,1,2,,2,2,1,2,1,15
Izard,,,,1,,1,,,,1,,,3
Jefferson,,,,,,,,,,,,1,1
Lawrence,,,,1,,,,,1,,,,2
Lincoln,,,,1,,,,,,,1,1,3
Logan,,,,,1,,,,,1,,,2
Lonoke,,,1,2,,,,,1,2,,,6
Marion,,,,,,,,,,1,,,1
Miller,,,,,,,,,2,,1,,3
Mississippi,,,,,1,,,,1,,,,2
Montgomery,,,,,,,,,,,,1,1
Nevada,,,,,,,,,,,,1,1
Newton,,,,,1,,,,,,,,1
Perry,,,,,,,1,,,1,,,2
Phillips,,,,,,,,,,1,,,1
Pike,,,,,,,,,1,,,,1
Polk,1,,,,1,,,,,1,,,3
Pope,,1,,,2,2,,1,,3,3,,12
Pulaski,,2,6,12,6,2,2,4,5,8,4,4,55
Randolph,,,,,1,,,,,,,,1
Saline,,,2,1,5,3,,,1,3,2,1,18
Searcy,,,,1,,,,,,2,,,3
Sebastian,,1,1,4,1,,,1,1,1,1,,11
Sharp,,,,,,,,1,,,,,1
St. Francis,,,,,,,1,,,,,,1
Stone,,1,1,2,,,,,,,1,,5
Union,,,,,1,,1,,1,1,,,4
Van Buren,,,1,,,1,,,1,,,,3
Washington,1,,4,4,3,3,2,3,4,10,5,2,41
White,,,,4,2,,,,,,1,,7
Yell,1,,,,,1,,,,,,,2
Total,8,8,25,56,56,27,12,23,41,62,38,15,371
