County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alameda,4,4,10,13,15,12,9,14,15,18,12,8,134
Alpine,,,,,,,,,2,,,,2
Amador,,,1,3,1,1,1,1,,1,,,9
Butte,1,4,3,5,3,4,3,2,5,3,3,,36
Calaveras,1,,1,,,1,1,,1,1,,,6
Colusa,,,,,,1,,,,,,,1
Contra Costa,3,,3,6,8,5,7,6,7,15,11,4,75
Del Norte,,,,,1,,,1,1,1,,1,5
El Dorado,,2,4,2,4,2,2,7,6,8,3,2,42
Fresno,2,5,6,11,4,5,5,6,8,11,6,3,72
Glenn,,,1,,1,,,,,1,,,3
Humboldt,,1,,1,1,,,1,2,1,,,7
Imperial,1,1,1,3,1,,,,,2,1,,10
Inyo,,1,,,2,,1,,,,,,4
Kern,2,2,4,8,5,2,2,3,6,8,8,4,54
Kings,,1,2,,,,,,,1,1,1,6
Lake,2,,,1,1,,,,,1,,,5
Lassen,,,,,1,,,,,2,,,3
Los Angeles,31,26,39,41,57,36,22,33,42,68,64,37,496
Madera,,,2,1,2,3,,,1,2,,,11
Marin,1,3,3,8,6,3,6,3,5,7,6,5,56
Mariposa,,,1,,,1,,,1,,,1,4
Mendocino,,1,3,,1,1,1,1,1,5,4,,18
Merced,,,1,,1,1,1,,2,2,,2,10
Modoc,,,,,,,1,,,,,,1
Mono,,,,,,2,2,5,2,,,,11
Monterey,3,1,,3,5,2,1,3,7,7,6,1,39
Napa,1,,4,4,5,1,1,3,2,5,5,2,33
Nevada,1,,,1,1,2,4,4,1,,2,,16
Orange,11,12,22,21,13,15,15,9,14,23,23,9,187
Placer,7,8,6,12,11,7,4,7,7,7,5,2,83
Plumas,,,,,,,2,3,,,,,5
Riverside,15,9,19,12,8,6,2,2,5,19,15,8,120
Sacramento,3,7,9,11,21,15,10,11,8,14,12,7,128
San Benito,1,,,,,1,,,1,2,,,5
San Bernardino,3,4,8,9,8,8,4,7,10,12,5,5,83
San Diego,14,20,30,27,29,23,17,15,35,34,39,10,293
San Francisco,9,13,15,16,15,23,16,21,20,18,22,19,207
San Joaquin,2,2,,2,7,3,3,1,7,6,5,1,39
San Luis Obispo,2,3,7,2,6,3,4,3,4,5,4,1,44
San Mateo,4,2,5,4,10,5,5,7,4,10,3,2,61
Santa Barbara,3,4,6,9,12,9,9,10,8,7,7,2,86
Santa Clara,4,6,16,12,21,13,14,12,11,24,17,5,155
Santa Cruz,,1,2,3,3,5,5,7,4,4,6,2,42
Shasta,6,4,1,3,3,,2,6,4,3,2,,34
Siskiyou,,,,2,1,,1,1,,1,1,,7
Solano,1,,1,1,4,1,2,1,5,3,2,1,22
Sonoma,1,2,2,6,9,5,6,5,4,6,1,2,49
Stanislaus,1,2,1,4,4,1,,1,4,3,3,1,25
Sutter,,1,,1,2,1,,,,3,1,1,10
Tehama,,,1,,,,,1,,2,,,4
Tulare,3,2,2,5,4,1,1,1,4,7,1,2,33
Tuolumne,,1,1,2,1,,2,,,1,,,8
Ventura,5,5,4,12,18,12,8,4,6,13,9,7,103
Yolo,,2,5,1,5,1,2,1,2,1,4,,24
Yuba,1,,1,2,1,,,,2,,,,7
Total,149,162,253,290,342,243,204,229,286,398,319,158,3033
