County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,3,2,4,11,13,11,8,15,17,8,6,2,100
Alamosa,1,,,,1,,,,1,1,,,4
Arapahoe,4,3,2,8,13,12,2,5,3,8,,1,61
Archuleta,,,,,,2,1,1,1,,,1,6
Boulder,2,,,8,12,14,18,12,15,5,5,2,93
Broomfield,,,,3,4,3,1,,1,,3,,15
Chaffee,1,,1,1,4,4,1,1,1,1,,,15
Clear Creek,,,,,1,2,,1,2,,,,6
Custer,,,,,,1,,1,1,,,,3
Delta,,,,,1,,,,,1,,,2
Denver,3,8,4,15,14,19,15,15,15,15,9,7,139
Douglas,1,1,1,2,6,4,3,9,7,7,4,,45
Eagle,1,,1,,3,3,9,6,2,3,,1,29
El Paso,4,4,6,14,19,14,14,19,19,18,12,7,150
Elbert,,,,,,,,2,,1,,,3
Fremont,,,,,1,,1,,,1,,,3
Garfield,,,,1,1,2,1,2,1,2,1,,11
Gilpin,,,,,,1,,,,,,,1
Grand,1,1,1,,,2,2,3,1,,,,11
Gunnison,,,,1,1,,3,1,4,,,,10
Hinsdale,,,,,,2,,,,,,,2
Huerfano,,,,,,,,,1,1,,,2
Jackson,,,,,,,1,,,,,,1
Jefferson,3,2,2,3,7,8,7,14,9,11,4,1,71
La Plata,,,,2,1,3,1,5,2,3,2,,19
Lake,,,,,2,1,3,3,1,,,,10
Larimer,3,2,5,9,14,8,4,9,11,11,4,3,83
Las Animas,,,,,,,,,1,,1,,2
Logan,,,1,1,,2,1,,1,1,1,,8
Mesa,,1,2,4,8,4,2,1,6,3,3,1,35
Mineral,,,,,,1,,,1,,,,2
Montezuma,,,,1,1,,1,1,,,,,4
Montrose,,,,1,1,,,,,2,,,4
Morgan,,,,1,,,1,,1,,,,3
Otero,,,,,,,,,1,,,,1
Ouray,,,,,,,,1,2,,,,3
Park,1,,,,,1,1,3,,,,,6
Phillips,,,,,,1,,,,,,,1
Pitkin,,,,,,2,3,4,3,1,,1,14
Prowers,,,1,,1,,,,,,,,2
Pueblo,,,,2,3,,3,1,2,3,1,1,16
Rio Blanco,,,,,,1,2,,,,,,3
Rio Grande,,,,,1,,,,,,,,1
Routt,,,,,3,4,3,3,4,1,2,,20
San Juan,,,,,,,2,7,,,,,9
San Miguel,,,,,,,1,,,,,,1
Summit,1,,,1,,6,5,8,4,1,2,,28
Teller,,,,,,,,2,2,1,,1,6
Weld,,,1,2,5,6,1,4,5,4,3,,31
Yuma,,,,,,,,,,,1,,1
Total,29,24,32,91,141,144,121,159,148,114,64,29,1096
