County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Ada,1,3,7,9,9,2,9,6,8,13,6,3,76
Adams,,,,1,,,,,,1,,,2
Bannock,,,1,3,4,3,1,2,4,8,1,,27
Bear Lake,,,,,,,1,,,,,,1
Benewah,,1,,,,2,,,,,,,3
Bingham,,,,,1,,,1,1,1,1,,5
Blaine,,,,,,2,1,1,2,,,,6
Bonner,,,,,,1,3,2,4,,,,10
Bonneville,,,3,2,3,4,3,5,2,1,1,2,26
Boundary,,,,,1,1,,,,,1,,3
Butte,,,,,,,1,,,,,,1
Canyon,,,1,2,1,,,1,3,,1,1,10
Caribou,,,,,1,1,1,1,,1,,,5
Clearwater,,,,,2,,,,,,,,2
Custer,,,,,1,1,,,,,,,2
Elmore,,,,,,1,,,1,,,,2
Fremont,,,,,,,1,2,,,,,3
Gem,1,,,,1,,,2,,,,,4
Gooding,,,,,,,1,,,1,1,,3
Idaho,,,,,,1,,,2,,,,3
Jefferson,,,,2,,1,2,,1,2,,,8
Kootenai,1,,,2,2,,5,3,3,3,,,19
Latah,,,,1,,2,1,1,2,2,,,9
Lemhi,,,,,,,,,1,,,,1
Madison,,,,,,1,3,2,1,,1,,8
Minidoka,,,,,,,,2,,,1,,3
Nez Perce,2,2,,1,1,,,,,1,1,,8
Payette,,,,,,1,,,,1,,,2
Power,,,,,1,,,,,,1,,2
Teton,,,,,,,1,,1,,,,2
Twin Falls,,,,1,2,1,1,1,2,1,1,,10
Valley,,,,,,,1,2,5,,,,8
Total,5,6,12,24,30,25,36,34,43,36,17,6,274
