County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alcona,,,,,,,,1,,,,,1
Alger,,,,,,1,2,,,,,,3
Allegan,,,,,1,2,5,3,2,1,,,14
Alpena,,,,,,1,,,1,,,,2
Antrim,1,,,,,2,1,2,1,,,,7
Arenac,1,,,,,,1,,,2,,,4
Baraga,,,,,,1,,,,,,,1
Barry,1,,,1,,4,2,2,2,,2,,14
Bay,1,1,1,3,,6,2,3,3,3,1,2,26
Benzie,,,1,,1,,1,1,,,,,4
Berrien,1,1,,5,5,3,5,6,3,4,3,,36
Branch,,,,,2,1,1,3,1,2,1,,11
Calhoun,,,1,1,5,4,1,5,4,1,2,1,25
Cass,,,,,,,3,1,,2,1,,7
Charlevoix,,,1,,,5,3,,1,2,2,,14
Cheboygan,,,,,1,1,2,1,,1,,,6
Chippewa,,1,,,1,4,1,2,1,3,1,,14
Clare,,,1,,,5,1,,1,2,,1,11
Clinton,,,1,2,6,2,3,5,2,3,1,2,27
Crawford,,,,,1,,1,,1,,,,3
Delta,,,,,2,1,,,1,1,,,5
Dickinson,1,,,1,,1,,1,1,1,,,6
Eaton,2,1,4,4,8,7,8,2,5,9,3,3,56
Emmet,1,,,,2,,2,1,1,2,,,9
Genesee,1,3,2,2,9,7,6,9,3,7,4,3,56
Gladwin,,,,,,,1,,,,,,1
Gogebic,,,,,,,2,,2,1,,1,6
Grand Traverse,2,,1,4,6,3,7,3,2,4,2,2,36
Gratiot,,1,,,2,1,2,3,4,2,2,1,18
Hillsdale,,,,,,1,1,3,1,1,,,7
Houghton,,,,,1,,3,2,2,2,1,,11
Huron,,,,,2,1,3,3,3,1,,,13
Ingham,,2,5,11,11,10,1,8,14,17,5,1,85
Ionia,1,,1,,2,5,3,3,4,3,1,1,24
Iosco,,,,1,,,2,,3,,,,6
Iron,,,,,,,1,1,,,,,2
Isabella,2,3,1,4,3,3,1,,3,5,1,,26
Jackson,1,,1,2,8,4,6,2,5,2,3,1,35
Kalamazoo,1,4,1,6,11,5,4,5,7,8,3,1,56
Kalkaska,,,,1,1,,,,,,,,2
Kent,,3,3,11,6,15,14,17,14,15,7,5,110
Keweenaw,,,,,,,2,1,,1,,,4
Lake,,,,,,,2,,1,1,,,4
Lapeer,,,,,,,1,2,1,1,2,1,8
Leelanau,,1,,,,2,1,1,2,1,,,8
Lenawee,,1,,1,2,2,4,1,2,2,2,2,19
Livingston,,2,2,3,9,6,6,8,10,3,3,1,53
Luce,,,,,1,1,,1,1,,,,4
Mackinac,,,,,1,1,,,4,1,,1,8
Macomb,2,,3,2,8,8,4,3,6,5,6,2,49
Manistee,,,,,,2,3,2,,1,,1,9
Marquette,,,1,1,4,3,2,4,3,2,1,,21
Mason,,,1,,,1,,1,1,1,1,,6
Mecosta,,,,1,2,2,1,2,2,1,1,,12
Menominee,,,,,1,,,,,1,,1,3
Midland,,,1,2,7,4,2,1,4,3,1,,25
Missaukee,,,,1,,,1,1,,,,,3
Monroe,,,1,,1,2,2,2,,2,1,,11
Montcalm,,,,1,3,3,2,3,4,3,1,,20
Muskegon,1,,2,,3,2,3,3,6,,4,,24
Newaygo,1,,,,1,,3,,1,,1,1,8
Oakland,4,2,5,14,32,16,9,14,23,25,13,4,161
Oceana,,,,,,2,2,,3,,,,7
Ogemaw,,,1,,1,1,1,,,3,,,7
Ontonagon,,,1,,,,,,2,,,,3
Osceola,,,,,,1,3,2,,1,,,7
Otsego,,1,1,,3,,3,,2,4,1,,15
Ottawa,1,4,3,7,4,10,6,5,8,5,4,1,58
Presque Isle,,,,,1,,,,,,,,1
Roscommon,1,,,1,,1,,,,,,,3
Saginaw,,1,,3,1,5,4,3,6,8,3,1,35
Sanilac,,,,,,1,2,1,2,1,,,7
Shiawassee,,,,1,2,1,1,2,4,3,1,1,16
St. Clair,1,2,3,2,3,6,6,5,1,5,6,1,41
St. Joseph,,,,,1,4,2,2,2,1,,1,13
Tuscola,1,1,1,,,2,2,2,3,1,,1,14
Van Buren,,2,,,2,5,1,3,2,4,1,1,21
Washtenaw,3,2,5,11,10,3,5,9,6,14,4,2,74
Wayne,8,8,8,14,24,18,16,13,26,24,12,7,178
Wexford,,,,1,2,2,,2,,,1,1,9
Total,40,47,64,125,226,223,204,197,236,235,116,56,1769
