County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,,1,1,,,,,,,1,,3
Alcorn,,,,,1,,,,,,,,1
Bolivar,,1,,,,,,,,,1,,2
Chickasaw,,,,1,,,,,,,,,1
Choctaw,,,,1,,1,,,,,,,2
Clay,,,,1,1,,,,,,,,2
Coahoma,,,1,1,,,,,,,,,2
Copiah,,,,,,1,,,,,,,1
Covington,,,,,1,,,,,1,,,2
DeSoto,,,,1,1,,,,,1,1,,4
Forrest,4,4,8,5,4,1,1,1,2,8,3,1,42
Franklin,,,1,,,,,,,,,,1
George,,,1,,,,,,,,,,1
Greene,,,,,,,,,,1,,,1
Grenada,,,,,1,1,,,,1,1,,4
Hancock,,,,,1,,,1,1,1,1,,5
Harrison,3,3,4,7,5,1,3,1,5,4,4,5,45
Hinds,1,1,3,5,2,2,3,2,3,7,3,,32
Holmes,,,,,1,,,,,,,,1
Itawamba,,1,,,,,,,,,,,1
Jackson,1,1,,3,1,1,1,,1,1,1,2,13
Jefferson Davis,,,,1,,,,,,,,,1
Jones,2,2,2,2,4,2,,,,1,2,,17
Lafayette,,,1,4,,,1,,,,,,6
Lamar,,,2,1,,,,,,1,,2,6
Lauderdale,1,,1,1,,1,1,,,2,2,,9
Leake,,,,,1,,,,,,,,1
Lee,1,,,3,1,1,,,3,1,,,10
Leflore,,,1,,,,,,,,,,1
Lincoln,,,,,1,,,,,,,,1
Lowndes,,,1,1,,,1,1,,4,2,,10
Madison,1,1,,1,3,2,2,,1,3,2,1,17
Marion,,,3,,1,,,,,1,,,5
Marshall,,,,1,,,,,,,,,1
Monroe,,,,,,,,1,,,,,1
Montgomery,,,,1,,,,,,,,,1
Newton,,,,,1,,,1,,,1,,3
Oktibbeha,1,1,,2,,,,,,1,2,,7
Panola,,,,,,1,,,,,1,,2
Pearl River,,,,,1,1,,3,,1,,1,7
Perry,,,,,,,,1,,,,,1
Pike,,,,1,,,,,,1,,,2
Prentiss,,,,,,,,,,1,,,1
Rankin,1,,1,4,3,1,,2,1,2,1,2,18
Scott,,,,,,,,,1,,,,1
Simpson,,1,,,2,,,,1,1,,,5
Smith,,,,,,,,,,,1,,1
Stone,,,1,,,,,,,,1,,2
Sunflower,,,,,,,,1,,,,,1
Tate,,,,,1,,,,,,,,1
Tishomingo,,,1,,1,1,,,1,,,,4
Union,,,,,,,,,1,,,,1
Warren,1,,1,,,,,2,1,1,,,6
Washington,,1,,1,1,1,,,,,,,4
Wayne,,,,1,,,,,,,,,1
Wilkinson,,,1,,,,,,,,,,1
Winston,,,,,1,,1,,,,,,2
Total,17,17,35,51,41,19,14,17,22,46,31,14,324
