County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Beaverhead,,,,,,1,1,1,1,,,,4
Big Horn,,,,,,,,1,,,,,1
Carbon,,,,1,,,1,1,2,,,,5
Cascade,,,1,3,3,,1,3,3,2,1,,17
Custer,,,1,,,,,1,,1,,,3
Dawson,,,,,,,,,,,1,,1
Deer Lodge,,,1,,1,,1,,,,,,3
Fallon,,,,,,,,,1,,,,1
Fergus,,,,,,,,1,,1,,,2
Flathead,,,,2,8,4,6,2,1,8,1,,32
Gallatin,1,1,2,3,8,9,6,3,6,5,3,2,49
Glacier,,,,,,1,1,,,,,,2
Hill,,,,,,,,1,1,1,,,3
Jefferson,,,,,,,1,1,,,,,2
Judith Basin,,,,,,,1,,,,,,1
Lake,1,,,1,1,,1,1,,1,1,,7
Lewis and Clark,,,,2,4,1,3,1,4,4,,,19
Lincoln,,,,,,1,,1,,1,,,3
Madison,,,,,1,1,3,1,,,,,6
Mineral,,,,,,1,,,,,,,1
Missoula,1,2,1,7,7,4,2,4,3,7,3,1,42
Musselshell,,,,,1,,,,,,,,1
Park,,,,,,1,1,,2,,1,,5
Pondera,,,,1,,,,,1,,,,2
Ravalli,,,,,1,1,1,2,2,,,,7
Richland,,,,,1,2,,1,,1,,,5
Rosebud,,,,,,1,,,,,,,1
Sanders,,,,1,1,,,1,,,,,3
Sheridan,,,,,,,1,,,,,,1
Silver Bow,,,,,1,1,,2,1,1,,,6
Stillwater,,,,,,,,,,1,,,1
Sweet Grass,,,,,,1,1,,,1,,,3
Valley,,,,,,,,1,,,,,1
Yellowstone,,,3,1,4,1,4,6,4,5,2,,30
Total,3,3,9,22,42,31,36,36,32,40,13,3,270
