County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alamance,,,,3,7,,1,1,3,,2,1,18
Alexander,,,,1,2,1,,,1,1,2,,8
Alleghany,,,,,,,,1,,,,,1
Anson,,,,,,,,1,,2,,1,4
Ashe,,,,,,1,,,,,,1,2
Avery,,,,1,,1,,,,1,,,3
Beaufort,,,2,4,3,,1,,,2,1,,13
Bertie,,,,1,,1,,,1,1,,,4
Bladen,,,1,2,3,1,,,3,1,,,11
Brunswick,4,1,3,5,3,6,5,5,5,4,7,1,49
Buncombe,4,4,11,13,8,10,6,9,9,8,8,2,92
Burke,1,1,2,3,4,1,1,1,3,5,3,1,26
Cabarrus,,,7,7,4,2,1,,4,6,5,2,38
Caldwell,,,1,2,3,,3,,1,1,2,,13
Camden,,,,,,,,,1,,,,1
Carteret,1,1,5,4,4,3,3,3,2,3,4,,33
Caswell,,,,,,,,,,1,,,1
Catawba,1,,3,4,4,4,,3,3,4,6,3,35
Chatham,,,,1,4,1,,,2,3,,1,12
Cherokee,,,,,,,,,2,1,2,,5
Chowan,,,1,1,1,,,,,1,,,4
Clay,1,,,,,,,,,,,,1
Cleveland,1,1,2,4,4,,,3,2,3,3,1,24
Columbus,,1,,,2,1,1,,3,2,1,1,12
Craven,1,1,3,1,4,3,1,1,2,5,2,1,25
Cumberland,2,1,3,2,5,2,3,3,5,3,6,3,38
Currituck,,1,,,2,,3,4,,,1,,11
Dare,,,1,4,4,4,4,4,3,,5,1,30
Davidson,,,,4,3,2,,2,,2,1,1,15
Davie,,1,2,1,2,,,,,,1,,7
Duplin,,,1,,1,,,,,1,1,,4
Durham,,1,7,6,5,1,1,3,4,6,4,2,40
Edgecombe,,,,1,,,,,,1,1,,3
Forsyth,2,2,11,8,10,12,3,3,6,9,6,2,74
Franklin,,,,1,,,,,2,,,,3
Gaston,,2,7,1,5,,1,1,3,7,2,1,30
Gates,,,1,,1,,,,,,,,2
Graham,,,,,1,,,,,,,,1
Granville,,,2,,,,,,1,,,,3
Guilford,2,2,7,14,13,9,1,9,12,18,15,7,109
Halifax,,,,1,1,1,,2,,2,,,7
Harnett,,2,2,2,2,3,,1,1,2,4,1,20
Haywood,,,1,1,3,2,,7,2,3,,1,20
Henderson,,2,3,4,4,1,,4,3,9,3,1,34
Hertford,,,,,,,,1,1,,,,2
Hoke,1,,,1,3,,,,1,1,1,,8
Iredell,1,1,7,5,9,1,6,,4,7,3,4,48
Jackson,,,1,2,,,,1,1,2,,,7
Johnston,,1,,2,3,1,,,2,6,2,1,18
Jones,,,,1,1,,,,,1,,,3
Lee,,1,,1,1,1,,1,,3,1,,9
Lenoir,,1,2,,,,,,1,3,2,,9
Lincoln,,1,2,4,2,1,,,2,4,1,2,19
Macon,,1,1,1,3,2,1,3,,4,2,,18
Madison,,,,2,,,,,,,,,2
Martin,,,,,,,,,,,1,,1
McDowell,,,1,,,,,,,1,1,,3
Mecklenburg,4,6,20,24,31,17,10,14,31,26,13,14,210
Mitchell,1,1,2,,2,2,2,1,,,1,1,13
Montgomery,,1,2,,,,1,,,1,1,1,7
Moore,1,,1,2,3,2,2,1,4,8,2,1,27
Nash,,1,,1,3,,,,2,3,,,10
New Hanover,1,5,10,8,9,2,1,,4,8,11,5,64
Onslow,,2,2,7,3,3,2,1,4,9,6,4,43
Orange,1,2,4,7,8,,1,2,3,5,5,1,39
Pamlico,,,,2,1,,,,1,,,,4
Pasquotank,,,,2,2,,,,,2,2,,8
Pender,1,1,2,1,1,1,1,1,1,1,2,1,14
Perquimans,,,,,,,,,1,1,,,2
Person,,,,1,,1,,,1,,,,3
Pitt,,3,6,12,4,2,,,7,7,7,1,49
Polk,,,,,1,,1,,2,1,1,1,7
Randolph,,,1,3,2,2,,,4,2,1,3,18
Richmond,,,2,2,1,1,,,1,1,2,,10
Robeson,,,1,1,,,1,1,1,1,,1,7
Rockingham,,,3,2,3,1,,,2,1,2,2,16
Rowan,1,2,3,3,7,4,2,2,2,8,5,2,41
Rutherford,1,,1,1,1,1,,3,1,5,2,,16
Sampson,,,1,1,,1,,,3,1,1,,8
Scotland,,,,1,,,,,,1,,,2
Stanly,,,4,2,2,2,,4,2,3,2,1,22
Stokes,,,1,,1,1,,1,1,1,1,1,8
Surry,,,3,5,3,1,,1,,5,1,1,20
Swain,1,,,1,3,,1,,3,4,,1,14
Transylvania,,1,1,2,3,,1,,1,1,,1,11
Tyrrell,,,,,,,,,,1,,,1
Union,2,,3,7,3,,2,2,3,1,1,1,25
Vance,,,,,1,1,,,,,,,2
Wake,6,4,18,28,30,16,5,11,30,29,27,7,211
Warren,,,,,,,1,,1,,,,2
Washington,,,,,,1,,,,,,,1
Watauga,,,1,4,3,2,1,2,2,2,3,,20
Wayne,,1,2,3,1,1,,1,1,,6,1,17
Wilkes,,,,,2,,,1,,1,2,1,7
Wilson,,,1,2,2,1,1,3,,3,1,1,15
Yadkin,,,,,3,,,,1,1,1,,6
Yancey,,,,,3,,,,,,,,3
Total,42,60,198,261,286,145,82,129,221,294,221,97,2036
