County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,,,,,,1,,,,,,1
Barnes,,,,,,1,,,1,,,,2
Benson,,,,,,,,,1,,,,1
Billings,,,,,,1,,2,,,,,3
Bottineau,,,,,,2,,,,,,,2
Bowman,,,,,,,,,1,,,,1
Burke,,,,,1,,,,,,,,1
Burleigh,,,,3,2,2,1,3,5,1,1,1,19
Cass,1,1,2,3,5,6,3,3,3,7,3,1,38
Divide,,,,,,,,1,,,,,1
Eddy,,,,1,,,1,,,,,,2
Grand Forks,,2,1,,1,1,3,2,2,3,,,15
McKenzie,,,,,,1,,,,,,,1
McLean,,,,,1,3,,,1,,,,5
Morton,,,,1,,1,2,1,1,2,,,8
Nelson,,,,,,,1,,,,,,1
Pembina,,,,,,,1,,1,,,,2
Ramsey,,,,,,1,,,,,,,1
Ransom,,,,,,1,,,,1,,,2
Richland,,,,,,,,1,1,,,,2
Stark,,,,,1,,1,3,,,,,5
Steele,,,,,,1,,,,,,,1
Traill,,,,,,2,,,1,,,,3
Walsh,,,,,,,,,1,,,,1
Ward,,,,,,1,2,3,,,,,6
Wells,,,,,,,1,,,,,,1
Williams,,,,,,1,,,,,,,1
Total,1,3,3,8,11,25,17,19,19,14,4,2,126
