County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,,,,2,1,1,2,,1,1,,8
Antelope,,,,,,,,,1,,,,1
Arthur,,,,1,,,,,,,,,1
Boone,,,,,,,,,,,1,,1
Box Butte,,,,,,,,1,,,,,1
Buffalo,,,1,4,,2,2,1,4,2,1,,17
Burt,,,,,,2,2,,1,,,,5
Butler,,,,,,,,1,1,1,1,,4
Cass,,1,,1,,,1,,1,2,,,6
Cherry,,,,,,2,,,,,,,2
Cheyenne,,,,,,1,,1,,1,,,3
Clay,,,,,1,1,,,,,,,2
Colfax,,,,,,,,,1,,,,1
Cuming,,,1,,,1,,,1,,,,3
Custer,,,,1,1,,,,,,,,2
Dakota,,,,,,1,1,1,,,,,3
Dawes,,,,,,1,,,1,,,,2
Dawson,,,,,,,,1,,,,,1
Dixon,,,,,,1,,,,,1,,2
Dodge,,,,,1,1,1,1,1,1,1,,7
Douglas,2,2,7,14,7,16,7,5,15,15,6,2,98
Fillmore,,,,,,1,,,,,,,1
Franklin,,,,,,,,1,,,,,1
Frontier,,,,,,2,1,,,,,,3
Furnas,,,,,,,1,,,,,,1
Gage,,,,,,1,,,,1,,,2
Garfield,,,,1,,1,1,,,1,,,4
Gosper,,,,,,,1,,,,,,1
Hall,,1,1,2,2,3,2,3,,3,,,17
Hamilton,,,,,,1,1,,1,1,,,4
Harlan,,,,,,,1,,,,,,1
Hitchcock,,,,,,,1,,,,,,1
Holt,,,1,,,1,,,1,,,,3
Jefferson,,,,1,,2,,,,,,,3
Johnson,,,,,,,,1,,1,,,2
Kearney,,,,,1,,,,2,,,1,4
Keith,,,,,1,,2,,1,,,,4
Lancaster,2,1,2,6,5,4,2,9,7,9,3,4,54
Lincoln,,1,2,4,2,1,,1,,1,,,12
Madison,,1,,,,2,,,1,2,1,,7
Merrick,,,,,,,1,,,1,,,2
Morrill,1,,,,,1,1,1,1,2,,,7
Nance,,,,,,1,1,,,,,,2
Nemaha,,,,,,,1,,,,,,1
Otoe,,,,1,,2,,1,1,,1,,6
Pawnee,,,,,,,,,,1,,,1
Phelps,,,,,,1,,,,,,,1
Platte,,,,1,,,1,,,1,,,3
Polk,,,,,,1,,,,,,,1
Red Willow,,,,,,,1,,,,,,1
Richardson,,,,,,,1,,1,1,1,,4
Saline,,,,,,1,,,,,,,1
Sarpy,2,2,2,2,2,5,1,2,1,2,1,2,24
Saunders,,1,,4,4,1,1,1,,3,1,1,17
Scotts Bluff,,,,,1,1,,1,1,1,,,5
Seward,,,,2,,,,1,,,,,3
Sherman,,,,,,,,,1,,,,1
Thomas,,,,,1,,1,,,,,,2
Thurston,,,,,,,,,,,1,,1
Valley,,,,,,,,1,,1,,,2
Washington,,,,,,1,1,,2,1,,,5
Webster,,,,,,,1,,,,,,1
York,,,,,1,,2,,,1,,,4
Total,7,10,17,45,32,64,42,37,48,57,21,10,390
