County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Baker,,,,,1,1,,,1,,1,,4
Benton,,2,2,5,8,7,3,1,2,6,3,1,40
Clackamas,3,1,2,2,11,5,8,5,4,6,7,2,56
Clatsop,,,,,1,2,1,,3,1,1,,9
Columbia,,,,3,,1,1,,,1,,2,8
Coos,1,1,1,1,2,,2,2,2,2,1,1,16
Crook,,,,,2,1,,,,,1,,4
Curry,,,1,,,,,1,,,,,2
Deschutes,2,3,4,6,8,12,9,8,9,8,2,1,72
Douglas,,1,3,1,3,4,2,1,1,2,,1,19
Grant,,,,,,,,,,,1,,1
Harney,,,,,,1,,1,,,,,2
Hood River,1,,,2,3,2,,4,3,2,,,17
Jackson,1,4,3,3,7,8,11,9,5,5,4,3,63
Jefferson,1,,,,,,1,,3,1,1,1,8
Josephine,,,1,,,1,,1,1,1,,,5
Klamath,,2,,,1,1,,1,7,3,1,2,18
Lake,,,,,,,,1,,,,,1
Lane,3,4,6,10,16,11,7,8,11,7,6,5,94
Lincoln,2,2,3,2,9,3,6,1,4,7,1,1,41
Linn,1,2,1,3,7,3,2,2,5,5,2,3,36
Malheur,,,1,,,1,2,,,,,,4
Marion,4,3,6,4,11,10,11,14,10,9,5,5,92
Morrow,,,,,,,,,,1,,,1
Multnomah,1,4,2,6,17,15,11,19,25,17,10,4,131
Polk,,,,2,,1,3,,1,,1,,8
Tillamook,,2,2,,,1,1,2,,1,,,9
Umatilla,,,1,,3,1,1,1,1,4,1,,13
Union,,,,,1,1,,1,,1,,,4
Wallowa,,,,,,1,1,,1,,,,3
Wasco,1,1,1,1,2,1,2,3,2,1,,,15
Washington,3,4,3,9,13,10,13,11,7,10,3,2,88
Wheeler,,,,,1,,,,1,,,,2
Yamhill,,,,2,6,4,4,3,6,2,,,27
Total,24,36,43,62,133,109,102,100,115,103,52,34,913
