County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Beadle,,,,,,1,,1,,,,,2
Bon Homme,,,,,1,,,,,,,,1
Brookings,,,,2,2,1,1,1,2,3,1,,13
Brown,,,,,2,,1,,1,,1,,5
Brule,,,,,,1,,,,,,,1
Butte,,,1,,,,1,1,2,,,,5
Clay,,,,,,,,,2,,,,2
Codington,,,1,,,1,,1,1,,,,4
Custer,,,,,,1,,1,1,1,,,4
Deuel,,,,,,,1,,,,,,1
Fall River,,,,,,,1,,1,,,,2
Grant,,,,,,1,,,,,,,1
Hamlin,,,,,,,1,,1,,,,2
Harding,,,,,,,,,1,,,,1
Hughes,,,,,,,,1,,,,,1
Hutchinson,,,,,,,1,,,,,,1
Kingsbury,,,,,,1,1,,,,,,2
Lake,,,,,,1,,,,,,,1
Lawrence,,,,1,3,2,2,3,1,,,1,13
Lincoln,,,,,,2,1,2,1,,,,6
Marshall,,,,,,1,,,,,,,1
McCook,,,,,,1,,,,,,,1
Meade,,,,,1,1,1,,,,,,3
Minnehaha,,,,4,3,6,,3,4,3,2,,25
Moody,,,,,,,,2,,1,,,3
Pennington,,2,1,2,5,3,3,1,4,3,2,,26
Potter,,,,,1,,,,,,,,1
Turner,,,,,,1,,,,,,,1
Union,1,,,,,1,1,2,2,,,,7
Yankton,,,,2,,,,,,,,,2
Total,1,2,3,11,18,26,16,19,24,11,6,1,138
