County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Anderson,1,,,1,2,1,1,3,,2,2,,13
Bedford,,,3,1,4,1,,,2,1,2,,14
Benton,,,,,,,,,,,1,,1
Bledsoe,,1,1,,1,,,2,,,,,5
Blount,2,,,3,5,1,,2,3,5,4,1,26
Bradley,1,,2,6,2,1,,,,4,4,1,21
Campbell,,,,,,1,,,1,1,,1,4
Cannon,,,1,,,,,,,1,,,2
Carroll,,,,1,1,,,,,,1,,3
Carter,,,,1,,1,1,,,4,,,7
Cheatham,,1,2,1,,,,,,1,,,5
Claiborne,,,,,,1,,,,,,,1
Clay,,,,,,,,,1,,,,1
Cocke,,1,,1,,,1,1,,2,,,6
Coffee,,,2,2,2,,,,2,3,2,1,14
Crockett,,,,1,1,,,,,,,,2
Cumberland,1,,2,,1,1,,,1,3,1,,10
Davidson,3,3,9,7,14,5,9,6,11,17,15,5,104
Decatur,,,,,,,,,,1,,,1
DeKalb,,,,1,1,,1,,,,,,3
Dickson,,,,2,2,1,,1,,4,1,1,12
Dyer,,,2,1,,,,,,1,1,,5
Fayette,1,,1,,,,,,1,,,,3
Fentress,,,,,1,,1,1,1,,1,,5
Franklin,1,1,,1,,,2,,2,1,1,1,10
Gibson,,,,,,,,1,,,,1,2
Giles,,,,,,,,,,3,,,3
Grainger,,,1,1,,,1,,,,,,3
Greene,,,,,2,1,2,1,1,,,,7
Hamblen,,1,,,2,,1,1,1,2,2,1,11
Hamilton,1,4,9,5,13,9,3,9,12,16,7,6,94
Hardin,,,,,,,,,2,,,,2
Hawkins,1,1,2,1,1,2,1,1,,,,,10
Henderson,,,,1,,,,,,1,,,2
Henry,,,,,,1,1,,1,1,,1,5
Hickman,,,,,,,,,,1,1,,2
Houston,1,,1,,1,,,,1,,1,,5
Humphreys,1,,,,,,,,,,1,,2
Jackson,,,,,1,,,,1,,,,2
Jefferson,,1,,,1,1,,1,,,,,4
Johnson,,,,,,,,,1,,,,1
Knox,3,2,9,7,13,9,8,6,9,13,3,6,88
Lauderdale,,,,1,1,,,,,,,,2
Lawrence,,,,1,,,,1,,2,1,1,6
Lewis,,,,,,,,,,1,,,1
Lincoln,,,,,1,1,,,2,1,1,,6
Loudon,1,,,1,2,4,,2,2,4,,,16
Macon,,,,,,,,,1,,,1,2
Madison,,2,,4,1,,,,,5,4,,16
Marion,,,,1,,,,1,1,,1,,4
Marshall,,,,,3,,,,2,2,1,,8
Maury,,,3,1,1,,,,3,5,1,1,15
McMinn,,,,,,1,,1,1,,,,3
McNairy,1,,2,,,,,,,2,,,5
Meigs,,,,,1,,,,,1,,,2
Monroe,,,,1,,,2,1,2,1,,,7
Montgomery,1,,3,4,2,1,,4,4,4,2,4,29
Moore,,,,1,,,,,,1,,,2
Morgan,,,,,1,,,,1,,,,2
Obion,,,,,,,,,,,1,,1
Overton,,,,,1,,1,,,,1,,3
Putnam,1,2,3,3,4,,3,2,2,3,2,,25
Rhea,,,,,,,,1,1,2,1,1,6
Roane,,,,1,2,,1,1,,1,1,1,8
Robertson,,,,1,2,1,1,,1,3,2,1,12
Rutherford,,,2,3,4,2,2,4,5,7,4,,33
Sequatchie,,,,,1,,,,,,1,,2
Sevier,,1,2,3,3,2,3,3,3,3,3,1,27
Shelby,7,5,7,13,11,12,5,5,8,9,11,4,97
Smith,,,,,1,,,1,1,1,2,,6
Sullivan,,2,,3,6,2,4,3,11,8,6,2,47
Sumner,1,,5,6,3,2,1,2,1,6,5,,32
Tipton,,,1,1,,,,,1,,,,3
Trousdale,,,,,,,,,1,,,,1
Unicoi,,,,1,,,,,,2,,,3
Union,,1,,,,,,,,,,,1
Warren,1,,1,,3,,,2,,3,,,10
Washington,,,5,6,5,3,,5,,4,5,3,36
Wayne,,,,,,1,,,,,,,1
Weakley,,,1,1,,,,,1,1,,,4
Williamson,,,1,3,5,2,2,3,4,4,5,1,30
Wilson,1,1,2,5,3,2,1,1,4,3,2,1,26
Total,31,30,85,110,138,73,59,79,117,177,114,48,1061
