County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Beaver,,,,,,,,2,1,,,,3
Box Elder,,,,1,1,,1,,,,,,3
Cache,,,2,3,5,3,4,4,4,4,1,2,32
Carbon,,,,,,2,,2,1,,1,,6
Daggett,,,,,,,,1,,,,,1
Davis,,1,2,3,5,5,6,9,7,17,6,,61
Duchesne,,,,,,,2,2,1,,,,5
Emery,,,,,,,1,1,,1,,,3
Garfield,,,,,,3,1,1,,1,,,6
Grand,,1,3,3,2,2,1,,,2,2,1,17
Iron,,,,1,2,3,,2,3,1,,,12
Juab,,,,,,1,1,1,1,1,,,5
Kane,,,,,2,,,1,2,,,,5
Millard,,1,,,,,,,,,,,1
Morgan,,,,,,1,1,1,,,,,3
Rich,,,,,,,,,2,,,,2
Salt Lake,6,7,13,22,34,23,17,22,17,23,11,2,197
San Juan,,,2,,1,,1,,,1,,1,6
Sanpete,,,,,2,1,,,1,,,,4
Sevier,,,,1,,,,1,,,,,2
Summit,,,,,3,2,3,3,6,4,1,,22
Tooele,,,,2,1,2,1,,1,2,,,9
Uintah,,,1,,2,1,,,2,,,,6
Utah,1,1,8,12,12,13,10,19,17,7,8,2,110
Wasatch,1,1,,,1,2,1,1,3,4,1,,15
Washington,2,4,5,6,5,1,2,,5,8,6,4,48
Wayne,,,,,,1,,,1,,,,2
Weber,,2,3,5,8,3,1,7,6,4,2,,41
Total,10,18,39,59,86,69,54,80,81,80,39,12,627
