County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Addison,,,,1,2,2,4,3,3,2,1,,18
Bennington,2,,,,2,2,2,1,1,1,1,,12
Caledonia,,,,,3,,,1,,2,,,6
Chittenden,1,1,3,3,9,10,8,9,11,21,5,1,82
Franklin,,1,,2,2,4,7,8,1,1,,,26
Grand Isle,,,,,,1,3,,,1,,,5
Lamoille,,,,,2,1,3,3,2,,2,,13
Orange,1,,,,1,2,,1,1,2,1,,9
Orleans,1,,,,1,,5,4,2,2,,1,16
Rutland,,1,2,1,8,6,4,5,3,4,3,,37
Washington,,1,,,5,3,4,1,5,6,3,1,29
Windham,,,,1,3,4,3,1,5,3,1,1,22
Windsor,,,1,,6,5,3,1,2,3,4,,25
Total,5,4,6,8,44,40,46,38,36,48,21,4,300
