County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,,,,,,1,,,,1,,2
Asotin,,,2,,,1,,,,1,1,1,6
Benton,,1,4,4,1,,2,3,2,2,2,,21
Chelan,1,,,1,2,2,3,1,2,3,1,,16
Clallam,,,,1,1,1,,,2,1,1,,7
Clark,5,5,5,7,14,7,7,8,5,3,4,1,71
Cowlitz,,1,1,2,,,1,2,,1,,,8
Duval,,,1,,,1,,,,,,,2
Ferry,,,,,,1,,,1,,,,2
Franklin,,,,,3,1,5,2,1,,,1,13
Grant,,,1,2,3,4,,1,3,,1,,15
Grays Harbor,,,,1,1,1,2,1,2,,,1,9
Island,,1,2,7,,3,1,2,1,3,,2,22
Jefferson,,,,,1,,1,,1,,1,,4
King,16,14,26,31,40,42,41,36,46,32,34,13,371
Kitsap,,,,2,,1,2,1,3,1,1,2,13
Kittitas,,,,4,1,1,7,3,1,2,2,,21
Klickitat,,,,1,1,1,1,,,,1,,5
Lewis,,,,,1,,,,1,1,1,,4
Lincoln,,,,1,,,,,2,,,,3
Mason,,,,,2,1,,1,,1,,1,6
Okanogan,1,,,1,4,,,3,3,1,,,13
Pacific,,,,1,,2,1,,,,,,4
Pend Oreille,,,,,,1,,,2,,,,3
Pierce,5,3,10,6,10,8,14,8,13,11,7,5,100
San Juan,1,1,,1,,1,2,1,2,,,,9
Skagit,1,1,2,3,3,3,3,2,2,2,2,2,26
Skamania,1,,,1,,1,,1,2,1,1,1,9
Snohomish,1,3,3,5,8,4,9,11,4,11,1,4,64
Spokane,1,,5,6,9,6,11,9,15,10,4,1,77
Stevens,,,,,1,1,2,1,,,,,5
Thurston,2,2,4,1,5,7,6,3,6,8,4,2,50
Walla Walla,,,1,,2,,,,2,2,,,7
Whatcom,2,4,4,7,5,14,7,14,8,5,3,5,78
Whitman,1,,1,2,1,2,1,1,1,2,,1,13
Yakima,2,1,,3,5,2,3,,1,5,1,2,25
Total,40,37,72,101,124,120,133,115,134,109,74,45,1104
