County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Barbour,,,,,,,,1,,,,,1
Berkeley,,,,2,,,,,1,1,3,1,8
Boone,,,1,,,,,,,1,,,2
Braxton,,,,,,,1,,,,,,1
Cabell,,,,3,3,4,2,2,1,9,3,1,28
Calhoun,,,,,,,1,1,,,,,2
Doddridge,,,,,,,,,1,,,,1
Fayette,,,,1,2,,1,3,,4,1,,12
Greenbrier,,,1,1,,,1,1,1,1,,,6
Hampshire,,,,,1,,,,1,,,,2
Hancock,,,,,1,,1,,1,,,,3
Hardy,,,,,,,,,1,1,,,2
Harrison,,,,1,2,3,2,2,,3,1,,14
Jackson,,,,,,,,,1,,,,1
Jefferson,,,1,2,3,1,,,2,2,1,,12
Kanawha,2,,3,3,8,1,3,3,2,5,2,1,33
Lewis,,,,1,,,,1,,1,,,3
Lincoln,,,,1,,,,,,,,,1
Marion,1,,,1,2,,1,1,,2,,,8
Marshall,,,1,1,,,1,1,,2,,,6
Mercer,,,,,,1,,,,2,1,1,5
Mineral,,,,,,,,,1,,,,1
Mingo,,,,,1,,,,,,,,1
Monongalia,,,2,3,3,4,1,5,1,9,2,1,31
Morgan,,,,,,1,1,,,,1,,3
Nicholas,,,,,,,1,,1,,,,2
Ohio,,,,1,3,2,2,2,1,2,2,,15
Pendleton,,,,,,,,,,4,,,4
Pocahontas,,,,,,,,,,,1,,1
Preston,,,,,1,,,3,,,,1,5
Putnam,,,1,,1,,,2,1,2,,,7
Raleigh,,,,,,,,,1,1,,,2
Randolph,,,,1,,,1,1,2,1,,,6
Summers,,,,,1,,,,,1,,,2
Taylor,,,,,,,,,,,1,,1
Tucker,1,,,,,1,,,1,,,,3
Upshur,,,,,1,,,1,,,,,2
Wayne,1,,,,,,,,1,,,,2
Webster,,,,,,,,,1,,,,1
Wood,,1,1,,1,,,2,,,1,1,7
Wyoming,,,,,,,1,,,,,,1
Total,5,1,11,22,34,18,21,32,23,54,20,7,248
