County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Albany,,,,4,4,1,2,2,2,1,,,16
Big Horn,,,,,,,1,,,,,,1
Campbell,,,,,2,,,,,,,,2
Carbon,,,,,,1,1,1,,,,,3
Converse,,,,,,,,1,,,,,1
Crook,,,,,,,,,1,,,,1
Freemont,,,1,,,,2,1,,,,,4
Fremont,,,,1,1,3,1,,,,,,6
Goshen,,,,,,,1,,,,,,1
Johnson,,,,,,1,1,,,,,,2
Laramie,,,,,3,5,4,3,3,,2,,20
Lawrence,,,,,,,,,1,,,,1
Lincoln,,,,,1,1,1,1,,,,,4
Natrona,2,1,3,2,5,5,3,3,1,4,2,,31
Park,,,,,2,2,1,2,,2,2,,11
Platte,,,,,,,,2,,2,,,4
Sheridan,,,1,,,2,1,,2,1,,,7
Sublette,,,,,,1,,,1,,,,2
Sweetwater,,,,,1,,,2,,,,,3
Teton,,,,,1,4,,3,2,,1,,11
Uinta,,,,,,,2,1,1,,,,4
Washakie,,,,,2,1,,1,,,,,4
Weston,,,,,1,1,,,,,,,2
Total,2,1,5,7,23,28,21,23,14,10,7,,141
