Top 50 of 116
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
duathlon,,,2,2,1,,,1,1,,1,,8
fun run,1,1,2,5,1,,1,1,2,1,1,,16
kids run,1,2,4,5,8,2,,3,3,14,4,3,49
mud run,,,1,,1,,,,,,,,2
triathlon,,,1,1,5,4,4,5,4,1,,,25
walk,,,1,,,,,,,2,1,,4
youth triathlon,,,1,,1,2,,1,,1,,,6
1M fun run,3,8,16,18,15,5,6,13,14,20,11,8,137
1M novelty run,,,,1,,,1,,,1,,,3
1M run,2,4,10,11,15,11,5,6,5,6,10,5,90
1M trail run,,1,,,,1,,,,1,,,3
1M walk,1,3,2,11,6,5,2,2,8,7,6,4,57
1.5M walk,,,,1,,,,,,1,,,2
2M fun run,,,1,1,,,,,,,,,2
2M run,1,1,1,,1,5,4,1,,1,2,1,18
2M walk,,,2,1,,,,,,1,1,,5
3M run,,,1,,,5,4,1,,,1,,12
5K fun run,,1,1,1,,,1,,1,,,,5
5K mud run,,,1,,2,2,,,,,,,5
5K novelty run,2,1,6,7,8,3,1,3,2,7,2,,42
5K obstacle run,,,2,1,,,,,1,,,,4
5K race walk,,,1,1,,,,,,,,,2
5K run,15,33,60,83,67,29,17,37,41,71,52,28,533
5K trail run,,1,1,1,3,3,2,2,,3,3,2,21
5K walk,2,5,17,14,12,5,1,6,10,20,8,8,108
4M run,1,1,,,,,,,,,,1,3
4M trail run,2,,,,,,,,1,1,,,4
7K run,,,1,,,,,1,,,,,2
5M run,,,2,,1,1,,,,,,,4
5M trail run,,1,,,,,,,,1,,1,3
8K obstacle run,,,,1,,,,,1,,,,2
8K run,,1,2,3,3,2,,,2,3,1,1,18
6M trail run,,,,1,1,,,,,,,,2
10K run,2,6,10,12,11,4,,,4,10,11,2,72
10K trail run,,1,1,1,3,1,,,,1,1,,9
10K walk,,,2,,,,,,,,1,,3
10.5K run,,,,1,1,,,,,,1,,3
10.5K walk,,,,1,,,,,,,1,,2
9M trail run,,,,,,,1,,1,,,,2
15K run,,,2,2,,1,,,,2,,,7
15K trail run,1,,,,,,,,1,,,,2
10M run,1,1,1,,1,,,,,1,2,,7
10M trail run,,,,,,1,,,,1,,1,3
21K trail run,,,,,1,,,,,1,,,2
13.1M run,5,3,4,6,,,,,1,3,3,2,27
25K trail run,1,1,1,,,,,,,,1,,4
17M trail run,,,,,,,,,2,,,,2
26.2M run,2,1,1,,,,,,,1,,1,6
50K trail run,2,2,,,1,,,,,,2,1,8
50M trail run,,,1,,,,,,,,1,,2
Total,45,79,162,193,169,92,50,83,105,183,128,69,1358
