Top 50 of 91
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1H run,1,,,,,,,,,,,,1
aquathon,,,,,,,,1,,,,,1
duathlon,,,2,,3,,,3,1,1,,,10
fun run,,,,,2,1,,1,1,,,,5
kids run,,2,,3,3,,,4,5,5,6,,28
relay,,,,,,,,,1,,,,1
run,,,,,,,,,,3,1,,4
trail run,,,,,,,,,,,1,,1
triathlon,,,,,3,6,3,4,4,2,,,22
walk,,,1,1,,,,,1,2,,,5
youth triathlon,,,,,1,,1,2,,,,,4
1K fun run,,,,1,,,,,1,,,,2
1K run,,,1,,,,,,,,1,,2
1M fun run,,,3,7,4,2,,3,5,6,3,,33
1M novelty run,,,1,,,,,,,1,1,,3
1M run,,,2,3,,1,,,,2,,,8
1M walk,,,,4,4,1,1,,5,3,3,,21
2K walk,,,,,,,,1,,1,,,2
2.5K walk,,,,,,1,,,,,,,1
2M fun run,,,,1,,,,,,1,,,2
2M run,1,,2,,2,1,,,1,,,,7
2M walk,,,1,1,2,1,,,1,,,,6
3M trail run,,,,,,,,,,,,1,1
3M walk,,,,,,,,,,,1,,1
5K fun run,,,1,2,,,1,,,3,,,7
5K mud run,,,,1,,,,,,1,,,2
5K novelty run,,,,2,3,2,2,1,3,,2,,15
5K run,1,4,16,38,38,14,2,12,28,45,24,8,230
5K trail run,,,,3,,,,,2,1,1,1,8
5K walk,1,,7,16,19,7,2,7,14,13,13,5,104
4M run,1,,,,,,1,1,,,1,,4
4M trail run,,,1,,,,,,,,1,,2
10K run,,1,4,4,8,3,,2,2,9,9,,42
10K trail run,1,,,2,,1,,,,1,1,1,7
10K walk,,,,2,,1,,,,,3,,6
15K run,,,,,,1,,,,1,,,2
15K trail run,1,1,,,,,,,,,,,2
16K trail run,,,,1,,,,,,1,,,2
20K trail run,,,1,1,,,,,,,1,,3
13.1M relay,,,,1,,,,,1,,,1,3
13.1M run,,1,2,7,,,,,3,3,6,2,24
25K run,,,,,,,1,,,,,,1
25K trail run,2,1,,,,1,,,,,,1,5
26.2M run,,1,1,3,,,,,,1,2,1,9
26.2M trail run,1,,,,,,,,,,,1,2
26.2M walk,,,,,,,,,,,1,,1
50K trail run,,1,1,1,,1,,,,,,,4
50M trail run,,,1,1,,,,,,,,,2
100K run,,1,,,,,,,,,,,1
161M relay,,,,1,,,,,,,,,1
Total,10,13,48,107,92,45,14,42,79,106,82,22,660
