Top 50 of 168
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,1,4,6,3,2,2,2,2,2,2,2,1,29
aquathon,,1,,3,2,,,,1,,2,,9
duathlon,,2,2,2,4,2,2,,4,5,1,,24
indoor triathlon,2,,,2,,,,1,,,,,5
kids run,6,8,9,8,3,1,5,3,3,11,21,9,87
mud run,,,1,1,,,1,1,,1,,,5
triathlon,,1,8,4,10,6,5,4,7,11,6,1,63
youth triathlon,,,1,2,2,2,1,1,3,2,1,,15
1K fun run,,,,,,,,,,1,,2,3
1K walk,,,3,,1,,,,,,,,4
1M fun run,6,3,3,3,2,,1,,2,6,14,3,43
1M run,1,3,5,3,3,,2,,2,1,5,,25
1M walk,2,4,10,2,3,,1,,2,3,7,1,35
2K walk,,1,2,,,1,,1,,1,,,6
2M fun run,,1,,,1,,1,,3,,1,1,8
2M run,,1,3,1,1,2,1,1,1,1,,,12
2M walk,,1,2,,2,2,1,,3,2,,1,14
3M mud run,,1,,,,,1,,,1,1,,4
3M run,,,2,,1,,,,1,,,1,5
5K fun run,2,2,4,,1,,,1,,3,2,2,17
5K mud run,,,,1,,1,,1,,1,,,4
5K novelty run,1,2,3,5,8,1,,2,3,5,4,1,35
5K run,23,30,45,38,25,11,12,14,25,42,55,25,345
5K trail run,,1,2,1,2,1,1,1,1,,2,1,13
5K walk,11,9,17,14,9,4,6,2,7,17,15,7,118
6K walk,,,1,,,,,,,,,2,3
4M run,,1,4,,2,1,2,,3,1,1,2,17
4M trail run,3,,,,,,,,,,,,3
4M walk,,,1,,,,,,2,1,,1,5
7K run,,,,1,,,,,,1,,1,3
7K trail run,1,1,,1,,,,1,,,,,4
5M mud run,,,,,1,,1,,,1,1,,4
5M run,,,,,1,,1,,,1,,,3
8K run,,1,1,,1,,,,,4,1,,8
8K trail run,,1,1,,,,,,,1,1,,4
9K run,,,1,,1,,,,,1,,,3
10K run,10,11,12,10,9,6,4,8,12,12,13,4,111
10K trail run,,,2,,,1,1,,1,1,1,,7
10K walk,2,,1,,2,1,,,,,,,6
15K run,1,,1,,,,,,,1,1,1,5
10.3M trail run,,,,1,,,,,1,1,,,3
20K trail run,2,,,,,,,,,1,,,3
13.1M run,4,6,6,6,3,1,2,2,3,5,7,4,49
13.1M walk,,1,1,,,,,1,,,,,3
30K run,,,,,,,,,,1,1,1,3
26.2M relay,1,1,,,,,,,,,,1,3
26.2M run,3,4,2,1,1,,,,1,1,1,2,16
50K trail run,2,4,1,1,1,,,1,,1,2,1,14
50M trail run,,1,2,1,1,,,,,,1,1,7
100M trail run,1,1,,,1,,,,1,1,,,5
Total,85,108,165,115,106,46,54,48,94,152,170,77,1220
