Top 50 of 135
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
track meet,,,,,,,4,,,,,,4
duathlon,,,1,,5,4,,,,1,,,11
fun run,,,1,1,5,1,1,,1,1,,,11
indoor triathlon,1,,4,,,,,,,,,,5
kids run,1,,11,20,22,24,16,14,31,61,13,2,215
trail run,,,,,,5,4,4,1,,,,14
triathlon,,1,,1,2,13,13,9,3,,,,42
walk,,,1,,2,,,,1,,2,,6
youth triathlon,,,,,,4,3,1,1,,,,9
1M fun run,,,2,2,1,2,1,1,4,3,4,,20
1M run,,,,2,8,5,8,5,2,2,,,32
1M walk,,,1,,3,,,3,6,8,1,,22
2K run,,,,,,,4,4,,1,,,9
1.5M fun run,,,,1,,,,,1,1,,,3
1.5M walk,,,,1,1,,,,,2,,,4
3K run,,,,,,,4,4,,1,,,9
3K walk,,,1,2,,,,,,1,1,,5
2M run,,1,1,,2,1,,,,,,,5
2M walk,,,3,5,4,7,1,1,3,10,4,1,39
2.3M run,,,,,,1,6,1,,,,,8
2.4M run,,2,,1,,1,,,1,,1,1,7
4K run,,,,,1,,4,4,,,,,9
4K walk,,,,,1,1,,,,1,,,3
2.6M run,,,,,1,,2,3,,,,,6
3M run,,,1,1,3,1,,1,1,,1,,9
3M walk,,2,,,1,1,,,,,,,4
5K fun run,,,,,1,3,,,,1,,,5
5K novelty run,,,,,2,3,,1,1,1,1,,9
5K obstacle run,,,,,1,1,,,1,2,,,5
5K run,5,3,23,42,67,45,31,35,60,80,45,12,448
5K trail run,,,,2,2,4,,,3,4,,,15
5K walk,,,6,12,25,15,9,10,31,30,15,4,157
3.3M run,,,,,1,,,,,2,,,3
3.5M run,,,2,1,,1,,,2,3,,1,10
3.5M trail run,,,,1,,,,,,2,,,3
3.7M run,,,,1,1,,,1,,,,,3
4M run,1,1,1,3,1,,3,,,,2,,12
4.2M run,,,,1,2,1,,,,,,,4
5M run,1,1,3,,2,2,3,3,4,3,4,,26
5M walk,,,,,1,,1,1,,1,,,4
8K run,,,1,,,,,,1,,1,,3
10K run,1,,2,4,9,5,,3,9,6,1,,40
10K trail run,,,1,2,1,3,,1,3,,,,11
6.6M run,,,,2,,1,,,,1,,,4
10M run,,,,,,,,1,1,,,1,3
20K run,,1,2,,,,,,2,,,,5
20K trail run,,,,,1,,,,2,,,,3
13.1M run,,2,2,5,6,3,,1,3,5,1,1,29
26.2M run,,1,1,,3,,,,,1,,1,7
50K trail run,,,1,,1,,,1,1,,,,4
Total,10,15,72,113,189,158,118,113,180,235,97,24,1324
