Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,2,,,,,,,,,2
kids run,,,2,2,2,,,,2,4,,,12
novelty run,,,1,,,,,,,,,,1
triathlon,,,1,,,,,,1,,,,2
walk,,,,,1,,,,,,,,1
1K fun run,,,,,1,,,,,,,,1
1K run,,,,,1,,,,,,,,1
1.5K run,1,1,1,1,1,1,1,1,1,1,,1,11
1M fun run,,,,,1,,,,,1,1,,3
1M run,,1,,,,,,,,3,1,,5
1M walk,,,,,1,,,,,1,2,,4
2K walk,,,,1,,1,,,,2,,,4
1.5M run,,1,,,,,,,,,,,1
2.5K walk,,,,,,,,,1,,,,1
3K run,1,2,1,1,2,1,1,1,1,2,1,1,15
3K walk,,,,,1,1,,,,,,,2
2M walk,,,,,,,,,,1,,,1
2.3M walk,,,,,,,,,,,1,,1
4K fun run,,,,,,,,,,1,,,1
4K run,,,,,,,,,,,1,,1
3M run,,,,,1,,,,,,,,1
5K fun run,,,,,,1,,,3,,1,,5
5K novelty run,,,,1,3,1,,,1,1,,,7
5K obstacle run,,,,,,,,,1,,,,1
5K run,3,3,11,7,17,4,1,3,11,21,9,6,96
5K walk,,1,4,1,6,2,,,9,12,5,,40
6K run,,,,,,,,,,,1,,1
4M adventure race,,,,,,,,,,1,,,1
4M run,,,,,,1,1,,,,,,2
5M run,,,1,,1,,,,1,,,,3
8K run,,,,,,1,,,1,,1,,3
10K run,,2,2,,1,1,,,,7,4,1,18
12K run,,,,,,,,,,,,1,1
15K run,,,,,,,,,,1,,,1
15K walk,,,,,,,,,,1,,,1
10M run,,,,3,1,,,1,1,1,1,,8
10M trail run,,,,,,,,,1,,1,,2
20K run,1,,,,,,,,,,,,1
13.1M run,,,1,,,,,,2,,1,,4
13.1M trail run,,,,,,,,,,,1,,1
20M trail run,,,,,,,,,1,,,,1
26.2M run,,,1,,,,,,1,,,,2
26.2M trail run,,,,,,,,,,,1,,1
50K trail run,,,,,,,,,,,1,,1
Total,6,11,26,19,41,15,4,6,39,61,34,10,272
