Top 50 of 53
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
12H adventure race,,,,,,,,1,,,,,1
adventure race,,1,,,,,,,,,,,1
aquathon,,,,,,,1,1,,,,,2
duathlon,,,,1,,2,,1,2,,,,6
fun run,,,,1,,,,,,,,,1
indoor triathlon,,,1,,,,,,,,,,1
kids run,,,,8,6,,,1,3,11,1,,30
stair climb,,,,,,,,,,1,,,1
triathlon,,,,,,3,,1,3,,,,7
youth triathlon,,,,,,1,,,,,,,1
1K fun run,,,,,,1,,,,1,,,2
1M fun run,1,,1,,,,,,,,,,2
1M run,,,,4,4,1,,1,2,5,,,17
1M walk,,,,1,3,1,1,1,2,3,1,1,14
1.1M run,,,,,,,,,,,1,,1
1.2M fun run,,,,,1,,,,,,,,1
1.5M run,,,,,,1,,,,,,,1
1.5M walk,,,,,,,,,,1,,,1
3K walk,,,,,1,,,,,,,,1
2M run,,,,,1,,,,,,,,1
2M walk,1,,,1,1,,,,,,,,3
2.2M walk,,,,,,,,,,,1,,1
2.8M novelty run,,,,,,1,,,,,,,1
3M run,,,1,,,,,,,,,,1
3M walk,,,,,,,,,,1,,,1
5K fun run,,,,,,,,,,1,,,1
5K novelty run,,,,1,,1,,,1,,,,3
5K obstacle run,,,,,,,,,,1,,,1
5K race walk,,,,,,,,,,1,,,1
5K run,4,6,19,29,36,25,16,22,29,40,19,6,251
5K trail run,,,2,2,,,,,,,1,,5
5K walk,1,2,6,8,9,8,9,7,10,19,8,2,89
4M run,,,,1,,,,1,,,,,2
5M run,1,,1,,1,,1,,,,,,4
9K run,,,,1,,,,,,,,,1
9K walk,,,,1,,,,,,,,,1
6M run,,,1,,,,,,,,,,1
10K run,1,,1,2,1,1,1,2,1,3,2,,15
10K trail run,,,1,2,1,,,,,,,,4
7M trail run,,,,,,,,,,,1,,1
12K trail run,,,1,,,,,,,,,,1
15K run,,,1,,,,,,,1,,,2
10M run,1,,,,,,,,1,2,,,4
21K trail run,,,,,1,,,,,,,,1
13.1M run,,,1,3,2,,,,,1,1,1,9
13.1M trail run,,,,2,,,,,,,,,2
26.2M relay,,,,,1,,,,,,,,1
26.2M run,,,,1,2,,,,1,1,,1,6
26.2M trail run,,,,2,,,,,,,,,2
50K trail run,,,,1,,,,,,,,,1
Total,10,9,37,72,71,46,29,39,55,93,36,11,508
