Top 50 of 195
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,2,2,2,,,,,,6,2,,14
aquathon,,,1,1,3,1,3,2,1,3,,1,16
duathlon,1,3,3,4,4,4,6,6,3,4,1,3,42
fun run,1,1,3,4,,1,1,1,1,2,6,2,23
kids run,19,22,35,30,29,7,7,8,25,70,50,31,333
mud run,,,1,1,1,,1,,,1,,,5
track meet,,2,,,3,8,4,1,,,,1,19
triathlon,4,3,19,18,24,21,17,15,14,14,9,3,161
walk,1,1,5,2,1,,,,,,1,,11
youth triathlon,,,3,4,10,4,3,1,6,4,,,35
1K fun run,,,1,,1,,,,1,1,2,,6
1K run,1,,,1,,,,2,,1,,1,6
1M fun run,14,12,16,19,20,2,3,4,10,21,21,10,152
1M novelty run,,3,,,1,,,,,2,1,1,8
1M run,12,8,13,14,11,3,2,4,12,16,7,14,116
1M walk,11,11,9,16,6,4,2,3,12,12,13,12,111
2.5K walk,,,,2,,,,,1,1,1,,5
3K run,,1,,1,,1,,,,2,2,2,9
3K walk,,2,,1,1,,,,2,2,1,1,10
2M run,,2,2,3,2,1,3,1,2,2,4,1,23
2M walk,,3,3,7,,1,1,2,5,3,5,,30
3M run,,,1,,,,1,,1,1,1,1,6
5K fun run,4,1,6,7,,1,2,2,4,11,6,3,47
5K mud run,,2,,3,,,,1,2,2,2,,12
5K novelty run,6,15,9,11,9,1,1,1,13,14,11,8,99
5K obstacle run,3,2,2,2,,,2,1,,2,,2,16
5K run,143,194,201,213,183,54,56,60,121,228,238,161,1852
5K trail run,3,8,3,3,2,4,2,5,2,6,10,2,50
5K walk,49,62,68,75,77,19,8,17,52,90,107,53,677
6K run,,2,,1,,,,,,1,2,1,7
4M obstacle run,,,,1,2,,,,,2,,,5
4M run,1,3,4,2,1,1,4,3,2,1,5,1,28
4M walk,1,,1,,1,,1,,,,1,2,7
5M run,4,1,1,,1,,,4,,7,1,5,24
8K run,3,6,3,3,,,,,,1,1,2,19
10K run,22,25,31,23,20,2,3,3,14,27,28,24,222
10K trail run,,5,3,3,2,1,1,1,,3,3,1,23
10K walk,3,3,4,,,,,1,2,4,,1,18
12K run,1,2,1,1,,,,,,,,1,6
15K run,2,2,3,1,1,,,,2,3,5,1,20
10M run,2,,3,1,,,1,1,,5,3,2,18
13.1M run,20,16,15,7,3,2,1,1,1,19,22,15,122
13.1M trail run,4,2,4,2,2,1,1,,,2,4,1,23
26.2M run,9,6,3,1,1,,,,,2,5,9,36
26.2M trail run,1,,2,,1,,,,,,,1,5
50K run,3,2,1,1,,,,,,1,,3,11
50K trail run,1,4,2,3,1,,,,,3,,2,16
50M run,2,1,1,,1,,,,,,,2,7
50M trail run,,2,1,3,2,,,,,,,1,9
100M run,2,1,1,,1,,,,1,,,,6
Total,353,443,490,497,428,144,137,151,312,602,581,388,4526
