Top 50 of 70
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
12H relay,1,,,,,,,,,,,,1
12H run,1,,,,,,,,,,,,1
aquathon,1,1,,1,,,,1,1,,1,,6
duathlon,,,1,,,,,,2,2,,,5
fun run,,,,,1,,,,1,1,,1,4
kids run,2,,2,1,1,,,1,1,1,1,1,11
relay,,1,,,,,,,,,,,1
triathlon,,,2,2,5,2,2,4,2,1,3,,23
1M run,,,1,1,,1,,,2,,1,,6
1M walk,1,,1,1,,,,,,1,,,4
3K run,,,,,,,,1,,1,,,2
3K walk,,,,,,,,1,,,,,1
2M novelty run,,,,,,,,,,1,,,1
2M run,,,,,,,,,,,,1,1
2.5M walk,1,,,,,,,,,,,,1
3M fun run,,,1,,,,,,,,,,1
5K adventure race,,1,,,,,,,,,,,1
5K fun run,1,,1,,,,,,,,1,,3
5K mud run,,,1,,,,,,,,,,1
5K novelty run,1,,1,,,,,,,1,1,,4
5K run,6,1,7,7,6,8,5,5,6,9,6,6,72
5K trail run,,,,,,,1,,2,1,1,1,6
5K walk,1,,1,2,3,3,1,1,2,3,2,1,20
4.4M run,,,,,,,,,1,,,,1
5M run,,1,,,1,,,1,,,,,3
8K run,1,,,,,,3,,1,,,,5
9K run,,,,,1,,,,,,,,1
10K race walk,,,1,,,,,,,,,,1
10K run,5,1,5,3,2,5,3,3,3,4,5,1,40
10K trail run,,,,,,,1,,2,,1,1,5
10K walk,,,1,,,3,,,,,,,4
7M run,,,1,1,,,,,,,,,2
8.1M run,,1,,,,,,,,,,,1
15K run,1,,,,1,,,2,,,,,4
10M run,,,,,,1,1,,,1,1,,4
21K trail run,,,,,,,,,,,,1,1
13.1M relay,,,,,,1,,1,,,,,2
13.1M run,2,,2,1,1,2,,2,2,,2,,14
13.1M trail run,,,,,,,,,1,1,,,2
13.1M walk,,,,,,1,,,,,,,1
25K run,,,,,,,,,,1,,,1
30K run,,,,,,,,,,1,,,1
22M relay,,,,,,,,1,,,,,1
22M run,,,,,,,,1,,,,,1
26.2M run,1,,2,,,1,,,2,,,1,7
26.2M walk,1,,,,,1,,,,,,,2
31M relay,1,,,,,,,,,,,,1
50K run,,,,,,,,,,1,,,1
50M run,,,,,,,1,,,,,,1
100K run,,,,,,,,,,1,,,1
Total,28,7,31,20,22,29,18,25,31,32,26,15,284
