Top 50 of 128
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
duathlon,,,1,,1,1,1,4,,,1,,9
fun run,,,,1,,1,,,1,,1,,4
indoor triathlon,3,1,1,1,,,,,,,,,6
kids run,,,3,10,12,12,16,15,8,12,7,1,96
mud run,,,,,2,,,,,,,,2
obstacle run,,,,,1,,2,,,,,,3
triathlon,,,,,5,7,7,9,5,,,,33
walk,,,,1,,,,,,1,1,,3
youth triathlon,,,,,,1,2,3,1,,,,7
1K fun run,,,,1,1,1,2,1,2,2,1,,11
1K run,,,1,,,,1,,1,,,,3
1M fun run,,,1,3,3,7,,6,2,13,2,,37
1M mud run,,,,,,1,1,,,,,,2
1M run,,,1,2,5,3,3,3,2,5,,1,25
1M walk,,,1,4,7,10,4,3,6,13,3,1,52
1.5M fun run,,,,,,,,,,1,2,,3
1.5M walk,,,,,2,,1,,,1,2,,6
3K run,1,,,,,,,,,1,,,2
2M run,,,,,1,,1,,2,,2,,6
2M walk,,,,1,1,,1,1,1,2,1,,8
2.5M run,,,1,,,,,,,1,1,,3
4K run,,,,,,,1,,,1,1,,3
5K fun run,,,,4,3,6,3,5,3,4,1,2,31
5K mud run,,,,,1,2,,2,2,,,,7
5K novelty run,,,,1,4,5,8,3,2,4,1,,28
5K obstacle run,,,,,1,,,2,2,1,,,6
5K run,5,3,15,39,47,55,39,59,55,56,26,8,407
5K trail run,,,1,,3,1,2,,1,5,,,13
5K walk,2,2,4,24,27,34,25,36,36,39,14,4,247
3.5M walk,,,,,,,1,,,,2,,3
6K run,,,,,,,,2,,1,,,3
4M run,,1,,,2,1,1,,2,2,2,,11
4M trail run,,,,1,,,,,,,1,,2
4M walk,,1,,,1,1,,,,1,2,,6
5M run,,1,,,,,,,2,,4,,7
8K run,,,1,2,,,2,1,,1,1,,8
10K run,,,4,7,16,14,6,13,10,9,2,,81
10K trail run,,,1,,2,2,1,,,2,,,8
10K walk,,,,1,,,,1,1,4,,,7
7M run,,,,,,,1,2,,,,,3
7M trail run,,,,,1,,,,,,1,,2
15K run,,,,,,1,1,,,,,,2
15K trail run,,,,,1,,,,1,1,,,3
10M run,,,,1,,,,,1,1,,,3
13.1M run,1,,1,4,4,5,1,2,6,3,1,,28
13.1M trail run,,,,,,,,,1,1,,,2
26.2M relay,,,,,,2,,,1,1,,,4
26.2M run,1,,,,,3,1,,,1,,,6
50K run,1,,,1,1,,,,,,,,3
50K trail run,,,,,,,,,,2,1,,3
Total,14,9,37,109,155,176,135,173,157,192,84,17,1258
