Top 50 of 158
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,3,2,4,3,3,2,3,,,20
duathlon,,,2,,4,5,4,4,6,2,,,27
fun run,,,1,,,,,5,3,6,1,1,17
indoor triathlon,6,6,3,6,1,,,,,,,,22
kids run,1,1,7,21,48,33,22,25,50,65,30,3,306
mud run,,,,,3,,,1,,,,,4
obstacle run,,,,1,1,,,1,1,,,,4
triathlon,,,,5,6,13,15,15,9,3,,,66
walk,,,,1,1,1,,,2,1,1,1,8
youth triathlon,,,,,2,,1,3,1,,,,7
1M fun run,2,1,4,6,10,17,10,5,22,16,7,,100
1M run,2,,,4,12,10,2,4,6,15,10,3,68
1M walk,,,4,7,22,18,8,5,30,21,6,2,123
2K fun run,,,,,1,,,2,1,,,,4
2K run,,,,2,1,,,2,1,1,,,7
2K walk,,,1,2,2,,,1,1,2,,,9
1.5M walk,1,,,,,1,,1,,2,1,,6
3K fun run,,,,,2,,,2,2,,,,6
3K run,,,2,,,2,1,1,,1,,,7
3K walk,,,1,1,,2,1,3,8,,1,,17
2M run,,,,2,1,2,1,,3,,4,1,14
2M walk,,,,4,8,8,4,3,9,5,2,1,44
2.5M run,1,1,1,1,1,1,1,1,1,1,1,1,12
3M fun run,,1,,1,1,,,1,,,,,4
5K fun run,,,1,3,8,6,2,2,4,9,4,,39
5K mud run,,,,,1,1,1,1,1,,,,5
5K novelty run,1,1,2,10,10,5,5,5,6,14,1,,60
5K obstacle run,,,,1,1,,3,1,2,,,,8
5K run,13,12,51,103,176,130,93,84,229,192,99,33,1215
5K trail run,,,2,4,6,1,1,1,4,7,4,2,32
5K walk,2,4,19,58,105,80,49,43,115,115,51,18,659
4M obstacle run,,,,,1,1,1,,1,,,,4
4M run,,,,2,3,7,4,1,6,1,7,,31
7K run,,,1,,2,,,,2,2,,,7
4.5M run,1,1,1,1,1,1,1,1,1,1,1,1,12
5M run,,1,,,3,3,2,,1,,2,,12
8K run,1,,2,1,1,4,2,,2,2,3,3,21
10K run,1,4,7,17,23,15,14,20,26,20,15,1,163
10K trail run,1,,1,1,2,,1,,1,1,1,1,10
10K walk,,1,,,3,1,,2,2,2,,,11
8M run,,,,1,,,1,,1,2,,,5
15K run,,1,1,1,,2,,,2,,2,1,10
10M run,1,,2,1,3,2,,,1,,3,,13
13.1M run,2,1,5,6,16,4,2,3,19,10,5,,73
13.1M trail run,,,1,1,,,,1,1,2,,,6
26.2M relay,,,1,1,1,,,,1,3,,,7
26.2M run,,,,2,4,1,,,3,6,1,,17
50K run,,,1,1,,,,,,1,,1,4
50K trail run,1,,,,,,,,1,1,1,,4
50M trail run,,,,1,,,,,,3,,,4
Total,37,36,124,283,499,381,255,253,590,538,264,74,3334
