Top 50 of 89
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
aquathon,,,,,,,,1,,,,,1
duathlon,1,1,1,1,3,1,1,,,,,1,10
fun run,,,,1,,,,,2,2,,3,8
kids run,1,1,3,3,7,4,2,5,4,3,3,2,38
relay,,,,1,,,,,,1,,,2
run,,,4,1,,1,,,,,1,,7
triathlon,,,1,4,6,5,1,5,6,4,1,,33
walk,,,,1,,1,,1,,2,,1,6
youth triathlon,,,,,,2,3,2,,1,,,8
1K fun run,,,1,1,,,,,,,,,2
1K walk,,,,,1,,,,,1,,,2
1M fun run,2,5,9,4,4,1,,1,7,11,9,5,58
1M novelty run,,1,,,,,,2,,,,,3
1M run,1,2,7,5,8,2,3,3,2,7,6,3,49
1M walk,,1,5,2,5,1,,3,6,5,6,1,35
2M fun run,,,,,,,,,1,,,1,2
2M run,,,,,,5,5,3,1,1,1,,16
2M walk,,,,,,3,2,,1,1,1,1,9
3M novelty run,,1,,,,,,,,,,,1
3M run,,,2,,,,,1,,1,,,4
3M trail run,1,1,,,1,3,1,,,,1,,8
3M walk,,,,,,,,1,,,,,1
5K fun run,,,,,,,,1,2,,2,1,6
5K mud run,,,,2,,,,,,,,,2
5K novelty run,,3,1,3,3,1,,,3,3,5,,22
5K run,8,15,42,37,41,11,7,13,32,59,40,31,336
5K trail run,1,,,,1,,,,1,,1,,4
5K walk,1,4,8,11,14,2,1,8,13,27,18,9,116
3.5M run,,,,1,,1,,,,,,,2
4M run,,,,,1,1,1,,,2,2,1,8
5M run,,,,,1,1,,,,1,3,,6
5M trail run,,,,,,,,1,,,1,,2
9K run,1,,,,,,,,,,,,1
10K run,,7,8,3,3,,,,2,2,3,1,29
10K trail run,1,,,,,,,,,,1,1,3
10K walk,,1,1,,,,,,,,2,,4
7M run,,,,,,,,,,1,,,1
8M novelty run,,1,,,,,,,,,,,1
15K run,,1,1,,,,,,,1,,,3
10M run,,,,,,1,,,,1,2,2,6
10M trail run,1,,,,1,,,,,,1,,3
10M walk,,,,,,,,,,,1,1,2
13.1M relay,,1,,,,,,,,,1,,2
13.1M run,1,4,2,2,,,,,,2,5,5,21
13.1M trail run,,1,,,,,,,,,,1,2
13.1M walk,,,,,,,,,,1,,1,2
14M run,,,,,,,,,,1,,,1
20M trail run,,,,,,,,,,,1,1,2
26.2M run,1,2,1,1,,,,,,,1,1,7
50M trail run,1,1,,,,,,,,,,,2
Total,22,54,97,84,100,47,27,51,83,141,119,74,899
