Top 50 of 163
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,1,1,1,1,1,,1,1,,,7
duathlon,,,,2,5,1,1,1,,3,,,13
fun run,,,,2,6,,,1,1,1,1,,12
indoor triathlon,1,2,2,,,,,,,,,,5
kids run,,,1,14,33,25,5,12,24,42,17,5,178
run,,,,,3,1,1,,,,1,,6
stair climb,,1,1,2,,,,,,1,1,,6
track meet,1,1,,,2,2,,,,,,,6
triathlon,,,,,6,15,16,12,17,2,,,68
walk,,,1,,1,1,,,2,3,4,,12
youth triathlon,,,,,1,1,2,,3,,,,7
1K fun run,,,,,,2,,1,1,2,,1,7
1M fun run,,,,3,8,4,,,8,8,1,,32
1M run,,,,3,7,6,1,5,3,5,3,2,35
1M walk,,,,2,7,4,,1,12,9,2,2,39
1.5M walk,,,,1,1,,2,,,4,,,8
3K walk,,,,3,1,,,,,1,1,1,7
2M fun run,,,,1,1,,,,1,,1,1,5
2M run,,,,,3,2,1,2,,2,2,1,13
2M walk,,,,4,3,6,,3,6,5,5,1,33
3M run,1,1,,,,,,,,3,,,5
3M trail run,,,,2,5,5,4,5,5,,,,26
3M walk,1,,1,,1,1,1,2,2,2,,,11
5K fun run,,,,,1,1,2,,1,2,1,1,9
5K novelty run,,,,2,4,1,,6,3,13,1,,30
5K obstacle run,1,,,,1,1,1,,2,1,,,7
5K run,34,23,56,98,192,105,52,68,156,184,110,45,1123
5K trail run,,,,8,9,11,9,7,6,7,2,,59
5K walk,1,1,10,30,76,30,6,16,59,71,35,4,339
3.2M run,,,,,4,4,5,4,,,,,17
3.3M run,,,,,8,10,10,10,,,,,38
3.5M run,,,,1,2,1,,,,,1,1,6
3.5M walk,,,,,3,,,,1,,1,,5
3.8M run,,,,,4,4,6,5,,,,,19
4M run,11,2,4,1,1,6,5,1,2,2,5,7,47
4M walk,,,2,1,1,1,,,,1,,1,7
5M run,5,6,2,4,11,7,10,3,6,8,14,1,77
5M trail run,,,,,,2,2,1,1,1,,,7
5M walk,,1,,1,1,,1,1,1,2,4,,12
8K run,,,,2,3,1,2,2,,1,1,,12
8K trail run,,,,1,1,1,1,1,,,,,5
10K run,12,4,6,8,17,13,6,6,15,15,10,3,115
10K trail run,,,,2,2,1,1,1,1,,,,8
10K walk,,,,,1,2,1,,1,,,,5
7M run,,1,,,,,,2,,,1,,4
10M run,,2,1,1,,2,1,,3,,1,,11
13.1M run,2,1,3,3,10,5,2,2,9,12,7,3,59
13.1M trail run,,,,1,2,1,,,1,,,,5
26.2M relay,,1,,1,,,,,,1,1,,4
26.2M run,,1,,1,4,,1,1,,2,2,,12
Total,70,48,91,206,453,287,159,182,354,417,236,80,2583
