Top 50 of 152
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,,,2,2,,,1,,,5
duathlon,,,,,8,2,1,2,5,,,,18
fun run,,1,,2,1,3,1,,,,,,8
indoor triathlon,3,1,1,9,,,,,,,,,14
kids run,2,1,5,12,34,35,30,38,48,35,12,3,255
stair climb,,2,,1,1,1,,,,,,,5
track meet,,,,,1,4,2,,,,,,7
triathlon,,,,2,5,20,16,25,5,2,,,75
youth triathlon,,,,,1,4,5,6,,,,,16
1K fun run,,,,,6,2,3,2,,,,,13
1K run,,,,,,1,1,,1,3,,,6
1K walk,,,,,1,1,,1,,2,,,5
1M fun run,,1,,2,3,7,4,5,5,2,1,,30
1M run,1,,,1,5,8,7,2,6,4,3,,37
1M walk,,,1,1,3,9,4,2,8,7,1,,36
2K fun run,,,,1,2,,1,,,1,1,1,7
2K run,,,,,,,1,2,,,,,3
2K walk,,,,,1,,2,,1,,,,4
3K walk,,,,1,1,1,,1,1,,,,5
2M fun run,,,,,,2,,,,2,,,4
2M run,,,,,,,2,,3,,,,5
2M walk,,,,1,,3,4,1,4,1,2,,16
3M run,1,,,,1,,2,,,,,,4
5K fun run,,,,4,4,8,8,5,8,5,,2,44
5K mud run,,,,,,,,5,2,,,,7
5K novelty run,,,,3,3,9,5,11,9,3,,,43
5K obstacle run,1,,,,,1,,,2,,,,4
5K run,24,19,21,45,116,110,84,117,112,91,33,22,794
5K trail run,,,,2,1,3,2,5,7,6,3,,29
5K walk,8,5,10,27,62,61,43,65,72,37,16,9,415
4M run,,1,1,,2,3,4,1,,1,,,13
4M trail run,,,,1,1,,,,1,,,,3
4M walk,,1,,,1,1,2,,,,,,5
7K run,,,5,,,,,1,2,,,,8
5M run,,,,1,1,,6,,3,2,,,13
5M walk,,,,,1,,,,1,1,,,3
8K run,,,3,1,2,4,4,1,1,,2,,18
10K run,7,6,1,10,17,15,23,15,22,10,7,4,137
10K trail run,,,,1,2,1,,1,2,3,2,,12
10K walk,,1,,2,1,1,1,1,2,,,,9
15K run,,,,1,1,2,,2,1,,,,7
10M run,,1,2,3,2,1,1,,3,3,1,,17
10M trail run,,,,,1,1,,2,5,,,,9
13.1M relay,,,,1,1,,1,2,1,1,,,7
13.1M run,2,3,2,4,13,8,4,6,10,6,1,,59
13.1M trail run,,,,,1,1,,2,1,3,,,8
25K trail run,,,,1,1,,1,,,1,,,4
26.2M relay,,,,1,1,,,,1,1,,,4
26.2M run,1,,,1,3,2,,1,3,3,,,14
50K trail run,,,,1,1,1,1,,,2,,,6
Total,50,43,52,143,313,338,278,330,358,239,85,41,2270
