Top 50 of 111
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
duathlon,,,,,1,1,3,1,,,,,6
kids run,,,2,1,6,2,2,1,4,7,3,,28
run,,,,,,1,1,,,,,,2
triathlon,,,,1,2,3,6,9,1,,,,22
walk,,,,,,2,,,,,,,2
youth triathlon,,,,,,,2,2,,,,,4
1K trail run,,,,,,,1,,,,,,1
1M fun run,,,,4,6,2,2,,1,2,,,17
1M novelty run,,,,1,1,,,,,,,,2
1M run,1,,,4,5,2,1,3,,3,1,,20
1M walk,1,,,5,5,,,2,,2,,,15
1.1M run,,1,1,,,,,,,,,,2
1.5M walk,,,,1,1,,,,,,,,2
3K fun run,,,,,,1,,,,,1,,2
2M fun run,,,,,,,,,2,1,,,3
2M run,,,,,2,,1,1,,,,,4
2M walk,,,1,,1,1,,,,1,,,4
3M run,,1,2,2,,,,,,1,,,6
3M walk,,,,,,,,,,2,,,2
5K fun run,1,,,2,1,3,,,2,2,1,,12
5K mud run,,,,,1,,,2,,,,,3
5K novelty run,,,,2,2,1,1,,1,2,1,,10
5K run,,1,6,12,23,14,13,14,10,23,9,2,127
5K trail run,,,,,1,,1,1,3,1,,,7
5K walk,1,,1,8,11,5,5,6,3,10,5,1,56
3.2M trail run,,,,,,,,,1,,,,1
4M run,,,,,1,,2,2,,1,,,6
4M walk,,,,,1,,,1,,1,,,3
5M run,,,1,2,1,,,1,,,,,5
10K run,,,2,7,7,12,8,7,4,5,3,,55
10K trail run,,,,,,2,1,,1,,,,4
10K walk,,,,,1,1,,,1,,,,3
7M run,,,,1,,,1,,,,,,2
12K trail run,,,,,1,1,,,,,,,2
12.2K run,,,,,,,1,,,,,,1
8M run,,,,,,,1,,,,,,1
8.5M trail run,,,,,,,,1,,,,,1
15K run,,,,,,,,,,,1,,1
15K trail run,,,,,,,,2,,,,,2
10M run,,,,1,,,,,,1,,,2
13.1M run,1,1,1,1,2,3,9,,10,3,,,31
13.1M trail run,,,,,,2,,1,1,,,,4
30K run,,,,,,,1,,,1,,,2
30K trail run,,,,,1,1,,,,,,,2
20M trail run,,,,,,,,2,,,,,2
26.2M relay,,,,,1,,2,,1,,,,4
26.2M run,,,,,1,1,3,,5,,,,10
50K trail run,,,,,,2,,1,,,,,3
50M run,,,,,,,,,1,1,,,2
50M trail run,,,,,,1,1,1,,,,,3
Total,5,4,17,55,86,64,69,61,52,70,25,3,511
