Top 50 of 181
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,,,3,,1,1,1,1,,7
duathlon,,1,2,2,5,,,3,3,2,,,18
fun run,1,,7,6,10,5,3,2,5,8,4,3,54
kids run,2,9,19,38,37,14,7,10,39,53,30,15,273
mud run,,,,,2,,,1,2,1,,,6
run,1,,1,1,,3,,,,,1,,7
track meet,,,,1,1,10,,1,,,,,13
triathlon,,,2,10,13,14,11,19,17,5,1,,92
walk,,,1,1,1,,,2,5,2,5,1,18
youth triathlon,,,,1,5,5,3,7,3,,,,24
1K fun run,1,,1,1,3,,,2,1,,1,,10
1K walk,,,,1,1,,,1,1,,,2,6
1M fun run,2,6,20,18,27,8,7,12,27,30,27,14,198
1M novelty run,1,2,,,1,,,,1,1,,,6
1M run,5,4,7,23,13,18,5,6,17,12,17,5,132
1M walk,2,3,9,12,17,13,6,7,15,23,15,9,131
1.5M walk,,,2,,,1,,,,,1,1,5
3K walk,,,,1,1,,,,,2,1,1,6
2M run,,,1,,,1,1,1,1,3,1,,9
2M walk,1,,1,,,1,,,2,4,2,,11
4K run,,,,,1,,1,,,3,,,5
3M run,,,1,,1,1,1,1,1,,,,6
5K fun run,,1,4,3,8,3,,1,4,6,6,3,39
5K mud run,,,,1,3,2,1,,2,5,1,,15
5K novelty run,1,,7,5,11,2,1,2,6,12,4,1,52
5K obstacle run,,,,2,5,2,,,1,2,,,12
5K run,24,42,149,191,204,83,52,73,136,189,174,85,1402
5K trail run,,1,4,10,7,2,1,3,7,12,5,3,55
5K walk,5,7,47,57,60,18,10,22,51,73,64,23,437
4M run,1,2,2,3,1,2,4,,1,2,2,,20
4M trail run,1,,,,,,,,,,3,,4
5M run,,1,2,,,1,1,,1,4,,1,11
5M trail run,3,,1,,1,1,,2,,1,2,,11
8K run,1,2,6,,3,3,2,4,4,4,7,1,37
6M run,,,,,1,1,1,1,1,,,,5
10K run,5,6,18,20,23,15,11,11,21,22,20,12,184
10K trail run,,,1,1,3,,,1,4,1,,,11
10K walk,,1,2,3,1,1,,,1,1,,,10
8M trail run,1,2,,,1,,,,1,,1,,6
15K run,1,1,,1,1,,,1,3,,,,8
10M run,,1,1,4,,2,,,2,1,2,1,14
10M trail run,2,,2,,1,,,1,,2,3,,11
13.1M run,2,3,9,17,7,6,1,2,10,18,14,4,93
26.2M relay,,1,2,,1,,,,,1,1,,6
26.2M run,,,6,5,1,1,1,,1,2,3,,20
26.2M trail run,,1,3,,,,,,,2,,,6
50K run,1,,1,,1,,,,1,1,1,,6
50K trail run,3,1,1,2,2,,,,1,2,1,,13
50M trail run,,,,1,,,,,,2,1,,4
12H run,,,,1,,,,,1,2,,1,5
Total,67,98,342,443,485,242,131,200,401,517,422,186,3534
